All compounds together:
optimized t0: 0.61
optimized tD: 0.39
optimized time: [0.4, 1.0, 2.1, 5.6, 5.9, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.004/0.013
average/RMS error of all compounds after optimization: 0.004/0.031
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.62
optimized tD: 0.36
optimized time: [0.4, 1.0, 2.1, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.63
optimized tD: 0.31
optimized time: [0.5, 0.9, 2.0, 5.5, 6.1, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.003/0.013
average/RMS error of all compounds after optimization: 0.007/0.032
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.96	16.93	-0.03	16.93	-0.03	
alloLCA;BA-3S	12.25	12.24	-0.01	12.24	-0.01	
alloLCA;GBA	12.28	12.28	0	12.28	0	
alloLCA;GBA-3S	8.19	8.14	-0.05	8.15	-0.04	
alloLCA;TBA	12.33	12.34	0.01	12.34	0.01	
alloLCA;TBA-3S	7.99	7.94	-0.05	7.94	-0.05	
isoalloLCA;BA	15.51	15.5	-0.01	15.5	-0.01	
isoalloLCA;BA-3S	11.65	11.63	-0.02	11.64	-0.01	
isoalloLCA;GBA	10.61	10.59	-0.02	10.59	-0.02	
isoalloLCA;GBA-3S	7.05	7.03	-0.02	7.01	-0.04	
isoalloLCA;TBA	10.68	10.66	-0.02	10.66	-0.02	
isoalloLCA;TBA-3S	6.97	6.95	-0.02	6.94	-0.03	
isoLCA;BA	15.76	15.76	0	15.76	0	
isoLCA;BA-3S	11.7	11.68	-0.02	11.69	-0.01	
isoLCA;GBA	10.98	10.97	-0.01	10.97	-0.01	
isoLCA;TBA	11.04	11.04	0	11.04	0	
isoLCA;TBA-3S	7.09	7.07	-0.02	7.06	-0.03	
LCA;BA	16.84	16.81	-0.03	16.81	-0.03	
LCA;BA-3S	12.49	12.48	-0.01	12.49	0	
LCA;GBA	12.4	12.41	0.01	12.41	0.01	
LCA;GBA-3S	8.84	8.82	-0.02	8.83	-0.01	
LCA;TBA	12.47	12.48	0.01	12.48	0.01	
LCA;TBA-3S	8.6	8.57	-0.03	8.58	-0.02	
3o-alloLCA;BA	16.95	16.9	-0.05	16.9	-0.05	
3o-alloLCA;GBA	11.97	11.97	0	11.97	0	
3o-alloLCA;TBA	12.02	12.02	0	12.02	0	
3o-LCA;BA	17.23	17.2	-0.03	17.2	-0.03	
3o-LCA;GBA	12.49	12.48	-0.01	12.48	-0.01	
3o-LCA;TBA	12.56	12.56	0	12.56	0	
iso-d5-LCA;BA	14.92	14.94	0.02	14.94	0.02	
iso-d5-LCA;BA-3S	11.36	11.35	-0.01	11.36	0	
iso-d5-LCA;GBA	10.12	10.11	-0.01	10.11	-0.01	
iso-d5-LCA;GBA-3S	6.65	6.7	0.05	6.65	0	
iso-d5-LCA;TBA	10.22	10.22	0	10.22	0	
iso-d5-LCA;TBA-3S	6.42	6.5	0.08	6.51	0.09	
