All compounds together:
optimized t0: 0.56
optimized tD: 0.37
optimized time: [0.6, 1.0, 1.9, 5.4, 6.0, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.002/0.025
average/RMS error of all compounds after optimization: 0.013/0.058
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.5
optimized tD: 0.61
optimized time: [0.4, 1.1, 1.9, 5.5, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.56
optimized tD: 0.41
optimized time: [0.4, 0.9, 2.0, 5.5, 6.1, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.006/0.021
average/RMS error of all compounds after optimization: -0/0.062
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.72	-0.02	16.72	-0.02	
alloLCA;BA-3S	12.07	12.08	0.01	12.08	0.01	
alloLCA;GBA	12.16	12.11	-0.05	12.11	-0.05	
alloLCA;GBA-3S	7.9	7.89	-0.01	7.94	0.04	
alloLCA;TBA	12.22	12.17	-0.05	12.17	-0.05	
alloLCA;TBA-3S	7.71	7.71	0	7.79	0.08	
isoalloLCA;BA	15.46	15.29	-0.17	15.29	-0.17	
isoalloLCA;BA-3S	11.45	11.47	0.02	11.48	0.03	
isoalloLCA;GBA	10.55	10.43	-0.12	10.43	-0.12	
isoalloLCA;GBA-3S	6.79	6.86	0.07	6.95	0.16	
isoalloLCA;TBA	10.61	10.51	-0.1	10.51	-0.1	
isoalloLCA;TBA-3S	6.68	6.78	0.1	6.82	0.14	
isoLCA;BA	15.6	15.55	-0.05	15.55	-0.05	
isoLCA;BA-3S	11.49	11.52	0.03	11.52	0.03	
isoLCA;GBA	10.86	10.81	-0.05	10.81	-0.05	
isoLCA;TBA	10.93	10.88	-0.05	10.88	-0.05	
isoLCA;TBA-3S	6.84	6.91	0.07	7.03	0.19	
LCA;BA	16.6	16.6	0	16.6	0	
LCA;BA-3S	12.3	12.32	0.02	12.31	0.01	
LCA;GBA	12.27	12.24	-0.03	12.24	-0.03	
LCA;GBA-3S	8.49	8.51	0.02	8.49	0	
LCA;TBA	12.35	12.31	-0.04	12.31	-0.04	
LCA;TBA-3S	8.28	8.29	0.01	8.3	0.02	
3o-alloLCA;BA	16.79	16.69	-0.1	16.69	-0.1	
3o-alloLCA;GBA	11.87	11.79	-0.08	11.79	-0.08	
3o-alloLCA;TBA	11.93	11.85	-0.08	11.85	-0.08	
3o-LCA;BA	16.99	16.99	0	16.99	0	
3o-LCA;GBA	12.35	12.31	-0.04	12.31	-0.04	
3o-LCA;TBA	12.43	12.39	-0.04	12.39	-0.04	
iso-d5-LCA;BA	14.84	14.73	-0.11	14.73	-0.11	
iso-d5-LCA;BA-3S	11.14	11.19	0.05	11.19	0.05	
iso-d5-LCA;GBA	10.03	9.96	-0.07	9.96	-0.07	
iso-d5-LCA;GBA-3S	6.08	6.33	0.25	6.04	-0.04	
iso-d5-LCA;TBA	10.14	10.07	-0.07	10.07	-0.07	
iso-d5-LCA;TBA-3S	5.84	6.1	0.26	5.84	0	
3o-d4-LCA;BA	15.38	15.27	-0.11	15.27	-0.11	
3o-d4-LCA;GBA	10.82	10.74	-0.08	10.74	-0.08	
3o-d4-LCA;TBA	10.93	10.85	-0.08	10.85	-0.08	
12-epiDCA;BA	12.11	12.09	-0.02	12.09	-0.02	
12-epiDCA;BA-12S	8.54	8.61	0.07	8.53	-0.01	
12-epiDCA;BA-3S	9.73	9.8	0.07	9.72	-0.01	
12-epiDCA;GBA	7.82	7.76	-0.06	7.76	-0.06	
12-epiDCA;GBA-12S	3.46	3.5	0.04	3.51	0.05	
12-epiDCA;GBA-3S	4.45	4.49	0.04	4.39	-0.06	
12-epiDCA;TBA	8.14	8.07	-0.07	8.07	-0.07	
12-epiDCA;TBA-12S	3.48	3.53	0.05	3.54	0.06	
12-epiDCA;TBA-3S	4.18	4.22	0.04	4.15	-0.03	
3b-DCA;BA	12.11	12.09	-0.02	12.09	-0.02	
3b-DCA;BA-12S	9.04	9.05	0.01	8.92	-0.12	
3b-DCA;BA-3S	9.57	9.63	0.06	9.56	-0.01	
3b-DCA;GBA	7.61	7.56	-0.05	7.56	-0.05	
3b-DCA;GBA-12S	3.99	3.97	-0.02	3.92	-0.07	
3b-DCA;GBA-3S	4.23	4.29	0.06	4.21	-0.02	
3b-DCA;TBA	7.84	7.78	-0.06	7.78	-0.06	
3b-DCA;TBA-12S	3.79	3.79	0	3.76	-0.03	
3b-DCA;TBA-3S	4.18	4.24	0.06	4.18	0	
alloCDCA;BA	13.46	13.45	-0.01	13.45	-0.01	
alloCDCA;BA-3S	10.52	10.56	0.04	10.55	0.03	
alloCDCA;BA-7S	11.04	11.04	0	11.04	0	
alloCDCA;GBA	9.96	9.97	0.01	9.97	0.01	
alloCDCA;GBA-3S	5.86	6	0.14	5.74	-0.12	
alloCDCA;GBA-7S	6.96	6.98	0.02	7.1	0.14	
alloCDCA;TBA	10.1	10.11	0.01	10.11	0.01	
alloCDCA;TBA-3S	5.74	5.86	0.12	5.63	-0.11	
alloCDCA;TBA-7S	6.86	6.88	0.02	6.96	0.1	
alloUDCA;BA	11.64	11.64	0	11.64	0	
alloUDCA;BA-3S	7.69	7.73	0.04	7.74	0.05	
alloUDCA;BA-7S	9.66	9.73	0.07	9.66	0	
alloUDCA;GBA	7	6.97	-0.03	6.97	-0.03	
alloUDCA;GBA-3S	3.11	3.14	0.03	3.19	0.08	
alloUDCA;GBA-7S	4.39	4.39	0	4.3	-0.09	
alloUDCA;TBA	7.2	7.16	-0.04	7.16	-0.04	
alloUDCA;TBA-3S	3.1	3.13	0.03	3.18	0.08	
alloUDCA;TBA-7S	4.3	4.31	0.01	4.24	-0.06	
CDCA;BA	13.54	13.57	0.03	13.57	0.03	
CDCA;BA-3S	10.62	10.65	0.03	10.65	0.03	
CDCA;BA-7S	10.75	10.76	0.01	10.76	0.01	
CDCA;GBA	10.11	10.1	-0.01	10.1	-0.01	
CDCA;GBA-3S	6.13	6.26	0.13	5.98	-0.15	
CDCA;GBA-7S	6.74	6.74	0	6.7	-0.04	
CDCA;TBA	10.25	10.24	-0.01	10.24	-0.01	
CDCA;TBA-3S	5.99	6.12	0.13	5.86	-0.13	
CDCA;TBA-7S	6.62	6.63	0.01	6.47	-0.15	
DCA;BA	13.78	13.77	-0.01	13.77	-0.01	
DCA;BA-3S	10.74	10.77	0.03	10.77	0.03	
DCA;BA-12S	10.98	10.99	0.01	10.98	0	
DCA;GBA	10.51	10.49	-0.02	10.49	-0.02	
DCA;GBA-3S	6.69	6.73	0.04	6.7	0.01	
DCA;GBA-12S	7.2	7.2	0	7.29	0.09	
DCA;TBA	10.63	10.61	-0.02	10.61	-0.02	
DCA;TBA-3S	6.61	6.67	0.06	6.56	-0.05	
DCA;TBA-12S	7.05	7.06	0.01	7.17	0.12	
HDCA;BA	11.6	11.61	0.01	11.61	0.01	
HDCA;BA-6S	7.81	7.88	0.07	7.88	0.07	
