All compounds together:
optimized t0: 0.46
optimized tD: 0.67
optimized time: [0.6, 1.1, 2.1, 5.6, 5.9, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.009/0.056
average/RMS error of all compounds after optimization: -0.006/0.1
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.46
optimized tD: 0.61
optimized time: [0.6, 1.1, 1.9, 5.6, 5.9, 8.0, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.49
optimized tD: 0.6
optimized time: [0.6, 1.1, 2.1, 5.5, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.23, 0.27, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.031/0.046
average/RMS error of all compounds after optimization: -0.015/0.096
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.51	16.46	-0.05	16.46	-0.05	
alloLCA;BA-3S	11.96	12.02	0.06	11.95	-0.01	
alloLCA;GBA	12.1	12.03	-0.07	12.03	-0.07	
alloLCA;GBA-3S	7.69	7.75	0.06	7.69	0	
alloLCA;TBA	12.14	12.1	-0.04	12.1	-0.04	
alloLCA;TBA-3S	7.49	7.6	0.11	7.55	0.06	
isoalloLCA;BA	15.04	15.08	0.04	15.08	0.04	
isoalloLCA;BA-3S	11.28	11.42	0.14	11.35	0.07	
isoalloLCA;GBA	10.32	10.34	0.02	10.34	0.02	
isoalloLCA;GBA-3S	6.53	6.81	0.28	6.78	0.25	
isoalloLCA;TBA	10.39	10.43	0.04	10.43	0.04	
isoalloLCA;TBA-3S	6.19	6.55	0.36	6.54	0.35	
isoLCA;BA	15.33	15.33	0	15.33	0	
isoLCA;BA-3S	11.33	11.46	0.13	11.39	0.06	
isoLCA;GBA	10.74	10.72	-0.02	10.72	-0.02	
isoLCA;TBA	10.8	10.8	0	10.8	0	
isoLCA;TBA-3S	6.57	6.91	0.34	6.87	0.3	
LCA;BA	16.4	16.34	-0.06	16.34	-0.06	
LCA;BA-3S	12.19	12.25	0.06	12.19	0	
LCA;GBA	12.2	12.16	-0.04	12.16	-0.04	
LCA;GBA-3S	8.18	8.24	0.06	8.19	0.01	
LCA;TBA	12.28	12.23	-0.05	12.23	-0.05	
LCA;TBA-3S	7.96	8.07	0.11	8.02	0.06	
3o-alloLCA;BA	16.41	16.42	0.01	16.42	0.01	
3o-alloLCA;GBA	11.69	11.7	0.01	11.7	0.01	
3o-alloLCA;TBA	11.73	11.77	0.04	11.77	0.04	
3o-LCA;BA	16.71	16.72	0.01	16.72	0.01	
3o-LCA;GBA	12.24	12.22	-0.02	12.22	-0.02	
3o-LCA;TBA	12.3	12.29	-0.01	12.29	-0.01	
iso-d5-LCA;BA	14.46	14.54	0.08	14.54	0.08	
iso-d5-LCA;BA-3S	10.95	11.13	0.18	11.06	0.11	
iso-d5-LCA;GBA	9.78	9.82	0.04	9.82	0.04	
iso-d5-LCA;GBA-3S	5.55	5.75	0.2	5.74	0.19	
iso-d5-LCA;TBA	9.89	9.96	0.07	9.96	0.07	
iso-d5-LCA;TBA-3S	5.27	5.56	0.29	5.55	0.28	
3o-d4-LCA;BA	14.99	15.05	0.06	15.05	0.06	
3o-d4-LCA;GBA	10.61	10.64	0.03	10.64	0.03	
3o-d4-LCA;TBA	10.71	10.76	0.05	10.76	0.05	
12-epiDCA;BA	12.01	11.93	-0.08	11.93	-0.08	
12-epiDCA;BA-12S	8.22	8.27	0.05	8.22	0	
12-epiDCA;BA-3S	9.55	9.6	0.05	9.52	-0.03	
12-epiDCA;GBA	7.65	7.55	-0.1	7.55	-0.1	
12-epiDCA;GBA-12S	3.37	3.41	0.04	3.41	0.04	
12-epiDCA;GBA-3S	4.27	4.22	-0.05	4.22	-0.05	
12-epiDCA;TBA	7.91	7.81	-0.1	7.81	-0.1	
12-epiDCA;TBA-12S	3.38	3.44	0.06	3.44	0.06	
12-epiDCA;TBA-3S	4	4	0	4	0	
3b-DCA;BA	11.99	11.92	-0.07	11.92	-0.07	
3b-DCA;BA-12S	8.75	8.62	-0.13	8.58	-0.17	
3b-DCA;BA-3S	9.32	9.41	0.09	9.33	0.01	
3b-DCA;GBA	7.47	7.39	-0.08	7.39	-0.08	
3b-DCA;GBA-12S	3.85	3.79	-0.06	3.79	-0.06	
3b-DCA;GBA-3S	4.01	4.06	0.05	4.05	0.04	
3b-DCA;TBA	7.66	7.57	-0.09	7.57	-0.09	
3b-DCA;TBA-12S	3.65	3.65	0	3.64	-0.01	
3b-DCA;TBA-3S	3.95	4.03	0.08	4.02	0.07	
alloCDCA;BA	13.36	13.29	-0.07	13.29	-0.07	
alloCDCA;BA-3S	10.39	10.49	0.1	10.41	0.02	
alloCDCA;BA-7S	10.93	10.97	0.04	10.9	-0.03	
alloCDCA;GBA	9.86	9.85	-0.01	9.85	-0.01	
alloCDCA;GBA-3S	5.47	5.47	0	5.46	-0.01	
alloCDCA;GBA-7S	6.83	6.96	0.13	6.92	0.09	
alloCDCA;TBA	9.99	10.02	0.03	10.02	0.03	
alloCDCA;TBA-3S	5.3	5.37	0.07	5.36	0.06	
alloCDCA;TBA-7S	6.68	6.81	0.13	6.78	0.1	
alloUDCA;BA	11.53	11.48	-0.05	11.48	-0.05	
alloUDCA;BA-3S	7.47	7.54	0.07	7.5	0.03	
alloUDCA;BA-7S	9.46	9.52	0.06	9.44	-0.02	
alloUDCA;GBA	6.89	6.85	-0.04	6.85	-0.04	
alloUDCA;GBA-3S	3.06	3.12	0.06	3.12	0.06	
alloUDCA;GBA-7S	4.19	4.14	-0.05	4.14	-0.05	
alloUDCA;TBA	7.06	7.07	0.01	7.07	0.01	
