All compounds together:
optimized t0: 0.7
optimized tD: 0.5
optimized time: [0.6, 1.1, 2.1, 5.5, 6.1, 7.9, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
average/RMS error of calibration compounds after optimization: -0.007/0.039
average/RMS error of all compounds after optimization: 0.008/0.051
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.68
optimized tD: 0.58
optimized time: [0.4, 1.1, 2.0, 5.6, 5.9, 7.9, 8.9, 16.9, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.23, 0.32, 0.28, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.63
optimized tD: 0.68
optimized time: [0.4, 0.9, 1.9, 5.5, 6.0, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.22, 0.25, 0.23, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.005/0.022
average/RMS error of all compounds after optimization: 0.03/0.094
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.23	17.21	-0.02	17.21	-0.02	
alloLCA;BA-3S	12.55	12.56	0.01	12.57	0.02	
alloLCA;GBA	12.63	12.62	-0.01	12.62	-0.01	
alloLCA;GBA-3S	8.85	8.75	-0.1	8.44	-0.41	
alloLCA;TBA	12.68	12.67	-0.01	12.67	-0.01	
alloLCA;TBA-3S	8.58	8.51	-0.07	8.14	-0.44	
isoalloLCA;BA	15.86	15.8	-0.06	15.8	-0.06	
isoalloLCA;BA-3S	11.96	11.97	0.01	11.98	0.02	
isoalloLCA;GBA	11.02	11	-0.02	11	-0.02	
isoalloLCA;GBA-3S	7.44	7.47	0.03	7.38	-0.06	
isoalloLCA;TBA	11.07	11.05	-0.02	11.05	-0.02	
isoalloLCA;TBA-3S	7.32	7.38	0.06	7.32	0	
isoLCA;BA	16.06	16.06	0	16.06	0	
isoLCA;BA-3S	11.99	12.02	0.03	12.03	0.04	
isoLCA;GBA	11.35	11.36	0.01	11.36	0.01	
isoLCA;TBA	11.42	11.43	0.01	11.43	0.01	
isoLCA;TBA-3S	7.47	7.52	0.05	7.4	-0.07	
LCA;BA	17.12	17.09	-0.03	17.09	-0.03	
LCA;BA-3S	12.8	12.8	0	12.82	0.02	
LCA;GBA	12.74	12.74	0	12.74	0	
LCA;GBA-3S	9.52	9.43	-0.09	9.5	-0.02	
LCA;TBA	12.81	12.8	-0.01	12.8	-0.01	
LCA;TBA-3S	9.33	9.23	-0.1	9.11	-0.22	
3o-alloLCA;BA	17.26	17.19	-0.07	17.19	-0.07	
3o-alloLCA;GBA	12.33	12.32	-0.01	12.32	-0.01	
3o-alloLCA;TBA	12.37	12.37	0	12.37	0	
3o-LCA;BA	17.51	17.47	-0.04	17.47	-0.04	
3o-LCA;GBA	12.83	12.82	-0.01	12.82	-0.01	
