All compounds together:
optimized t0: 0.47
optimized tD: 0.39
optimized time: [0.6, 0.9, 1.9, 5.5, 5.9, 8.0, 8.9, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: -0.016/0.036
average/RMS error of all compounds after optimization: -0.036/0.062
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.46
optimized tD: 0.39
optimized time: [0.4, 1.1, 1.9, 5.5, 6.0, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
For compounds without sulfate: 
optimized t0: 0.51
optimized tD: 0.28
optimized time: [0.6, 1.1, 1.9, 5.4, 5.9, 8.1, 8.9, 16.9, 17.9]
optimized perB: [0.03, 0.2, 0.23, 0.25, 0.32, 0.3, 0.35, 0.63, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.006/0.032
average/RMS error of all compounds after optimization: -0.022/0.065
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.53	16.49	-0.04	16.49	-0.04	
alloLCA;BA-3S	11.75	11.76	0.01	11.78	0.03	
alloLCA;GBA	11.77	11.77	0	11.77	0	
alloLCA;GBA-3S	7.47	7.47	0	7.49	0.02	
alloLCA;TBA	11.83	11.84	0.01	11.84	0.01	
alloLCA;TBA-3S	7.29	7.33	0.04	7.35	0.06	
isoalloLCA;BA	15.17	15.02	-0.15	15.02	-0.15	
isoalloLCA;BA-3S	11.18	11.12	-0.06	11.16	-0.02	
isoalloLCA;GBA	10.11	10.02	-0.09	10.02	-0.09	
isoalloLCA;GBA-3S	6.48	6.53	0.05	6.52	0.04	
isoalloLCA;TBA	10.17	10.1	-0.07	10.1	-0.07	
isoalloLCA;TBA-3S	6.21	6.33	0.12	6.31	0.1	
isoLCA;BA	15.31	15.28	-0.03	15.28	-0.03	
isoLCA;BA-3S	11.21	11.17	-0.04	11.21	0	
isoLCA;GBA	10.44	10.4	-0.04	10.4	-0.04	
isoLCA;TBA	10.51	10.49	-0.02	10.49	-0.02	
isoLCA;TBA-3S	6.54	6.62	0.08	6.62	0.08	
