All compounds together:
optimized t0: 0.57
optimized tD: 0.54
optimized time: [0.5, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.68]
average/RMS error of calibration compounds after optimization: 0.004/0.017
average/RMS error of all compounds after optimization: 0.007/0.034
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.6
optimized tD: 0.39
optimized time: [0.5, 13.5, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.62, 0.68]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.55
optimized time: [0.5, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.001/0.013
average/RMS error of all compounds after optimization: 0.007/0.034
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.72	17.7	-0.02	17.7	-0.02	
alloLCA;BA-3S	14.27	14.23	-0.04	14.25	-0.02	
alloLCA;GBA	14.24	14.2	-0.04	14.2	-0.04	
alloLCA;GBA-3S	8.24	8.22	-0.02	8.2	-0.04	
alloLCA;TBA	14.38	14.34	-0.04	14.34	-0.04	
alloLCA;TBA-3S	8.05	8.05	0	8.02	-0.03	
isoalloLCA;BA	16.78	16.77	-0.01	16.77	-0.01	
isoalloLCA;BA-3S	13.03	12.99	-0.04	13	-0.03	
isoalloLCA;GBA	10.99	10.95	-0.04	10.95	-0.04	
isoalloLCA;GBA-3S	6.83	6.84	0.01	6.82	-0.01	
isoalloLCA;TBA	11.12	11.1	-0.02	11.1	-0.02	
isoalloLCA;TBA-3S	6.69	6.71	0.02	6.68	-0.01	
isoLCA;BA	16.92	16.92	0	16.92	0	
isoLCA;BA-3S	13.12	13.07	-0.05	13.09	-0.03	
isoLCA;GBA	11.64	11.62	-0.02	11.62	-0.02	
isoLCA;TBA	11.78	11.77	-0.01	11.77	-0.01	
isoLCA;TBA-3S	6.91	6.92	0.01	6.9	-0.01	
LCA;BA	17.64	17.62	-0.02	17.62	-0.02	
LCA;BA-3S	14.69	14.71	0.02	14.69	0	
LCA;GBA	14.47	14.48	0.01	14.48	0.01	
LCA;GBA-3S	8.73	8.74	0.01	8.72	-0.01	
LCA;TBA	14.62	14.62	0	14.62	0	
LCA;TBA-3S	8.55	8.57	0.02	8.55	0	
3o-alloLCA;BA	17.71	17.67	-0.04	17.67	-0.04	
3o-alloLCA;GBA	13.53	13.5	-0.03	13.5	-0.03	
3o-alloLCA;TBA	13.66	13.65	-0.01	13.65	-0.01	
3o-LCA;BA	17.91	17.89	-0.02	17.89	-0.02	
3o-LCA;GBA	14.58	14.55	-0.03	14.55	-0.03	
3o-LCA;TBA	14.7	14.71	0.01	14.71	0.01	
iso-d5-LCA;BA	16.44	16.46	0.02	16.46	0.02	
iso-d5-LCA;BA-3S	12.42	12.41	-0.01	12.43	0.01	
iso-d5-LCA;GBA	10.17	10.16	-0.01	10.16	-0.01	
iso-d5-LCA;GBA-3S	6.32	6.33	0.01	6.31	-0.01	
iso-d5-LCA;TBA	10.33	10.34	0.01	10.34	0.01	
iso-d5-LCA;TBA-3S	6.21	6.22	0.01	6.2	-0.01	
3o-d4-LCA;BA	16.77	16.76	-0.01	16.76	-0.01	
3o-d4-LCA;GBA	11.5	11.47	-0.03	11.47	-0.03	
3o-d4-LCA;TBA	11.71	11.69	-0.02	11.69	-0.02	
12-epiDCA;BA	13.9	13.82	-0.08	13.82	-0.08	
12-epiDCA;BA-12S	8.79	8.79	0	8.8	0.01	
12-epiDCA;BA-3S	9.9	9.91	0.01	9.92	0.02	
12-epiDCA;GBA	7.97	8	0.03	8	0.03	
12-epiDCA;GBA-12S	3.99	4.04	0.05	4.04	0.05	
12-epiDCA;GBA-3S	5.09	5.13	0.04	5.12	0.03	
12-epiDCA;TBA	8.3	8.32	0.02	8.32	0.02	
12-epiDCA;TBA-12S	4.08	4.13	0.05	4.12	0.04	
12-epiDCA;TBA-3S	4.85	4.89	0.04	4.88	0.03	
3b-DCA;BA	13.89	13.79	-0.1	13.79	-0.1	
3b-DCA;BA-12S	9.12	9.11	-0.01	9.12	0	
3b-DCA;BA-3S	9.76	9.69	-0.07	9.68	-0.08	
3b-DCA;GBA	7.77	7.8	0.03	7.8	0.03	
3b-DCA;GBA-12S	4.58	4.61	0.03	4.6	0.02	
3b-DCA;GBA-3S	5	5	0	4.98	-0.02	
3b-DCA;TBA	8.01	8.03	0.02	8.03	0.02	
3b-DCA;TBA-12S	4.38	4.42	0.04	4.42	0.04	
3b-DCA;TBA-3S	4.98	4.98	0	4.96	-0.02	
alloCDCA;BA	15.65	15.68	0.03	15.68	0.03	
alloCDCA;BA-3S	11.23	11.19	-0.04	11.2	-0.03	
alloCDCA;BA-7S	12.11	12.08	-0.03	12.09	-0.02	
alloCDCA;GBA	10.16	10.17	0.01	10.17	0.01	
alloCDCA;GBA-3S	6.15	6.18	0.03	6.15	0	
alloCDCA;GBA-7S	7	7.05	0.05	7.03	0.03	
alloCDCA;TBA	10.39	10.41	0.02	10.41	0.02	
alloCDCA;TBA-3S	6.08	6.11	0.03	6.09	0.01	
alloCDCA;TBA-7S	6.86	6.88	0.02	6.86	0	
alloUDCA;BA	13.02	12.98	-0.04	12.98	-0.04	
alloUDCA;BA-3S	7.98	7.99	0.01	7.99	0.01	
alloUDCA;BA-7S	9.83	9.81	-0.02	9.82	-0.01	
alloUDCA;GBA	6.99	7.01	0.02	7.01	0.02	
alloUDCA;GBA-3S	3.34	3.41	0.07	3.41	0.07	
alloUDCA;GBA-7S	5.08	5.09	0.01	5.08	0	
alloUDCA;TBA	7.27	7.29	0.02	7.29	0.02	
alloUDCA;TBA-3S	3.36	3.42	0.06	3.42	0.06	
alloUDCA;TBA-7S	5	5.05	0.05	5.03	0.03	
CDCA;BA	15.7	15.75	0.05	15.75	0.05	
CDCA;BA-3S	11.38	11.36	-0.02	11.37	-0.01	
CDCA;BA-7S	11.57	11.55	-0.02	11.57	0	
CDCA;GBA	10.39	10.39	0	10.39	0	
CDCA;GBA-3S	6.27	6.3	0.03	6.28	0.01	
CDCA;GBA-7S	6.66	6.67	0.01	6.66	0	
CDCA;TBA	10.63	10.63	0	10.63	0	
CDCA;TBA-3S	6.21	6.23	0.02	6.21	0	
CDCA;TBA-7S	6.54	6.55	0.01	6.53	-0.01	
DCA;BA	15.87	15.88	0.01	15.88	0.01	
DCA;BA-3S	11.6	11.58	-0.02	11.6	0	
DCA;BA-12S	11.97	11.97	0	11.99	0.02	
DCA;GBA	11.06	11.05	-0.01	11.05	-0.01	
DCA;GBA-3S	6.64	6.66	0.02	6.64	0	
DCA;GBA-12S	7.36	7.37	0.01	7.36	0	
DCA;TBA	11.29	11.27	-0.02	11.27	-0.02	
DCA;TBA-3S	6.57	6.58	0.01	6.56	-0.01	
DCA;TBA-12S	7.15	7.16	0.01	7.15	0	
HDCA;BA	13.04	13.01	-0.03	13.01	-0.03	
HDCA;BA-6S	8.13	8.15	0.02	8.15	0.02	
HDCA;BA-3S	9.67	9.66	-0.01	9.67	0	
HDCA;GBA	7.21	7.22	0.01	7.22	0.01	
HDCA;GBA-6S	3.27	3.31	0.04	3.32	0.05	
HDCA;GBA-3S	4.61	4.63	0.02	4.62	0.01	
HDCA;TBA	7.47	7.5	0.03	7.5	0.03	
HDCA;TBA-6S	3.28	3.34	0.06	3.34	0.06	
HDCA;TBA-3S	4.57	4.6	0.03	4.58	0.01	
isoCDCA;BA	13.82	13.72	-0.1	13.72	-0.1	
isoCDCA;BA-7S	9.41	9.4	-0.01	9.4	-0.01	
isoCDCA;BA-3S	9.67	9.65	-0.02	9.66	-0.01	
isoCDCA;GBA	7.34	7.34	0	7.34	0	
isoCDCA;GBA-7S	4.39	4.42	0.03	4.41	0.02	
isoCDCA;GBA-3S	4.7	4.71	0.01	4.7	0	
isoCDCA;TBA	7.58	7.58	0	7.58	0	
isoCDCA;TBA-7S	4.25	4.28	0.03	4.27	0.02	
isoCDCA;TBA-3S	4.67	4.67	0	4.65	-0.02	
isoDCA;BA	16.89	16.88	-0.01	16.88	-0.01	
isoDCA;GBA	13.68	13.65	-0.03	13.65	-0.03	
isoDCA;TBA	13.95	13.93	-0.02	13.93	-0.02	
isoHDCA;BA	12.15	12.09	-0.06	12.09	-0.06	
isoHDCA;BA-6S	8.85	8.84	-0.01	8.85	0	
isoHDCA;BA-3S	8.93	8.92	-0.01	8.92	-0.01	
isoHDCA;GBA	5.74	5.77	0.03	5.77	0.03	
isoHDCA;GBA-6S	3.22	3.28	0.06	3.29	0.07	
isoHDCA;GBA-3S	3.83	3.89	0.06	3.88	0.05	
isoHDCA;TBA	6.04	6.05	0.01	6.05	0.01	
isoHDCA;TBA-6S	3.21	3.28	0.07	3.29	0.08	
isoHDCA;TBA-3S	3.84	3.89	0.05	3.88	0.04	
isoUDCA;BA	11.49	11.48	-0.01	11.48	-0.01	
isoUDCA;BA-3S	7.23	7.24	0.01	7.25	0.02	
isoUDCA;BA-7S	8.46	8.46	0	8.47	0.01	
isoUDCA;GBA	5.16	5.2	0.04	5.2	0.04	
isoUDCA;GBA-3S	2.58	2.61	0.03	2.64	0.06	
isoUDCA;GBA-7S	3.46	3.49	0.03	3.51	0.05	
isoUDCA;TBA	5.48	5.52	0.04	5.52	0.04	
isoUDCA;TBA-3S	2.61	2.64	0.03	2.67	0.06	
isoUDCA;TBA-7S	3.39	3.44	0.05	3.45	0.06	
MDCA;BA	11.33	11.32	-0.01	11.32	-0.01	
MDCA;BA-6S	7.24	7.22	-0.02	7.22	-0.02	
MDCA;BA-3S	7.72	7.71	-0.01	7.71	-0.01	
MDCA;GBA	5.4	5.42	0.02	5.42	0.02	
MDCA;GBA-6S	2.48	2.51	0.03	2.54	0.06	
MDCA;GBA-3S	2.85	2.74	-0.11	2.76	-0.09	
MDCA;TBA	5.69	5.72	0.03	5.72	0.03	
MDCA;TBA-6S	2.49	2.53	0.04	2.56	0.07	
MDCA;TBA-3S	2.81	2.79	-0.02	2.81	0	
UDCA;BA	12.62	12.57	-0.05	12.57	-0.05	
UDCA;BA-3S	8.12	8.13	0.01	8.13	0.01	
UDCA;BA-7S	9.52	9.53	0.01	9.53	0.01	
UDCA;GBA	6.98	7	0.02	7	0.02	
UDCA;GBA-3S	3.51	3.57	0.06	3.57	0.06	
UDCA;GBA-7S	4.95	5.01	0.06	5	0.05	
UDCA;TBA	7.27	7.29	0.02	7.29	0.02	
UDCA;TBA-3S	3.51	3.58	0.07	3.58	0.07	
UDCA;TBA-7S	4.91	4.97	0.06	4.96	0.05	
12o-DCA;BA	14.56	14.51	-0.05	14.51	-0.05	
12o-DCA;BA-3S	9.24	9.25	0.01	9.26	0.02	
12o-DCA;GBA	8.63	8.64	0.01	8.64	0.01	
12o-DCA;GBA-3S	4.49	4.54	0.05	4.53	0.04	
12o-DCA;TBA	8.87	8.87	0	8.87	0	
12o-DCA;TBA-3S	4.45	4.51	0.06	4.5	0.05	
3o-CDCA;BA	15.83	15.85	0.02	15.85	0.02	
3o-CDCA;BA-7S	11.14	11.13	-0.01	11.15	0.01	
3o-CDCA;GBA	10.09	10.07	-0.02	10.07	-0.02	
3o-CDCA;GBA-7S	6.07	6.08	0.01	6.07	0	
3o-CDCA;TBA	10.36	10.35	-0.01	10.35	-0.01	
3o-CDCA;TBA-7S	5.96	5.99	0.03	5.97	0.01	
3o-DCA;BA	15.79	15.77	-0.02	15.77	-0.02	
3o-DCA;BA-12S	11.25	11.23	-0.02	11.24	-0.01	
3o-DCA;GBA	10.47	10.45	-0.02	10.45	-0.02	
3o-DCA;GBA-12S	6.58	6.59	0.01	6.59	0.01	
3o-DCA;TBA	10.73	10.7	-0.03	10.7	-0.03	
3o-DCA;TBA-12S	6.38	6.41	0.03	6.4	0.02	
3o-HDCA;BA	13.74	13.64	-0.1	13.64	-0.1	
3o-HDCA;BA-6S	8.92	8.92	0	8.93	0.01	
3o-HDCA;GBA	7.27	7.29	0.02	7.29	0.02	
3o-HDCA;GBA-6S	3.54	3.6	0.06	3.61	0.07	
3o-HDCA;TBA	7.57	7.59	0.02	7.59	0.02	
3o-HDCA;TBA-6S	3.58	3.63	0.05	3.63	0.05	
6o-alloMDCA;BA	14.07	13.98	-0.09	13.98	-0.09	
6o-alloMDCA;BA-3S	9.27	9.24	-0.03	9.25	-0.02	
6o-alloMDCA;GBA	7.6	7.59	-0.01	7.59	-0.01	
6o-alloMDCA;GBA-3S	4.28	4.28	0	4.27	-0.01	
6o-alloMDCA;TBA	7.88	7.87	-0.01	7.87	-0.01	
6o-alloMDCA;TBA-3S	4.26	4.29	0.03	4.28	0.02	
6o-HDCA;BA	13.36	13.35	-0.01	13.35	-0.01	
6o-HDCA;BA-3S	9.26	9.26	0	9.26	0	
6o-HDCA;GBA	7.3	7.32	0.02	7.32	0.02	
6o-HDCA;GBA-3S	4.25	4.31	0.06	4.3	0.05	
6o-HDCA;TBA	7.59	7.6	0.01	7.6	0.01	
6o-HDCA;TBA-3S	4.24	4.29	0.05	4.28	0.04	
7o-CDCA;BA	14.3	14.21	-0.09	14.21	-0.09	
