All compounds together:
optimized t0: 0.51
optimized tD: 0.6
optimized time: [0.6, 0.9, 2.0, 5.4, 6.1, 7.9, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.001/0.03
average/RMS error of all compounds after optimization: -0.014/0.076
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.52
optimized tD: 0.52
optimized time: [0.6, 0.9, 1.9, 5.4, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.37
optimized time: [0.5, 0.9, 2.0, 5.5, 6.1, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.01/0.016
average/RMS error of all compounds after optimization: -0.016/0.074
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.68	-0.06	16.68	-0.06	
alloLCA;BA-3S	12.07	12.12	0.05	12.05	-0.02	
alloLCA;GBA	12.16	12.15	-0.01	12.15	-0.01	
alloLCA;GBA-3S	7.9	7.94	0.04	7.91	0.01	
alloLCA;TBA	12.22	12.21	-0.01	12.21	-0.01	
alloLCA;TBA-3S	7.71	7.78	0.07	7.75	0.04	
isoalloLCA;BA	15.46	15.28	-0.18	15.28	-0.18	
isoalloLCA;BA-3S	11.45	11.52	0.07	11.46	0.01	
isoalloLCA;GBA	10.55	10.44	-0.11	10.44	-0.11	
isoalloLCA;GBA-3S	6.79	6.93	0.14	6.91	0.12	
isoalloLCA;TBA	10.61	10.52	-0.09	10.52	-0.09	
isoalloLCA;TBA-3S	6.68	6.81	0.13	6.8	0.12	
isoLCA;BA	15.6	15.53	-0.07	15.53	-0.07	
isoLCA;BA-3S	11.49	11.56	0.07	11.5	0.01	
isoLCA;GBA	10.86	10.82	-0.04	10.82	-0.04	
isoLCA;TBA	10.93	10.9	-0.03	10.9	-0.03	
isoLCA;TBA-3S	6.84	7.01	0.17	6.98	0.14	
LCA;BA	16.6	16.56	-0.04	16.56	-0.04	
LCA;BA-3S	12.3	12.37	0.07	12.29	-0.01	
LCA;GBA	12.27	12.28	0.01	12.28	0.01	
LCA;GBA-3S	8.49	8.5	0.01	8.48	-0.01	
LCA;TBA	12.35	12.34	-0.01	12.34	-0.01	
LCA;TBA-3S	8.28	8.3	0.02	8.28	0	
3o-alloLCA;BA	16.79	16.64	-0.15	16.64	-0.15	
3o-alloLCA;GBA	11.87	11.82	-0.05	11.82	-0.05	
3o-alloLCA;TBA	11.93	11.89	-0.04	11.89	-0.04	
3o-LCA;BA	16.99	16.94	-0.05	16.94	-0.05	
3o-LCA;GBA	12.35	12.34	-0.01	12.34	-0.01	
3o-LCA;TBA	12.43	12.42	-0.01	12.42	-0.01	
iso-d5-LCA;BA	14.84	14.72	-0.12	14.72	-0.12	
iso-d5-LCA;BA-3S	11.14	11.23	0.09	11.17	0.03	
iso-d5-LCA;GBA	10.03	9.93	-0.1	9.93	-0.1	
iso-d5-LCA;GBA-3S	6.08	6.09	0.01	6.13	0.05	
iso-d5-LCA;TBA	10.14	10.06	-0.08	10.06	-0.08	
iso-d5-LCA;TBA-3S	5.84	5.88	0.04	5.92	0.08	
3o-d4-LCA;BA	15.38	15.25	-0.13	15.25	-0.13	
3o-d4-LCA;GBA	10.82	10.74	-0.08	10.74	-0.08	
3o-d4-LCA;TBA	10.93	10.86	-0.07	10.86	-0.07	
12-epiDCA;BA	12.11	12.09	-0.02	12.09	-0.02	
12-epiDCA;BA-12S	8.54	8.55	0.01	8.55	0.01	
12-epiDCA;BA-3S	9.73	9.75	0.02	9.72	-0.01	
12-epiDCA;GBA	7.82	7.76	-0.06	7.76	-0.06	
12-epiDCA;GBA-12S	3.46	3.5	0.04	3.5	0.04	
12-epiDCA;GBA-3S	4.45	4.4	-0.05	4.42	-0.03	
12-epiDCA;TBA	8.14	8.04	-0.1	8.04	-0.1	
12-epiDCA;TBA-12S	3.48	3.53	0.05	3.53	0.05	
12-epiDCA;TBA-3S	4.18	4.15	-0.03	4.17	-0.01	
3b-DCA;BA	12.11	12.08	-0.03	12.08	-0.03	
3b-DCA;BA-12S	9.04	8.94	-0.1	8.95	-0.09	
3b-DCA;BA-3S	9.57	9.58	0.01	9.55	-0.02	
3b-DCA;GBA	7.61	7.58	-0.03	7.58	-0.03	
3b-DCA;GBA-12S	3.99	3.92	-0.07	3.93	-0.06	
3b-DCA;GBA-3S	4.23	4.22	-0.01	4.23	0	
3b-DCA;TBA	7.84	7.78	-0.06	7.78	-0.06	
3b-DCA;TBA-12S	3.79	3.76	-0.03	3.77	-0.02	
3b-DCA;TBA-3S	4.18	4.18	0	4.2	0.02	
alloCDCA;BA	13.46	13.45	-0.01	13.45	-0.01	
alloCDCA;BA-3S	10.52	10.58	0.06	10.54	0.02	
alloCDCA;BA-7S	11.04	11.07	0.03	11.02	-0.02	
alloCDCA;GBA	9.96	9.95	-0.01	9.95	-0.01	
alloCDCA;GBA-3S	5.86	5.78	-0.08	5.82	-0.04	
alloCDCA;GBA-7S	6.96	7.08	0.12	7.05	0.09	
alloCDCA;TBA	10.1	10.11	0.01	10.11	0.01	
alloCDCA;TBA-3S	5.74	5.67	-0.07	5.7	-0.04	
alloCDCA;TBA-7S	6.86	6.95	0.09	6.92	0.06	
alloUDCA;BA	11.64	11.63	-0.01	11.63	-0.01	
alloUDCA;BA-3S	7.69	7.74	0.05	7.72	0.03	
alloUDCA;BA-7S	9.66	9.68	0.02	9.65	-0.01	
alloUDCA;GBA	7	7.01	0.01	7.01	0.01	
alloUDCA;GBA-3S	3.11	3.18	0.07	3.17	0.06	
alloUDCA;GBA-7S	4.39	4.31	-0.08	4.33	-0.06	
alloUDCA;TBA	7.2	7.22	0.02	7.22	0.02	
alloUDCA;TBA-3S	3.1	3.17	0.07	3.16	0.06	
alloUDCA;TBA-7S	4.3	4.25	-0.05	4.26	-0.04	
CDCA;BA	13.54	13.56	0.02	13.56	0.02	
CDCA;BA-3S	10.62	10.67	0.05	10.63	0.01	
CDCA;BA-7S	10.75	10.78	0.03	10.74	-0.01	
CDCA;GBA	10.11	10.09	-0.02	10.09	-0.02	
CDCA;GBA-3S	6.13	6.02	-0.11	6.07	-0.06	
CDCA;GBA-7S	6.74	6.71	-0.03	6.72	-0.02	
CDCA;TBA	10.25	10.24	-0.01	10.24	-0.01	
CDCA;TBA-3S	5.99	5.9	-0.09	5.94	-0.05	
CDCA;TBA-7S	6.62	6.52	-0.1	6.56	-0.06	
DCA;BA	13.78	13.76	-0.02	13.76	-0.02	
DCA;BA-3S	10.74	10.79	0.05	10.75	0.01	
DCA;BA-12S	10.98	11.01	0.03	10.96	-0.02	
DCA;GBA	10.51	10.49	-0.02	10.49	-0.02	
DCA;GBA-3S	6.69	6.71	0.02	6.71	0.02	
DCA;GBA-12S	7.2	7.28	0.08	7.25	0.05	
DCA;TBA	10.63	10.62	-0.01	10.62	-0.01	
DCA;TBA-3S	6.61	6.6	-0.01	6.62	0.01	
DCA;TBA-12S	7.05	7.16	0.11	7.12	0.07	
HDCA;BA	11.6	11.62	0.02	11.62	0.02	
HDCA;BA-6S	7.81	7.88	0.07	7.86	0.05	
HDCA;BA-3S	9.51	9.55	0.04	9.53	0.02	
HDCA;GBA	7.12	7.18	0.06	7.18	0.06	
HDCA;GBA-6S	3.08	3.15	0.07	3.14	0.06	
HDCA;GBA-3S	3.89	3.89	0	3.89	0	
HDCA;TBA	7.32	7.36	0.04	7.36	0.04	
HDCA;TBA-6S	3.07	3.14	0.07	3.13	0.06	
HDCA;TBA-3S	3.83	3.83	0	3.84	0.01	
isoCDCA;BA	12.06	12.03	-0.03	12.03	-0.03	
isoCDCA;BA-7S	9.34	9.29	-0.05	9.27	-0.07	
isoCDCA;BA-3S	9.5	9.55	0.05	9.52	0.02	
isoCDCA;GBA	7.24	7.25	0.01	7.25	0.01	
isoCDCA;GBA-7S	3.8	3.78	-0.02	3.79	-0.01	
isoCDCA;GBA-3S	3.91	3.93	0.02	3.94	0.03	
isoCDCA;TBA	7.44	7.42	-0.02	7.42	-0.02	
isoCDCA;TBA-7S	3.66	3.64	-0.02	3.65	-0.01	
isoCDCA;TBA-3S	3.84	3.87	0.03	3.87	0.03	
isoDCA;BA	15.43	15.43	0	15.43	0	
isoDCA;GBA	11.94	11.92	-0.02	11.92	-0.02	
isoDCA;TBA	12.07	12.06	-0.01	12.06	-0.01	
isoHDCA;BA	11.13	11.13	0	11.13	0	
isoHDCA;BA-6S	8.66	8.6	-0.06	8.6	-0.06	
isoHDCA;BA-3S	8.66	8.7	0.04	8.7	0.04	
isoHDCA;GBA	5.39	5.19	-0.2	5.19	-0.2	
isoHDCA;GBA-6S	3.07	3.15	0.08	3.14	0.07	
isoHDCA;GBA-3S	3.32	3.38	0.06	3.37	0.05	
isoHDCA;TBA	5.83	5.59	-0.24	5.59	-0.24	
isoHDCA;TBA-6S	3.05	3.13	0.08	3.12	0.07	
isoHDCA;TBA-3S	3.3	3.36	0.06	3.35	0.05	
isoUDCA;BA	10.78	10.78	0	10.78	0	
isoUDCA;BA-3S	7.05	7.19	0.14	7.16	0.11	
isoUDCA;BA-7S	8.19	8.19	0	8.18	-0.01	
isoUDCA;GBA	4.73	4.57	-0.16	4.57	-0.16	
isoUDCA;GBA-3S	2.8	2.9	0.1	2.92	0.12	
isoUDCA;GBA-7S	3.2	3.27	0.07	3.27	0.07	
isoUDCA;TBA	5.11	4.92	-0.19	4.92	-0.19	
isoUDCA;TBA-3S	2.8	2.91	0.11	2.92	0.12	
isoUDCA;TBA-7S	3.2	3.21	0.01	3.21	0.01	
MDCA;BA	10.68	10.68	0	10.68	0	
MDCA;BA-6S	7.04	7.18	0.14	7.15	0.11	
MDCA;BA-3S	7.42	7.51	0.09	7.49	0.07	
MDCA;GBA	4.98	4.82	-0.16	4.82	-0.16	
MDCA;GBA-6S	2.78	2.87	0.09	2.89	0.11	
MDCA;GBA-3S	2.9	2.97	0.07	2.98	0.08	
MDCA;TBA	5.35	5.17	-0.18	5.17	-0.18	
MDCA;TBA-6S	2.77	2.87	0.1	2.89	0.12	
MDCA;TBA-3S	2.88	2.97	0.09	2.97	0.09	
UDCA;BA	11.41	11.41	0	11.41	0	
UDCA;BA-3S	7.82	7.86	0.04	7.85	0.03	
UDCA;BA-7S	9.43	9.42	-0.01	9.41	-0.02	
UDCA;GBA	6.99	7.01	0.02	7.01	0.02	
UDCA;GBA-3S	3.2	3.27	0.07	3.26	0.06	
UDCA;GBA-7S	4.28	4.26	-0.02	4.27	-0.01	
UDCA;TBA	7.19	7.22	0.03	7.22	0.03	
UDCA;TBA-3S	3.18	3.26	0.08	3.25	0.07	
UDCA;TBA-7S	4.22	4.2	-0.02	4.21	-0.01	
12o-DCA;BA	12.45	12.44	-0.01	12.44	-0.01	
12o-DCA;BA-3S	9.14	9.12	-0.02	9.12	-0.02	
12o-DCA;GBA	8.51	8.37	-0.14	8.37	-0.14	
12o-DCA;GBA-3S	3.83	3.84	0.01	3.84	0.01	
12o-DCA;TBA	8.82	8.64	-0.18	8.64	-0.18	
12o-DCA;TBA-3S	3.77	3.79	0.02	3.8	0.03	
3o-CDCA;BA	13.69	13.71	0.02	13.71	0.02	
3o-CDCA;BA-7S	10.49	10.55	0.06	10.51	0.02	
3o-CDCA;GBA	9.89	9.87	-0.02	9.87	-0.02	
3o-CDCA;GBA-7S	5.74	5.64	-0.1	5.68	-0.06	
3o-CDCA;TBA	10.06	10.07	0.01	10.07	0.01	
3o-CDCA;TBA-7S	5.55	5.48	-0.07	5.51	-0.04	
3o-DCA;BA	13.66	13.59	-0.07	13.59	-0.07	
3o-DCA;BA-12S	10.58	10.6	0.02	10.57	-0.01	
3o-DCA;GBA	10.15	10.13	-0.02	10.13	-0.02	
3o-DCA;GBA-12S	6.63	6.57	-0.06	6.6	-0.03	
3o-DCA;TBA	10.3	10.29	-0.01	10.29	-0.01	
3o-DCA;TBA-12S	6.32	6.22	-0.1	6.27	-0.05	
3o-HDCA;BA	11.97	11.98	0.01	11.98	0.01	
3o-HDCA;BA-6S	8.66	8.7	0.04	8.7	0.04	
3o-HDCA;GBA	7.16	7.22	0.06	7.22	0.06	
3o-HDCA;GBA-6S	3.22	3.3	0.08	3.29	0.07	
3o-HDCA;TBA	7.38	7.43	0.05	7.43	0.05	
3o-HDCA;TBA-6S	3.21	3.3	0.09	3.29	0.08	
6o-alloMDCA;BA	12.17	12.16	-0.01	12.16	-0.01	
6o-alloMDCA;BA-3S	9.11	9.12	0.01	9.11	0	
6o-alloMDCA;GBA	7.42	7.43	0.01	7.43	0.01	
6o-alloMDCA;GBA-3S	3.6	3.63	0.03	3.63	0.03	
6o-alloMDCA;TBA	7.66	7.64	-0.02	7.64	-0.02	
6o-alloMDCA;TBA-3S	3.56	3.61	0.05	3.6	0.04	
6o-HDCA;BA	11.78	11.83	0.05	11.83	0.05	
6o-HDCA;BA-3S	9.11	9.13	0.02	9.13	0.02	
6o-HDCA;GBA	7.18	7.24	0.06	7.24	0.06	
6o-HDCA;GBA-3S	3.62	3.65	0.03	3.65	0.03	
6o-HDCA;TBA	7.4	7.43	0.03	7.43	0.03	
6o-HDCA;TBA-3S	3.58	3.62	0.04	3.62	0.04	
7o-CDCA;BA	12.29	12.28	-0.01	12.28	-0.01	
7o-CDCA;BA-3S	9.49	9.52	0.03	9.5	0.01	
7o-CDCA;GBA	7.94	7.88	-0.06	7.88	-0.06	
7o-CDCA;GBA-3S	3.91	3.92	0.01	3.93	0.02	
7o-CDCA;TBA	8.16	8.07	-0.09	8.07	-0.09	
7o-CDCA;TBA-3S	3.81	3.84	0.03	3.84	0.03	
