All compounds together:
optimized t0: 0.46
optimized tD: 0.66
optimized time: [0.6, 1.1, 2.0, 5.6, 5.9, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: 0.012/0.064
average/RMS error of all compounds after optimization: -0.022/0.109
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.45
optimized tD: 0.63
optimized time: [0.5, 1.1, 1.9, 5.5, 6.0, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.5
optimized tD: 0.56
optimized time: [0.6, 1.1, 2.1, 5.5, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.23, 0.27, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.01/0.051
average/RMS error of all compounds after optimization: -0.027/0.108
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.51	16.63	0.12	16.63	0.12	
alloLCA;BA-3S	11.96	12.05	0.09	11.94	-0.02	
alloLCA;GBA	12.1	12.06	-0.04	12.06	-0.04	
alloLCA;GBA-3S	7.69	7.73	0.04	7.69	0	
alloLCA;TBA	12.14	12.13	-0.01	12.13	-0.01	
alloLCA;TBA-3S	7.49	7.59	0.1	7.55	0.06	
isoalloLCA;BA	15.04	15.21	0.17	15.21	0.17	
isoalloLCA;BA-3S	11.28	11.43	0.15	11.34	0.06	
isoalloLCA;GBA	10.32	10.33	0.01	10.33	0.01	
isoalloLCA;GBA-3S	6.53	6.77	0.24	6.7	0.17	
isoalloLCA;TBA	10.39	10.42	0.03	10.42	0.03	
isoalloLCA;TBA-3S	6.19	6.5	0.31	6.46	0.27	
isoLCA;BA	15.33	15.47	0.14	15.47	0.14	
isoLCA;BA-3S	11.33	11.47	0.14	11.38	0.05	
isoLCA;GBA	10.74	10.71	-0.03	10.71	-0.03	
isoLCA;TBA	10.8	10.8	0	10.8	0	
isoLCA;TBA-3S	6.57	6.89	0.32	6.82	0.25	
LCA;BA	16.4	16.51	0.11	16.51	0.11	
LCA;BA-3S	12.19	12.29	0.1	12.18	-0.01	
LCA;GBA	12.2	12.19	-0.01	12.19	-0.01	
LCA;GBA-3S	8.18	8.23	0.05	8.18	0	
LCA;TBA	12.28	12.26	-0.02	12.26	-0.02	
LCA;TBA-3S	7.96	8.05	0.09	8.01	0.05	
3o-alloLCA;BA	16.41	16.59	0.18	16.59	0.18	
3o-alloLCA;GBA	11.69	11.72	0.03	11.72	0.03	
3o-alloLCA;TBA	11.73	11.79	0.06	11.79	0.06	
3o-LCA;BA	16.71	16.9	0.19	16.9	0.19	
3o-LCA;GBA	12.24	12.25	0.01	12.25	0.01	
3o-LCA;TBA	12.3	12.33	0.03	12.33	0.03	
iso-d5-LCA;BA	14.46	14.64	0.18	14.64	0.18	
iso-d5-LCA;BA-3S	10.95	11.13	0.18	11.05	0.1	
iso-d5-LCA;GBA	9.78	9.8	0.02	9.8	0.02	
iso-d5-LCA;GBA-3S	5.55	5.7	0.15	5.68	0.13	
iso-d5-LCA;TBA	9.89	9.95	0.06	9.95	0.06	
iso-d5-LCA;TBA-3S	5.27	5.51	0.24	5.5	0.23	
3o-d4-LCA;BA	14.99	15.17	0.18	15.17	0.18	
3o-d4-LCA;GBA	10.61	10.63	0.02	10.63	0.02	
3o-d4-LCA;TBA	10.71	10.75	0.04	10.75	0.04	
12-epiDCA;BA	12.01	11.95	-0.06	11.95	-0.06	
12-epiDCA;BA-12S	8.22	8.25	0.03	8.2	-0.02	
12-epiDCA;BA-3S	9.55	9.58	0.03	9.51	-0.04	
12-epiDCA;GBA	7.65	7.53	-0.12	7.53	-0.12	
12-epiDCA;GBA-12S	3.37	3.36	-0.01	3.4	0.03	
12-epiDCA;GBA-3S	4.27	4.17	-0.1	4.19	-0.08	
12-epiDCA;TBA	7.91	7.79	-0.12	7.79	-0.12	
12-epiDCA;TBA-12S	3.38	3.39	0.01	3.42	0.04	
12-epiDCA;TBA-3S	4	3.95	-0.05	3.97	-0.03	
3b-DCA;BA	11.99	11.94	-0.05	11.94	-0.05	
3b-DCA;BA-12S	8.75	8.61	-0.14	8.54	-0.21	
3b-DCA;BA-3S	9.32	9.39	0.07	9.32	0	
3b-DCA;GBA	7.47	7.38	-0.09	7.38	-0.09	
3b-DCA;GBA-12S	3.85	3.75	-0.1	3.77	-0.08	
3b-DCA;GBA-3S	4.01	4.01	0	4.03	0.02	
3b-DCA;TBA	7.66	7.56	-0.1	7.56	-0.1	
3b-DCA;TBA-12S	3.65	3.6	-0.05	3.63	-0.02	
3b-DCA;TBA-3S	3.95	3.98	0.03	4	0.05	
alloCDCA;BA	13.36	13.35	-0.01	13.35	-0.01	
alloCDCA;BA-3S	10.39	10.48	0.09	10.41	0.02	
alloCDCA;BA-7S	10.93	10.97	0.04	10.9	-0.03	
alloCDCA;GBA	9.86	9.83	-0.03	9.83	-0.03	
alloCDCA;GBA-3S	5.47	5.42	-0.05	5.41	-0.06	
alloCDCA;GBA-7S	6.83	6.94	0.11	6.88	0.05	
alloCDCA;TBA	9.99	10.01	0.02	10.01	0.02	
alloCDCA;TBA-3S	5.3	5.32	0.02	5.31	0.01	
alloCDCA;TBA-7S	6.68	6.77	0.09	6.71	0.03	
alloUDCA;BA	11.53	11.49	-0.04	11.49	-0.04	
alloUDCA;BA-3S	7.47	7.53	0.06	7.49	0.02	
alloUDCA;BA-7S	9.46	9.51	0.05	9.44	-0.02	
alloUDCA;GBA	6.89	6.82	-0.07	6.82	-0.07	
alloUDCA;GBA-3S	3.06	3.07	0.01	3.11	0.05	
alloUDCA;GBA-7S	4.19	4.09	-0.1	4.11	-0.08	
alloUDCA;TBA	7.06	7.05	-0.01	7.05	-0.01	
alloUDCA;TBA-3S	3.04	3.07	0.03	3.11	0.07	
alloUDCA;TBA-7S	4.07	4.03	-0.04	4.05	-0.02	
CDCA;BA	13.44	13.46	0.02	13.46	0.02	
CDCA;BA-3S	10.48	10.57	0.09	10.51	0.03	
CDCA;BA-7S	10.64	10.68	0.04	10.61	-0.03	
CDCA;GBA	10	9.99	-0.01	9.99	-0.01	
CDCA;GBA-3S	5.66	5.64	-0.02	5.62	-0.04	
CDCA;GBA-7S	6.49	6.31	-0.18	6.28	-0.21	
CDCA;TBA	10.14	10.14	0	10.14	0	
CDCA;TBA-3S	5.49	5.53	0.04	5.51	0.02	
CDCA;TBA-7S	6.19	6.09	-0.1	6.06	-0.13	
DCA;BA	13.69	13.65	-0.04	13.65	-0.04	
DCA;BA-3S	10.62	10.69	0.07	10.62	0	
DCA;BA-12S	10.89	10.9	0.01	10.83	-0.06	
DCA;GBA	10.42	10.39	-0.03	10.39	-0.03	
DCA;GBA-3S	6.34	6.31	-0.03	6.28	-0.06	
DCA;GBA-12S	7.05	7.12	0.07	7.09	0.04	
DCA;TBA	10.54	10.52	-0.02	10.52	-0.02	
DCA;TBA-3S	6.14	6.17	0.03	6.15	0.01	
DCA;TBA-12S	6.89	7.01	0.12	6.97	0.08	
HDCA;BA	11.51	11.49	-0.02	11.49	-0.02	
HDCA;BA-6S	7.59	7.65	0.06	7.61	0.02	
HDCA;BA-3S	9.28	9.35	0.07	9.27	-0.01	
HDCA;GBA	7	7.02	0.02	7.02	0.02	
HDCA;GBA-6S	3.02	3.04	0.02	3.08	0.06	
HDCA;GBA-3S	3.75	3.71	-0.04	3.74	-0.01	
HDCA;TBA	7.19	7.19	0	7.19	0	
HDCA;TBA-6S	3.01	3.03	0.02	3.08	0.07	
HDCA;TBA-3S	3.66	3.66	0	3.69	0.03	
isoCDCA;BA	11.95	11.89	-0.06	11.89	-0.06	
isoCDCA;BA-7S	9.09	8.96	-0.13	8.89	-0.2	
isoCDCA;BA-3S	9.22	9.34	0.12	9.27	0.05	
isoCDCA;GBA	7.11	7.08	-0.03	7.08	-0.03	
isoCDCA;GBA-7S	3.66	3.61	-0.05	3.64	-0.02	
isoCDCA;GBA-3S	3.74	3.75	0.01	3.77	0.03	
isoCDCA;TBA	7.27	7.23	-0.04	7.23	-0.04	
isoCDCA;TBA-7S	3.53	3.49	-0.04	3.52	-0.01	
isoCDCA;TBA-3S	3.64	3.7	0.06	3.72	0.08	
isoDCA;BA	15.29	15.35	0.06	15.35	0.06	
isoDCA;GBA	11.88	11.81	-0.07	11.81	-0.07	
isoDCA;TBA	11.99	11.95	-0.04	11.95	-0.04	
isoHDCA;BA	11	10.99	-0.01	10.99	-0.01	
isoHDCA;BA-6S	8.3	8.3	0	8.24	-0.06	
isoHDCA;BA-3S	8.3	8.39	0.09	8.33	0.03	
isoHDCA;GBA	5.14	4.89	-0.25	4.89	-0.25	
isoHDCA;GBA-6S	3.02	3.04	0.02	3.08	0.06	
isoHDCA;GBA-3S	3.24	3.25	0.01	3.29	0.05	
isoHDCA;TBA	5.48	5.25	-0.23	5.25	-0.23	
isoHDCA;TBA-6S	2.98	3.02	0.04	3.07	0.09	
isoHDCA;TBA-3S	3.2	3.24	0.04	3.27	0.07	
isoUDCA;BA	10.66	10.63	-0.03	10.63	-0.03	
isoUDCA;BA-3S	6.87	7.02	0.15	6.99	0.12	
isoUDCA;BA-7S	7.93	7.92	-0.01	7.88	-0.05	
isoUDCA;GBA	4.57	4.33	-0.24	4.33	-0.24	
isoUDCA;GBA-3S	2.76	2.8	0.04	2.89	0.13	
isoUDCA;GBA-7S	3.14	3.16	0.02	3.2	0.06	
isoUDCA;TBA	4.89	4.65	-0.24	4.65	-0.24	
isoUDCA;TBA-3S	2.76	2.8	0.04	2.89	0.13	
isoUDCA;TBA-7S	3.08	3.11	0.03	3.14	0.06	
MDCA;BA	10.54	10.53	-0.01	10.53	-0.01	
MDCA;BA-6S	6.86	7.01	0.15	6.97	0.11	
MDCA;BA-3S	7.2	7.31	0.11	7.28	0.08	
MDCA;GBA	4.8	4.55	-0.25	4.55	-0.25	
MDCA;GBA-6S	2.75	2.77	0.02	2.86	0.11	
MDCA;GBA-3S	2.87	2.87	0	2.94	0.07	
MDCA;TBA	5.1	4.87	-0.23	4.87	-0.23	
MDCA;TBA-6S	2.73	2.77	0.04	2.86	0.13	
MDCA;TBA-3S	2.84	2.86	0.02	2.94	0.1	
UDCA;BA	11.31	11.26	-0.05	11.26	-0.05	
UDCA;BA-3S	7.58	7.63	0.05	7.59	0.01	
UDCA;BA-7S	9.19	9.15	-0.04	9.08	-0.11	
UDCA;GBA	6.88	6.81	-0.07	6.81	-0.07	
UDCA;GBA-3S	3.14	3.15	0.01	3.19	0.05	
UDCA;GBA-7S	4.1	4.04	-0.06	4.06	-0.04	
UDCA;TBA	7.06	7.05	-0.01	7.05	-0.01	
UDCA;TBA-3S	3.11	3.14	0.03	3.18	0.07	
UDCA;TBA-7S	4.01	4	-0.01	4.01	0	
12o-DCA;BA	12.35	12.31	-0.04	12.31	-0.04	
12o-DCA;BA-3S	8.8	8.78	-0.02	8.71	-0.09	
12o-DCA;GBA	8.3	8.09	-0.21	8.09	-0.21	
