All compounds together:
optimized t0: 0.72
optimized tD: 0.44
optimized time: [0.6, 1.1, 2.1, 5.5, 6.1, 7.9, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
average/RMS error of calibration compounds after optimization: -0.002/0.041
average/RMS error of all compounds after optimization: 0.019/0.052
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.73
optimized tD: 0.48
optimized time: [0.6, 1.1, 2.1, 5.4, 6.0, 7.9, 8.9, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
For compounds without sulfate: 
optimized t0: 0.68
optimized tD: 0.51
optimized time: [0.4, 1.1, 2.1, 5.6, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.18, 0.27, 0.25, 0.28, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.003/0.032
average/RMS error of all compounds after optimization: 0.033/0.054
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.23	17.23	0	17.23	0	
alloLCA;BA-3S	12.55	12.55	0	12.54	-0.01	
alloLCA;GBA	12.63	12.62	-0.01	12.62	-0.01	
alloLCA;GBA-3S	8.85	8.78	-0.07	8.78	-0.07	
alloLCA;TBA	12.68	12.67	-0.01	12.67	-0.01	
alloLCA;TBA-3S	8.58	8.53	-0.05	8.53	-0.05	
isoalloLCA;BA	15.86	15.82	-0.04	15.82	-0.04	
isoalloLCA;BA-3S	11.96	11.97	0.01	11.96	0	
isoalloLCA;GBA	11.02	11	-0.02	11	-0.02	
isoalloLCA;GBA-3S	7.44	7.46	0.02	7.44	0	
isoalloLCA;TBA	11.07	11.05	-0.02	11.05	-0.02	
isoalloLCA;TBA-3S	7.32	7.36	0.04	7.34	0.02	
isoLCA;BA	16.06	16.08	0.02	16.08	0.02	
isoLCA;BA-3S	11.99	12.02	0.03	12.01	0.02	
isoLCA;GBA	11.35	11.36	0.01	11.36	0.01	
isoLCA;TBA	11.42	11.42	0	11.42	0	
isoLCA;TBA-3S	7.47	7.51	0.04	7.49	0.02	
LCA;BA	17.12	17.11	-0.01	17.11	-0.01	
LCA;BA-3S	12.8	12.8	0	12.79	-0.01	
LCA;GBA	12.74	12.73	-0.01	12.73	-0.01	
LCA;GBA-3S	9.52	9.45	-0.07	9.47	-0.05	
LCA;TBA	12.81	12.8	-0.01	12.8	-0.01	
LCA;TBA-3S	9.33	9.25	-0.08	9.27	-0.06	
3o-alloLCA;BA	17.26	17.21	-0.05	17.21	-0.05	
3o-alloLCA;GBA	12.33	12.32	-0.01	12.32	-0.01	
3o-alloLCA;TBA	12.37	12.37	0	12.37	0	
