All compounds together:
optimized t0: 0.74
optimized tD: 0.34
optimized time: [0.6, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.62, 0.68]
average/RMS error of calibration compounds after optimization: 0.007/0.056
average/RMS error of all compounds after optimization: 0.039/0.076
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.75
optimized tD: 0.36
optimized time: [0.6, 13.4, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.68]
For compounds without sulfate: 
optimized t0: 0.74
optimized tD: 0.29
optimized time: [0.6, 13.5, 15.6, 18.1]
optimized perB: [0.2, 0.4, 0.62, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.013/0.049
average/RMS error of all compounds after optimization: 0.049/0.079
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.93	17.93	0	17.93	0	
alloLCA;BA-3S	14.81	14.86	0.05	14.83	0.02	
alloLCA;GBA	14.83	14.87	0.04	14.87	0.04	
alloLCA;GBA-3S	8.78	8.74	-0.04	8.75	-0.03	
alloLCA;TBA	14.92	14.95	0.03	14.95	0.03	
alloLCA;TBA-3S	8.58	8.55	-0.03	8.56	-0.02	
isoalloLCA;BA	17.02	16.92	-0.1	16.92	-0.1	
isoalloLCA;BA-3S	13.61	13.68	0.07	13.67	0.06	
isoalloLCA;GBA	11.67	11.64	-0.03	11.64	-0.03	
isoalloLCA;GBA-3S	7.38	7.34	-0.04	7.36	-0.02	
isoalloLCA;TBA	11.8	11.77	-0.03	11.77	-0.03	
isoalloLCA;TBA-3S	7.22	7.19	-0.03	7.21	-0.01	
isoLCA;BA	17.15	17.09	-0.06	17.09	-0.06	
isoLCA;BA-3S	13.69	13.77	0.08	13.76	0.07	
isoLCA;GBA	12.31	12.33	0.02	12.33	0.02	
isoLCA;TBA	12.45	12.47	0.02	12.47	0.02	
isoLCA;TBA-3S	7.44	7.42	-0.02	7.44	0	
LCA;BA	17.85	17.84	-0.01	17.84	-0.01	
LCA;BA-3S	15.09	15.12	0.03	15.09	0	
LCA;GBA	14.99	15.02	0.03	15.02	0.03	
LCA;GBA-3S	9.32	9.27	-0.05	9.28	-0.04	
LCA;TBA	15.08	15.09	0.01	15.09	0.01	
LCA;TBA-3S	9.14	9.08	-0.06	9.1	-0.04	
3o-alloLCA;BA	17.95	17.89	-0.06	17.89	-0.06	
3o-alloLCA;GBA	14.23	14.28	0.05	14.28	0.05	
3o-alloLCA;TBA	14.35	14.42	0.07	14.42	0.07	
3o-LCA;BA	18.12	18.13	0.01	18.13	0.01	
3o-LCA;GBA	15.04	15.08	0.04	15.08	0.04	
3o-LCA;TBA	15.12	15.16	0.04	15.16	0.04	
iso-d5-LCA;BA	16.67	16.61	-0.06	16.61	-0.06	
iso-d5-LCA;BA-3S	13	13.1	0.1	13.09	0.09	
iso-d5-LCA;GBA	10.83	10.84	0.01	10.84	0.01	
iso-d5-LCA;GBA-3S	6.85	6.83	-0.02	6.85	0	
iso-d5-LCA;TBA	11	11.01	0.01	11.01	0.01	
iso-d5-LCA;TBA-3S	6.73	6.71	-0.02	6.73	0	
3o-d4-LCA;BA	17	16.92	-0.08	16.92	-0.08	
3o-d4-LCA;GBA	12.18	12.2	0.02	12.2	0.02	
3o-d4-LCA;TBA	12.38	12.41	0.03	12.41	0.03	
12-epiDCA;BA	14.55	14.73	0.18	14.73	0.18	
12-epiDCA;BA-12S	9.38	9.44	0.06	9.45	0.07	
12-epiDCA;BA-3S	10.52	10.58	0.06	10.6	0.08	
12-epiDCA;GBA	8.61	8.66	0.05	8.66	0.05	
12-epiDCA;GBA-12S	4.54	4.54	0	4.58	0.04	
12-epiDCA;GBA-3S	5.66	5.66	0	5.7	0.04	
12-epiDCA;TBA	8.93	8.98	0.05	8.98	0.05	
12-epiDCA;TBA-12S	4.62	4.62	0	4.65	0.03	
