All compounds together:
optimized t0: 0.62
optimized tD: 0.35
optimized time: [0.4, 1.0, 2.1, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.001/0.014
average/RMS error of all compounds after optimization: 0.01/0.04
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.62
optimized tD: 0.36
optimized time: [0.4, 1.0, 2.1, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.63
optimized tD: 0.31
optimized time: [0.4, 0.9, 1.9, 5.5, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.001/0.013
average/RMS error of all compounds after optimization: 0.01/0.041
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.96	16.94	-0.02	16.94	-0.02	
alloLCA;BA-3S	12.25	12.23	-0.02	12.24	-0.01	
alloLCA;GBA	12.28	12.28	0	12.27	-0.01	
alloLCA;GBA-3S	8.19	8.15	-0.04	8.15	-0.04	
alloLCA;TBA	12.33	12.34	0.01	12.33	0	
alloLCA;TBA-3S	7.99	7.94	-0.05	7.94	-0.05	
isoalloLCA;BA	15.51	15.51	0	15.51	0	
isoalloLCA;BA-3S	11.65	11.63	-0.02	11.64	-0.01	
isoalloLCA;GBA	10.61	10.6	-0.01	10.6	-0.01	
isoalloLCA;GBA-3S	7.05	7.01	-0.04	7.01	-0.04	
isoalloLCA;TBA	10.68	10.67	-0.01	10.66	-0.02	
isoalloLCA;TBA-3S	6.97	6.94	-0.03	6.94	-0.03	
isoLCA;BA	15.76	15.77	0.01	15.77	0.01	
isoLCA;BA-3S	11.7	11.68	-0.02	11.69	-0.01	
isoLCA;GBA	10.98	10.98	0	10.97	-0.01	
isoLCA;TBA	11.04	11.05	0.01	11.04	0	
isoLCA;TBA-3S	7.09	7.06	-0.03	7.06	-0.03	
LCA;BA	16.84	16.82	-0.02	16.82	-0.02	
LCA;BA-3S	12.49	12.48	-0.01	12.49	0	
LCA;GBA	12.4	12.4	0	12.4	0	
LCA;GBA-3S	8.84	8.83	-0.01	8.83	-0.01	
LCA;TBA	12.47	12.47	0	12.47	0	
LCA;TBA-3S	8.6	8.58	-0.02	8.58	-0.02	
3o-alloLCA;BA	16.95	16.91	-0.04	16.92	-0.03	
3o-alloLCA;GBA	11.97	11.97	0	11.96	-0.01	
3o-alloLCA;TBA	12.02	12.02	0	12.02	0	
3o-LCA;BA	17.23	17.21	-0.02	17.22	-0.01	
3o-LCA;GBA	12.49	12.48	-0.01	12.48	-0.01	
3o-LCA;TBA	12.56	12.56	0	12.55	-0.01	
iso-d5-LCA;BA	14.92	14.94	0.02	14.95	0.03	
iso-d5-LCA;BA-3S	11.36	11.35	-0.01	11.36	0	
iso-d5-LCA;GBA	10.12	10.14	0.02	10.13	0.01	
iso-d5-LCA;GBA-3S	6.65	6.71	0.06	6.65	0	
iso-d5-LCA;TBA	10.22	10.24	0.02	10.23	0.01	
iso-d5-LCA;TBA-3S	6.42	6.54	0.12	6.51	0.09	
3o-d4-LCA;BA	15.49	15.49	0	15.49	0	
3o-d4-LCA;GBA	10.91	10.91	0	10.91	0	
3o-d4-LCA;TBA	11.02	11.02	0	11.02	0	
12-epiDCA;BA	12.3	12.3	0	12.3	0	
12-epiDCA;BA-12S	8.91	8.98	0.07	8.98	0.07	
12-epiDCA;BA-3S	9.95	9.98	0.03	9.98	0.03	
12-epiDCA;GBA	7.99	8.04	0.05	8.06	0.07	
12-epiDCA;GBA-12S	3.66	3.65	-0.01	3.66	0	
12-epiDCA;GBA-3S	4.71	4.74	0.03	4.75	0.04	
12-epiDCA;TBA	8.33	8.39	0.06	8.41	0.08	
12-epiDCA;TBA-12S	3.7	3.68	-0.02	3.69	-0.01	
12-epiDCA;TBA-3S	4.42	4.44	0.02	4.45	0.03	
3b-DCA;BA	12.31	12.3	-0.01	12.3	-0.01	
3b-DCA;BA-12S	9.31	9.35	0.04	9.35	0.04	
3b-DCA;BA-3S	9.85	9.81	-0.04	9.82	-0.03	
3b-DCA;GBA	7.8	7.82	0.02	7.84	0.04	
3b-DCA;GBA-12S	4.19	4.16	-0.03	4.17	-0.02	
3b-DCA;GBA-3S	4.56	4.52	-0.04	4.53	-0.03	
3b-DCA;TBA	8.02	8.06	0.04	8.07	0.05	
3b-DCA;TBA-12S	4.01	3.96	-0.05	3.97	-0.04	
3b-DCA;TBA-3S	4.51	4.48	-0.03	4.49	-0.02	
alloCDCA;BA	13.63	13.65	0.02	13.65	0.02	
alloCDCA;BA-3S	10.72	10.73	0.01	10.73	0.01	
alloCDCA;BA-7S	11.21	11.21	0	11.21	0	
alloCDCA;GBA	10.12	10.13	0.01	10.13	0.01	
alloCDCA;GBA-3S	6.29	6.42	0.13	6.42	0.13	
alloCDCA;GBA-7S	7.16	7.15	-0.01	7.15	-0.01	
alloCDCA;TBA	10.26	10.27	0.01	10.27	0.01	
alloCDCA;TBA-3S	6.17	6.27	0.1	6.28	0.11	
alloCDCA;TBA-7S	7.07	7.04	-0.03	7.04	-0.03	
alloUDCA;BA	11.84	11.85	0.01	11.85	0.01	
alloUDCA;BA-3S	7.99	8	0.01	7.99	0	
alloUDCA;BA-7S	9.89	9.91	0.02	9.91	0.02	
alloUDCA;GBA	7.2	7.18	-0.02	7.18	-0.02	
alloUDCA;GBA-3S	3.3	3.26	-0.04	3.27	-0.03	
alloUDCA;GBA-7S	4.68	4.63	-0.05	4.64	-0.04	
alloUDCA;TBA	7.41	7.39	-0.02	7.39	-0.02	
alloUDCA;TBA-3S	3.29	3.24	-0.05	3.25	-0.04	
alloUDCA;TBA-7S	4.59	4.55	-0.04	4.56	-0.03	
CDCA;BA	13.72	13.77	0.05	13.77	0.05	
CDCA;BA-3S	10.82	10.81	-0.01	10.82	0	
CDCA;BA-7S	10.93	10.92	-0.01	10.93	0	
CDCA;GBA	10.26	10.27	0.01	10.26	0	
CDCA;GBA-3S	6.53	6.67	0.14	6.61	0.08	
CDCA;GBA-7S	6.94	6.93	-0.01	6.92	-0.02	
CDCA;TBA	10.4	10.41	0.01	10.4	0	
CDCA;TBA-3S	6.41	6.56	0.15	6.53	0.12	
CDCA;TBA-7S	6.85	6.86	0.01	6.84	-0.01	
DCA;BA	13.96	13.98	0.02	13.99	0.03	
DCA;BA-3S	10.94	10.93	-0.01	10.94	0	
DCA;BA-12S	11.15	11.15	0	11.16	0.01	
DCA;GBA	10.65	10.65	0	10.65	0	
DCA;GBA-3S	6.93	6.92	-0.01	6.91	-0.02	
DCA;GBA-12S	7.41	7.4	-0.01	7.39	-0.02	
DCA;TBA	10.77	10.78	0.01	10.77	0	
DCA;TBA-3S	6.86	6.88	0.02	6.86	0	
DCA;TBA-12S	7.25	7.24	-0.01	7.24	-0.01	
HDCA;BA	11.81	11.8	-0.01	11.8	-0.01	
HDCA;BA-6S	8.17	8.17	0	8.16	-0.01	
HDCA;BA-3S	9.8	9.8	0	9.81	0.01	
HDCA;GBA	7.31	7.31	0	7.31	0	
HDCA;GBA-6S	3.26	3.21	-0.05	3.22	-0.04	
HDCA;GBA-3S	4.15	4.11	-0.04	4.12	-0.03	
HDCA;TBA	7.53	7.52	-0.01	7.53	0	
HDCA;TBA-6S	3.25	3.2	-0.05	3.21	-0.04	
HDCA;TBA-3S	4.08	4.05	-0.03	4.06	-0.02	
isoCDCA;BA	12.25	12.24	-0.01	12.24	-0.01	
isoCDCA;BA-7S	9.58	9.6	0.02	9.61	0.03	
isoCDCA;BA-3S	9.8	9.79	-0.01	9.8	0	
isoCDCA;GBA	7.41	7.41	0	7.42	0.01	
isoCDCA;GBA-7S	3.97	3.98	0.01	3.99	0.02	
isoCDCA;GBA-3S	4.17	4.17	0	4.18	0.01	
isoCDCA;TBA	7.61	7.62	0.01	7.62	0.01	
isoCDCA;TBA-7S	3.82	3.82	0	3.83	0.01	
isoCDCA;TBA-3S	4.11	4.09	-0.02	4.1	-0.01	
isoDCA;BA	15.67	15.68	0.01	15.69	0.02	
isoDCA;GBA	12.08	12.08	0	12.07	-0.01	
isoDCA;TBA	12.21	12.22	0.01	12.21	0	
isoHDCA;BA	11.33	11.33	0	11.33	0	
isoHDCA;BA-6S	9	9.05	0.05	9.05	0.05	
isoHDCA;BA-3S	9.09	9.13	0.04	9.13	0.04	
isoHDCA;GBA	5.63	5.7	0.07	5.69	0.06	
