All compounds together:
optimized t0: 0.54
optimized tD: 0.47
optimized time: [0.6, 0.9, 1.9, 5.4, 6.0, 8.0, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.002/0.028
average/RMS error of all compounds after optimization: 0.005/0.057
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.5
optimized tD: 0.61
optimized time: [0.4, 1.1, 1.9, 5.5, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.37
optimized time: [0.4, 1.1, 2.0, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.003/0.014
average/RMS error of all compounds after optimization: 0.018/0.062
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.71	-0.03	16.71	-0.03	
alloLCA;BA-3S	12.07	12.1	0.03	12.08	0.01	
alloLCA;GBA	12.16	12.13	-0.03	12.13	-0.03	
alloLCA;GBA-3S	7.9	7.9	0	7.94	0.04	
alloLCA;TBA	12.22	12.19	-0.03	12.19	-0.03	
alloLCA;TBA-3S	7.71	7.73	0.02	7.79	0.08	
isoalloLCA;BA	15.46	15.3	-0.16	15.3	-0.16	
isoalloLCA;BA-3S	11.45	11.5	0.05	11.48	0.03	
isoalloLCA;GBA	10.55	10.44	-0.11	10.45	-0.1	
isoalloLCA;GBA-3S	6.79	6.89	0.1	6.95	0.16	
isoalloLCA;TBA	10.61	10.51	-0.1	10.52	-0.09	
isoalloLCA;TBA-3S	6.68	6.8	0.12	6.82	0.14	
isoLCA;BA	15.6	15.55	-0.05	15.55	-0.05	
isoLCA;BA-3S	11.49	11.54	0.05	11.52	0.03	
isoLCA;GBA	10.86	10.82	-0.04	10.83	-0.03	
isoLCA;TBA	10.93	10.89	-0.04	10.9	-0.03	
isoLCA;TBA-3S	6.84	6.95	0.11	7.03	0.19	
LCA;BA	16.6	16.59	-0.01	16.59	-0.01	
LCA;BA-3S	12.3	12.35	0.05	12.31	0.01	
LCA;GBA	12.27	12.26	-0.01	12.25	-0.02	
LCA;GBA-3S	8.49	8.49	0	8.49	0	
LCA;TBA	12.35	12.33	-0.02	12.32	-0.03	
LCA;TBA-3S	8.28	8.28	0	8.3	0.02	
3o-alloLCA;BA	16.79	16.68	-0.11	16.68	-0.11	
3o-alloLCA;GBA	11.87	11.81	-0.06	11.81	-0.06	
3o-alloLCA;TBA	11.93	11.87	-0.06	11.87	-0.06	
3o-LCA;BA	16.99	16.98	-0.01	16.98	-0.01	
3o-LCA;GBA	12.35	12.33	-0.02	12.33	-0.02	
3o-LCA;TBA	12.43	12.41	-0.02	12.4	-0.03	
iso-d5-LCA;BA	14.84	14.74	-0.1	14.74	-0.1	
iso-d5-LCA;BA-3S	11.14	11.21	0.07	11.19	0.05	
iso-d5-LCA;GBA	10.03	9.95	-0.08	9.97	-0.06	
iso-d5-LCA;GBA-3S	6.08	6.24	0.16	6.04	-0.04	
iso-d5-LCA;TBA	10.14	10.07	-0.07	10.08	-0.06	
iso-d5-LCA;TBA-3S	5.84	6.02	0.18	5.84	0	
3o-d4-LCA;BA	15.38	15.27	-0.11	15.28	-0.1	
3o-d4-LCA;GBA	10.82	10.74	-0.08	10.76	-0.06	
3o-d4-LCA;TBA	10.93	10.86	-0.07	10.87	-0.06	
12-epiDCA;BA	12.11	12.1	-0.01	12.12	0.01	
12-epiDCA;BA-12S	8.54	8.58	0.04	8.53	-0.01	
12-epiDCA;BA-3S	9.73	9.78	0.05	9.72	-0.01	
12-epiDCA;GBA	7.82	7.75	-0.07	7.81	-0.01	
12-epiDCA;GBA-12S	3.46	3.51	0.05	3.51	0.05	
12-epiDCA;GBA-3S	4.45	4.46	0.01	4.39	-0.06	
12-epiDCA;TBA	8.14	8.05	-0.09	8.13	-0.01	
12-epiDCA;TBA-12S	3.48	3.54	0.06	3.54	0.06	
12-epiDCA;TBA-3S	4.18	4.2	0.02	4.15	-0.03	
3b-DCA;BA	12.11	12.09	-0.02	12.11	0	
3b-DCA;BA-12S	9.04	8.99	-0.05	8.92	-0.12	
3b-DCA;BA-3S	9.57	9.6	0.03	9.56	-0.01	
3b-DCA;GBA	7.61	7.56	-0.05	7.62	0.01	
3b-DCA;GBA-12S	3.99	3.96	-0.03	3.92	-0.07	
3b-DCA;GBA-3S	4.23	4.27	0.04	4.21	-0.02	
3b-DCA;TBA	7.84	7.77	-0.07	7.83	-0.01	
3b-DCA;TBA-12S	3.79	3.78	-0.01	3.76	-0.03	
3b-DCA;TBA-3S	4.18	4.23	0.05	4.18	0	
alloCDCA;BA	13.46	13.45	-0.01	13.46	0	
alloCDCA;BA-3S	10.52	10.57	0.05	10.55	0.03	
alloCDCA;BA-7S	11.04	11.06	0.02	11.04	0	
alloCDCA;GBA	9.96	9.96	0	9.98	0.02	
alloCDCA;GBA-3S	5.86	5.92	0.06	5.74	-0.12	
alloCDCA;GBA-7S	6.96	7.02	0.06	7.1	0.14	
alloCDCA;TBA	10.1	10.11	0.01	10.12	0.02	
alloCDCA;TBA-3S	5.74	5.79	0.05	5.63	-0.11	
alloCDCA;TBA-7S	6.86	6.91	0.05	6.96	0.1	
alloUDCA;BA	11.64	11.64	0	11.67	0.03	
alloUDCA;BA-3S	7.69	7.72	0.03	7.74	0.05	
alloUDCA;BA-7S	9.66	9.7	0.04	9.66	0	
alloUDCA;GBA	7	6.99	-0.01	7.02	0.02	
alloUDCA;GBA-3S	3.11	3.17	0.06	3.19	0.08	
alloUDCA;GBA-7S	4.39	4.36	-0.03	4.3	-0.09	
alloUDCA;TBA	7.2	7.18	-0.02	7.21	0.01	
alloUDCA;TBA-3S	3.1	3.15	0.05	3.18	0.08	
alloUDCA;TBA-7S	4.3	4.29	-0.01	4.24	-0.06	
CDCA;BA	13.54	13.57	0.03	13.58	0.04	
CDCA;BA-3S	10.62	10.66	0.04	10.65	0.03	
CDCA;BA-7S	10.75	10.77	0.02	10.76	0.01	
CDCA;GBA	10.11	10.1	-0.01	10.11	0	
CDCA;GBA-3S	6.13	6.17	0.04	5.98	-0.15	
CDCA;GBA-7S	6.74	6.75	0.01	6.7	-0.04	
CDCA;TBA	10.25	10.25	0	10.26	0.01	
CDCA;TBA-3S	5.99	6.04	0.05	5.86	-0.13	
CDCA;TBA-7S	6.62	6.62	0	6.47	-0.15	
DCA;BA	13.78	13.78	0	13.79	0.01	
