All compounds together:
optimized t0: 0.72
optimized tD: 0.45
optimized time: [0.6, 1.1, 2.1, 5.4, 6.1, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
average/RMS error of calibration compounds after optimization: -0.011/0.038
average/RMS error of all compounds after optimization: 0.013/0.048
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.68
optimized tD: 0.58
optimized time: [0.4, 1.1, 2.0, 5.6, 5.9, 7.9, 8.9, 16.9, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.23, 0.32, 0.28, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.75
optimized tD: 0.29
optimized time: [0.6, 1.1, 2.1, 5.5, 6.1, 7.9, 9.1, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0/0.032
average/RMS error of all compounds after optimization: 0.032/0.097
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.23	17.18	-0.05	17.18	-0.05	
alloLCA;BA-3S	12.55	12.55	0	12.57	0.02	
alloLCA;GBA	12.63	12.61	-0.02	12.61	-0.02	
alloLCA;GBA-3S	8.85	8.76	-0.09	8.44	-0.41	
alloLCA;TBA	12.68	12.66	-0.02	12.66	-0.02	
alloLCA;TBA-3S	8.58	8.51	-0.07	8.14	-0.44	
isoalloLCA;BA	15.86	15.79	-0.07	15.79	-0.07	
isoalloLCA;BA-3S	11.96	11.97	0.01	11.98	0.02	
isoalloLCA;GBA	11.02	11	-0.02	11	-0.02	
isoalloLCA;GBA-3S	7.44	7.44	0	7.38	-0.06	
isoalloLCA;TBA	11.07	11.05	-0.02	11.05	-0.02	
isoalloLCA;TBA-3S	7.32	7.34	0.02	7.32	0	
isoLCA;BA	16.06	16.04	-0.02	16.05	-0.01	
isoLCA;BA-3S	11.99	12.02	0.03	12.03	0.04	
isoLCA;GBA	11.35	11.36	0.01	11.37	0.02	
isoLCA;TBA	11.42	11.43	0.01	11.43	0.01	
isoLCA;TBA-3S	7.47	7.49	0.02	7.4	-0.07	
LCA;BA	17.12	17.06	-0.06	17.07	-0.05	
LCA;BA-3S	12.8	12.79	-0.01	12.82	0.02	
LCA;GBA	12.74	12.73	-0.01	12.73	-0.01	
