All compounds together:
optimized t0: 0.57
optimized tD: 0.35
optimized time: [0.6, 1.0, 1.9, 5.4, 5.9, 8.1, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.005/0.026
average/RMS error of all compounds after optimization: 0.015/0.065
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.5
optimized tD: 0.61
optimized time: [0.4, 1.1, 1.9, 5.5, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.38
optimized time: [0.4, 1.1, 2.0, 5.4, 6.0, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.004/0.013
average/RMS error of all compounds after optimization: 0.017/0.061
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.69	-0.05	16.72	-0.02	
alloLCA;BA-3S	12.07	12.07	0	12.08	0.01	
alloLCA;GBA	12.16	12.11	-0.05	12.13	-0.03	
alloLCA;GBA-3S	7.9	7.86	-0.04	7.94	0.04	
alloLCA;TBA	12.22	12.17	-0.05	12.19	-0.03	
alloLCA;TBA-3S	7.71	7.68	-0.03	7.79	0.08	
isoalloLCA;BA	15.46	15.28	-0.18	15.31	-0.15	
isoalloLCA;BA-3S	11.45	11.47	0.02	11.48	0.03	
isoalloLCA;GBA	10.55	10.44	-0.11	10.44	-0.11	
isoalloLCA;GBA-3S	6.79	6.82	0.03	6.95	0.16	
isoalloLCA;TBA	10.61	10.51	-0.1	10.51	-0.1	
isoalloLCA;TBA-3S	6.68	6.75	0.07	6.82	0.14	
isoLCA;BA	15.6	15.54	-0.06	15.56	-0.04	
isoLCA;BA-3S	11.49	11.52	0.03	11.52	0.03	
isoLCA;GBA	10.86	10.81	-0.05	10.82	-0.04	
isoLCA;TBA	10.93	10.89	-0.04	10.89	-0.04	
isoLCA;TBA-3S	6.84	6.87	0.03	7.03	0.19	
LCA;BA	16.6	16.57	-0.03	16.6	0	
LCA;BA-3S	12.3	12.32	0.02	12.31	0.01	
LCA;GBA	12.27	12.24	-0.03	12.26	-0.01	
LCA;GBA-3S	8.49	8.49	0	8.49	0	
LCA;TBA	12.35	12.31	-0.04	12.33	-0.02	
LCA;TBA-3S	8.28	8.27	-0.01	8.3	0.02	
3o-alloLCA;BA	16.79	16.66	-0.13	16.69	-0.1	
3o-alloLCA;GBA	11.87	11.8	-0.07	11.82	-0.05	
3o-alloLCA;TBA	11.93	11.86	-0.07	11.88	-0.05	
3o-LCA;BA	16.99	16.96	-0.03	16.99	0	
3o-LCA;GBA	12.35	12.31	-0.04	12.33	-0.02	
3o-LCA;TBA	12.43	12.38	-0.05	12.41	-0.02	
iso-d5-LCA;BA	14.84	14.72	-0.12	14.75	-0.09	
iso-d5-LCA;BA-3S	11.14	11.19	0.05	11.19	0.05	
iso-d5-LCA;GBA	10.03	9.97	-0.06	9.95	-0.08	
iso-d5-LCA;GBA-3S	6.08	6.38	0.3	6.04	-0.04	
iso-d5-LCA;TBA	10.14	10.08	-0.06	10.06	-0.08	
iso-d5-LCA;TBA-3S	5.84	6.15	0.31	5.84	0	
3o-d4-LCA;BA	15.38	15.26	-0.12	15.29	-0.09	
3o-d4-LCA;GBA	10.82	10.74	-0.08	10.75	-0.07	
3o-d4-LCA;TBA	10.93	10.85	-0.08	10.86	-0.07	
12-epiDCA;BA	12.11	12.1	-0.01	12.12	0.01	
12-epiDCA;BA-12S	8.54	8.61	0.07	8.53	-0.01	
12-epiDCA;BA-3S	9.73	9.8	0.07	9.72	-0.01	
12-epiDCA;GBA	7.82	7.74	-0.08	7.81	-0.01	
12-epiDCA;GBA-12S	3.46	3.5	0.04	3.51	0.05	
12-epiDCA;GBA-3S	4.45	4.51	0.06	4.39	-0.06	
12-epiDCA;TBA	8.14	8.06	-0.08	8.13	-0.01	
12-epiDCA;TBA-12S	3.48	3.54	0.06	3.54	0.06	
12-epiDCA;TBA-3S	4.18	4.24	0.06	4.15	-0.03	
3b-DCA;BA	12.11	12.1	-0.01	12.11	0	
3b-DCA;BA-12S	9.04	9.05	0.01	8.92	-0.12	
3b-DCA;BA-3S	9.57	9.63	0.06	9.56	-0.01	
3b-DCA;GBA	7.61	7.54	-0.07	7.61	0	
3b-DCA;GBA-12S	3.99	3.98	-0.01	3.92	-0.07	
3b-DCA;GBA-3S	4.23	4.31	0.08	4.21	-0.02	
3b-DCA;TBA	7.84	7.76	-0.08	7.83	-0.01	
3b-DCA;TBA-12S	3.79	3.8	0.01	3.76	-0.03	
3b-DCA;TBA-3S	4.18	4.27	0.09	4.18	0	
alloCDCA;BA	13.46	13.44	-0.02	13.47	0.01	
alloCDCA;BA-3S	10.52	10.57	0.05	10.55	0.03	
alloCDCA;BA-7S	11.04	11.05	0.01	11.04	0	
alloCDCA;GBA	9.96	9.97	0.01	9.95	-0.01	
alloCDCA;GBA-3S	5.86	6.05	0.19	5.74	-0.12	
alloCDCA;GBA-7S	6.96	6.94	-0.02	7.1	0.14	
alloCDCA;TBA	10.1	10.12	0.02	10.1	0	
alloCDCA;TBA-3S	5.74	5.91	0.17	5.63	-0.11	
alloCDCA;TBA-7S	6.86	6.84	-0.02	6.96	0.1	
alloUDCA;BA	11.64	11.65	0.01	11.66	0.02	
alloUDCA;BA-3S	7.69	7.71	0.02	7.74	0.05	
alloUDCA;BA-7S	9.66	9.73	0.07	9.66	0	
alloUDCA;GBA	7	6.94	-0.06	7.01	0.01	
