All compounds together:
optimized t0: 0.47
optimized tD: 0.38
optimized time: [0.6, 1.1, 2.1, 5.5, 5.9, 8.1, 8.9, 17.1, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: -0.011/0.032
average/RMS error of all compounds after optimization: -0.026/0.061
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.46
optimized tD: 0.39
optimized time: [0.4, 1.1, 1.9, 5.5, 6.0, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
For compounds without sulfate: 
optimized t0: 0.5
optimized tD: 0.29
optimized time: [0.6, 1.1, 2.0, 5.4, 5.9, 7.9, 8.9, 17.0, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.028
average/RMS error of all compounds after optimization: -0.009/0.057
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.53	16.48	-0.05	16.51	-0.02	
alloLCA;BA-3S	11.75	11.75	0	11.78	0.03	
alloLCA;GBA	11.77	11.77	0	11.77	0	
alloLCA;GBA-3S	7.47	7.47	0	7.49	0.02	
alloLCA;TBA	11.83	11.83	0	11.84	0.01	
alloLCA;TBA-3S	7.29	7.32	0.03	7.35	0.06	
isoalloLCA;BA	15.17	15.01	-0.16	15.04	-0.13	
isoalloLCA;BA-3S	11.18	11.12	-0.06	11.16	-0.02	
isoalloLCA;GBA	10.11	10.03	-0.08	10.01	-0.1	
isoalloLCA;GBA-3S	6.48	6.53	0.05	6.52	0.04	
isoalloLCA;TBA	10.17	10.12	-0.05	10.09	-0.08	
isoalloLCA;TBA-3S	6.21	6.36	0.15	6.31	0.1	
isoLCA;BA	15.31	15.28	-0.03	15.31	0	
isoLCA;BA-3S	11.21	11.17	-0.04	11.21	0	
isoLCA;GBA	10.44	10.41	-0.03	10.4	-0.04	
isoLCA;TBA	10.51	10.49	-0.02	10.48	-0.03	
isoLCA;TBA-3S	6.54	6.62	0.08	6.62	0.08	
LCA;BA	16.37	16.36	-0.01	16.39	0.02	
LCA;BA-3S	12	12	0	12.02	0.02	
LCA;GBA	11.88	11.9	0.02	11.91	0.03	
LCA;GBA-3S	7.97	7.98	0.01	7.99	0.02	
LCA;TBA	11.96	11.97	0.01	11.98	0.02	
LCA;TBA-3S	7.77	7.8	0.03	7.82	0.05	
3o-alloLCA;BA	16.59	16.44	-0.15	16.48	-0.11	
3o-alloLCA;GBA	11.5	11.42	-0.08	11.43	-0.07	
3o-alloLCA;TBA	11.54	11.49	-0.05	11.5	-0.04	
3o-LCA;BA	16.81	16.76	-0.05	16.79	-0.02	
3o-LCA;GBA	11.99	11.96	-0.03	11.97	-0.02	
3o-LCA;TBA	12.06	12.04	-0.02	12.05	-0.01	
