All compounds together:
optimized t0: 0.53
optimized tD: 0.3
optimized time: [0.4, 13.6, 15.6, 18.0]
optimized perB: [0.2, 0.4, 0.6, 0.68]
average/RMS error of calibration compounds after optimization: 0.016/0.08
average/RMS error of all compounds after optimization: 0.042/0.098
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.51
optimized tD: 0.3
optimized time: [0.4, 13.6, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.58, 0.68]
For compounds without sulfate: 
optimized t0: 0.53
optimized tD: 0.37
optimized time: [0.4, 13.6, 15.5, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.005/0.021
average/RMS error of all compounds after optimization: 0.036/0.069
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.38	17.38	0	17.38	0	
alloLCA;BA-3S	13.65	13.81	0.16	13.68	0.03	
alloLCA;GBA	13.82	13.76	-0.06	13.83	0.01	
alloLCA;GBA-3S	7.71	7.79	0.08	7.69	-0.02	
alloLCA;TBA	13.96	13.91	-0.05	13.98	0.02	
alloLCA;TBA-3S	7.46	7.62	0.16	7.53	0.07	
isoalloLCA;BA	16.45	16.5	0.05	16.51	0.06	
isoalloLCA;BA-3S	12.33	12.55	0.22	12.43	0.1	
isoalloLCA;GBA	10.53	10.49	-0.04	10.56	0.03	
isoalloLCA;GBA-3S	6.23	6.4	0.17	6.32	0.09	
isoalloLCA;TBA	10.65	10.65	0	10.71	0.06	
isoalloLCA;TBA-3S	6.04	6.27	0.23	6.19	0.15	
isoLCA;BA	16.63	16.64	0.01	16.65	0.02	
isoLCA;BA-3S	12.44	12.63	0.19	12.51	0.07	
isoLCA;GBA	11.25	11.16	-0.09	11.23	-0.02	
isoLCA;TBA	11.38	11.32	-0.06	11.39	0.01	
isoLCA;TBA-3S	6.26	6.49	0.23	6.4	0.14	
LCA;BA	17.3	17.3	0	17.3	0	
LCA;BA-3S	14.16	14.28	0.12	14.15	-0.01	
LCA;GBA	14.09	14.04	-0.05	14.11	0.02	
LCA;GBA-3S	8.18	8.31	0.13	8.21	0.03	
LCA;TBA	14.24	14.18	-0.06	14.25	0.01	
LCA;TBA-3S	7.98	8.14	0.16	8.05	0.07	
3o-alloLCA;BA	17.3	17.34	0.04	17.34	0.04	
3o-alloLCA;GBA	13.02	13.04	0.02	13.11	0.09	
3o-alloLCA;TBA	13.14	13.2	0.06	13.27	0.13	
3o-LCA;BA	17.52	17.56	0.04	17.55	0.03	
3o-LCA;GBA	14.09	14.1	0.01	14.17	0.08	
3o-LCA;TBA	14.24	14.27	0.03	14.34	0.1	
iso-d5-LCA;BA	16.12	16.19	0.07	16.21	0.09	
iso-d5-LCA;BA-3S	11.7	11.97	0.27	11.85	0.15	
iso-d5-LCA;GBA	9.7	9.7	0	9.76	0.06	
iso-d5-LCA;GBA-3S	5.68	5.9	0.22	5.81	0.13	
iso-d5-LCA;TBA	9.85	9.88	0.03	9.95	0.1	
iso-d5-LCA;TBA-3S	5.54	5.79	0.25	5.71	0.17	
3o-d4-LCA;BA	16.43	16.48	0.05	16.49	0.06	
3o-d4-LCA;GBA	10.99	11.01	0.02	11.08	0.09	
3o-d4-LCA;TBA	11.17	11.23	0.06	11.3	0.13	
12-epiDCA;BA	13.39	13.32	-0.07	13.39	0	
12-epiDCA;BA-12S	8.18	8.33	0.15	8.22	0.04	
12-epiDCA;BA-3S	9.38	9.44	0.06	9.33	-0.05	
12-epiDCA;GBA	7.6	7.54	-0.06	7.6	0	
12-epiDCA;GBA-12S	3.55	3.65	0.1	3.57	0.02	
12-epiDCA;GBA-3S	4.63	4.7	0.07	4.61	-0.02	
12-epiDCA;TBA	7.87	7.86	-0.01	7.92	0.05	
12-epiDCA;TBA-12S	3.57	3.73	0.16	3.65	0.08	
12-epiDCA;TBA-3S	4.34	4.47	0.13	4.38	0.04	
3b-DCA;BA	13.38	13.29	-0.09	13.36	-0.02	
3b-DCA;BA-12S	8.65	8.65	0	8.54	-0.11	
3b-DCA;BA-3S	9.13	9.24	0.11	9.13	0	
3b-DCA;GBA	7.43	7.33	-0.1	7.4	-0.03	
3b-DCA;GBA-12S	4.17	4.2	0.03	4.11	-0.06	
3b-DCA;GBA-3S	4.46	4.57	0.11	4.49	0.03	
3b-DCA;TBA	7.64	7.57	-0.07	7.64	0	
3b-DCA;TBA-12S	3.93	4.02	0.09	3.94	0.01	
3b-DCA;TBA-3S	4.4	4.55	0.15	4.47	0.07	
alloCDCA;BA	15.38	15.39	0.01	15.44	0.06	
alloCDCA;BA-3S	10.68	10.74	0.06	10.62	-0.06	
alloCDCA;BA-7S	11.61	11.63	0.02	11.51	-0.1	
alloCDCA;GBA	9.81	9.72	-0.09	9.79	-0.02	
alloCDCA;GBA-3S	5.64	5.74	0.1	5.66	0.02	
alloCDCA;GBA-7S	6.54	6.6	0.06	6.51	-0.03	
alloCDCA;TBA	10.02	9.96	-0.06	10.03	0.01	
alloCDCA;TBA-3S	5.53	5.68	0.15	5.6	0.07	
alloCDCA;TBA-7S	6.36	6.44	0.08	6.35	-0.01	
alloUDCA;BA	12.5	12.49	-0.01	12.56	0.06	
alloUDCA;BA-3S	7.41	7.53	0.12	7.43	0.02	
alloUDCA;BA-7S	9.28	9.36	0.08	9.24	-0.04	
alloUDCA;GBA	6.62	6.55	-0.07	6.61	-0.01	
alloUDCA;GBA-3S	2.97	3.05	0.08	2.98	0.01	
alloUDCA;GBA-7S	4.59	4.66	0.07	4.58	-0.01	
