All compounds together:
optimized t0: 0.75
optimized tD: 0.31
optimized time: [0.6, 13.4, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.72]
average/RMS error of calibration compounds after optimization: -0.023/0.05
average/RMS error of all compounds after optimization: 0.016/0.064
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.76
optimized tD: 0.32
optimized time: [0.6, 13.4, 15.5, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.68]
For compounds without sulfate: 
optimized t0: 0.68
optimized tD: 0.55
optimized time: [0.6, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.62, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.042
average/RMS error of all compounds after optimization: 0.016/0.055
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.93	17.93	0	17.92	-0.01	
alloLCA;BA-3S	14.81	14.78	-0.03	14.82	0.01	
alloLCA;GBA	14.83	14.79	-0.04	14.84	0.01	
alloLCA;GBA-3S	8.78	8.7	-0.08	8.74	-0.04	
alloLCA;TBA	14.92	14.87	-0.05	14.95	0.03	
alloLCA;TBA-3S	8.58	8.51	-0.07	8.55	-0.03	
isoalloLCA;BA	17.02	16.97	-0.05	16.97	-0.05	
isoalloLCA;BA-3S	13.61	13.62	0.01	13.68	0.07	
isoalloLCA;GBA	11.67	11.6	-0.07	11.57	-0.1	
isoalloLCA;GBA-3S	7.38	7.31	-0.07	7.36	-0.02	
isoalloLCA;TBA	11.8	11.72	-0.08	11.7	-0.1	
isoalloLCA;TBA-3S	7.22	7.16	-0.06	7.2	-0.02	
isoLCA;BA	17.15	17.14	-0.01	17.12	-0.03	
isoLCA;BA-3S	13.69	13.71	0.02	13.77	0.08	
isoLCA;GBA	12.31	12.28	-0.03	12.25	-0.06	
isoLCA;TBA	12.45	12.42	-0.03	12.39	-0.06	
isoLCA;TBA-3S	7.44	7.4	-0.04	7.44	0	
LCA;BA	17.85	17.85	0	17.83	-0.02	
LCA;BA-3S	15.09	15.04	-0.05	15.09	0	
LCA;GBA	14.99	14.95	-0.04	15.04	0.05	
LCA;GBA-3S	9.32	9.23	-0.09	9.28	-0.04	
LCA;TBA	15.08	15.02	-0.06	15.12	0.04	
LCA;TBA-3S	9.14	9.05	-0.09	9.09	-0.05	
3o-alloLCA;BA	17.95	17.89	-0.06	17.88	-0.07	
3o-alloLCA;GBA	14.23	14.23	0	14.17	-0.06	
3o-alloLCA;TBA	14.35	14.36	0.01	14.32	-0.03	
3o-LCA;BA	18.12	18.09	-0.03	18.11	-0.01	
3o-LCA;GBA	15.04	15.01	-0.03	15.1	0.06	
3o-LCA;TBA	15.12	15.09	-0.03	15.18	0.06	
iso-d5-LCA;BA	16.67	16.63	-0.04	16.67	0	
iso-d5-LCA;BA-3S	13	13.04	0.04	13.1	0.1	
iso-d5-LCA;GBA	10.83	10.8	-0.03	10.77	-0.06	
iso-d5-LCA;GBA-3S	6.85	6.81	-0.04	6.85	0	
iso-d5-LCA;TBA	11	10.97	-0.03	10.94	-0.06	
iso-d5-LCA;TBA-3S	6.73	6.68	-0.05	6.72	-0.01	
3o-d4-LCA;BA	17	16.97	-0.03	16.96	-0.04	
3o-d4-LCA;GBA	12.18	12.15	-0.03	12.11	-0.07	
3o-d4-LCA;TBA	12.38	12.37	-0.01	12.33	-0.05	
12-epiDCA;BA	14.55	14.67	0.12	14.59	0.04	
12-epiDCA;BA-12S	9.38	9.41	0.03	9.46	0.08	
12-epiDCA;BA-3S	10.52	10.55	0.03	10.6	0.08	
12-epiDCA;GBA	8.61	8.64	0.03	8.6	-0.01	
12-epiDCA;GBA-12S	4.54	4.54	0	4.58	0.04	
12-epiDCA;GBA-3S	5.66	5.65	-0.01	5.7	0.04	
12-epiDCA;TBA	8.93	8.95	0.02	8.92	-0.01	
12-epiDCA;TBA-12S	4.62	4.61	-0.01	4.65	0.03	
12-epiDCA;TBA-3S	5.41	5.41	0	5.45	0.04	
3b-DCA;BA	14.53	14.67	0.14	14.58	0.05	
3b-DCA;BA-12S	9.73	9.74	0.01	9.79	0.06	
3b-DCA;BA-3S	10.35	10.27	-0.08	10.32	-0.03	
3b-DCA;GBA	8.41	8.41	0	8.38	-0.03	
3b-DCA;GBA-12S	5.16	5.13	-0.03	5.17	0.01	
3b-DCA;GBA-3S	5.56	5.5	-0.06	5.54	-0.02	
3b-DCA;TBA	8.65	8.65	0	8.62	-0.03	
3b-DCA;TBA-12S	4.94	4.93	-0.01	4.97	0.03	
3b-DCA;TBA-3S	5.53	5.47	-0.06	5.51	-0.02	
alloCDCA;BA	15.9	15.89	-0.01	15.98	0.08	
alloCDCA;BA-3S	11.83	11.81	-0.02	11.86	0.03	
alloCDCA;BA-7S	12.74	12.72	-0.02	12.77	0.03	
alloCDCA;GBA	10.8	10.79	-0.01	10.77	-0.03	
