All compounds together:
optimized t0: 0.48
optimized tD: 0.38
optimized time: [0.4, 13.5, 15.5, 18.0]
optimized perB: [0.2, 0.4, 0.58, 0.7]
average/RMS error of calibration compounds after optimization: 0.003/0.039
average/RMS error of all compounds after optimization: -0.021/0.071
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.49
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.58, 0.68]
For compounds without sulfate: 
optimized t0: 0.48
optimized tD: 0.38
optimized time: [0.4, 13.5, 15.5, 18.0]
optimized perB: [0.2, 0.4, 0.58, 0.7]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.003/0.03
average/RMS error of all compounds after optimization: -0.026/0.07
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.36	17.34	-0.02	17.34	-0.02	
alloLCA;BA-3S	13.52	13.5	-0.02	13.54	0.02	
alloLCA;GBA	13.45	13.43	-0.02	13.43	-0.02	
alloLCA;GBA-3S	7.53	7.6	0.07	7.58	0.05	
alloLCA;TBA	13.58	13.58	0	13.58	0	
alloLCA;TBA-3S	7.34	7.44	0.1	7.42	0.08	
isoalloLCA;BA	16.5	16.45	-0.05	16.45	-0.05	
isoalloLCA;BA-3S	12.31	12.26	-0.05	12.29	-0.02	
isoalloLCA;GBA	10.32	10.22	-0.1	10.22	-0.1	
isoalloLCA;GBA-3S	6.17	6.23	0.06	6.21	0.04	
isoalloLCA;TBA	10.4	10.38	-0.02	10.38	-0.02	
isoalloLCA;TBA-3S	6.01	6.11	0.1	6.08	0.07	
isoLCA;BA	16.57	16.6	0.03	16.6	0.03	
isoLCA;BA-3S	12.38	12.34	-0.04	12.37	-0.01	
isoLCA;GBA	10.88	10.87	-0.01	10.87	-0.01	
isoLCA;TBA	11.03	11.03	0	11.03	0	
isoLCA;TBA-3S	6.23	6.32	0.09	6.3	0.07	
LCA;BA	17.26	17.26	0	17.26	0	
LCA;BA-3S	14.02	13.95	-0.07	14	-0.02	
LCA;GBA	13.72	13.71	-0.01	13.71	-0.01	
LCA;GBA-3S	8.04	8.11	0.07	8.1	0.06	
LCA;TBA	13.88	13.84	-0.04	13.84	-0.04	
LCA;TBA-3S	7.86	7.95	0.09	7.94	0.08	
3o-alloLCA;BA	17.42	17.3	-0.12	17.3	-0.12	
3o-alloLCA;GBA	12.83	12.71	-0.12	12.71	-0.12	
3o-alloLCA;TBA	12.96	12.88	-0.08	12.88	-0.08	
3o-LCA;BA	17.55	17.5	-0.05	17.5	-0.05	
3o-LCA;GBA	13.83	13.76	-0.07	13.76	-0.07	
3o-LCA;TBA	13.99	13.93	-0.06	13.93	-0.06	
iso-d5-LCA;BA	16.12	16.11	-0.01	16.11	-0.01	
iso-d5-LCA;BA-3S	11.73	11.69	-0.04	11.71	-0.02	
iso-d5-LCA;GBA	9.51	9.43	-0.08	9.43	-0.08	
iso-d5-LCA;GBA-3S	5.69	5.73	0.04	5.7	0.01	
iso-d5-LCA;TBA	9.66	9.63	-0.03	9.63	-0.03	
iso-d5-LCA;TBA-3S	5.57	5.63	0.06	5.61	0.04	
3o-d4-LCA;BA	16.1	16.42	0.32	16.42	0.32	
3o-d4-LCA;GBA	10.83	10.72	-0.11	10.72	-0.11	
3o-d4-LCA;TBA	11.02	10.94	-0.08	10.94	-0.08	
12-epiDCA;BA	13.12	12.94	-0.18	12.94	-0.18	
12-epiDCA;BA-12S	8.12	8.1	-0.02	8.09	-0.03	
12-epiDCA;BA-3S	9.19	9.18	-0.01	9.19	0	
12-epiDCA;GBA	7.28	7.3	0.02	7.3	0.02	
12-epiDCA;GBA-12S	3.51	3.5	-0.01	3.48	-0.03	
12-epiDCA;GBA-3S	4.53	4.53	0	4.51	-0.02	
12-epiDCA;TBA	7.58	7.62	0.04	7.62	0.04	
12-epiDCA;TBA-12S	3.57	3.59	0.02	3.56	-0.01	
12-epiDCA;TBA-3S	4.28	4.3	0.02	4.28	0	
3b-DCA;BA	13.1	12.91	-0.19	12.91	-0.19	
3b-DCA;BA-12S	8.42	8.41	-0.01	8.41	-0.01	
3b-DCA;BA-3S	9.07	9	-0.07	9	-0.07	
3b-DCA;GBA	7.08	7.11	0.03	7.11	0.03	
3b-DCA;GBA-12S	4.04	4.04	0	4.01	-0.03	
3b-DCA;GBA-3S	4.44	4.41	-0.03	4.39	-0.05	
3b-DCA;TBA	7.32	7.34	0.02	7.34	0.02	
3b-DCA;TBA-12S	3.85	3.86	0.01	3.84	-0.01	
3b-DCA;TBA-3S	4.39	4.4	0.01	4.37	-0.02	
alloCDCA;BA	15.18	15.21	0.03	15.21	0.03	
alloCDCA;BA-3S	10.51	10.47	-0.04	10.49	-0.02	
alloCDCA;BA-7S	11.36	11.35	-0.01	11.37	0.01	
alloCDCA;GBA	9.41	9.47	0.06	9.47	0.06	
alloCDCA;GBA-3S	5.49	5.58	0.09	5.55	0.06	
alloCDCA;GBA-7S	6.34	6.41	0.07	6.4	0.06	
alloCDCA;TBA	9.64	9.71	0.07	9.71	0.07	
alloCDCA;TBA-3S	5.44	5.52	0.08	5.49	0.05	
alloCDCA;TBA-7S	6.19	6.26	0.07	6.24	0.05	
alloUDCA;BA	12.23	12.13	-0.1	12.13	-0.1	
alloUDCA;BA-3S	7.34	7.31	-0.03	7.3	-0.04	
alloUDCA;BA-7S	9.12	9.11	-0.01	9.11	-0.01	
alloUDCA;GBA	6.31	6.33	0.02	6.33	0.02	
alloUDCA;GBA-3S	2.92	2.91	-0.01	2.89	-0.03	
alloUDCA;GBA-7S	4.49	4.5	0.01	4.48	-0.01	
alloUDCA;TBA	6.6	6.62	0.02	6.62	0.02	
alloUDCA;TBA-3S	2.92	2.93	0.01	2.91	-0.01	
alloUDCA;TBA-7S	4.44	4.47	0.03	4.44	0	
CDCA;BA	15.25	15.29	0.04	15.29	0.04	
CDCA;BA-3S	10.67	10.65	-0.02	10.66	-0.01	
CDCA;BA-7S	10.85	10.83	-0.02	10.85	0	
CDCA;GBA	9.65	9.68	0.03	9.68	0.03	
CDCA;GBA-3S	5.63	5.69	0.06	5.67	0.04	
CDCA;GBA-7S	6	6.05	0.05	6.03	0.03	
CDCA;TBA	9.88	9.92	0.04	9.92	0.04	
CDCA;TBA-3S	5.56	5.63	0.07	5.61	0.05	
CDCA;TBA-7S	5.89	5.94	0.05	5.91	0.02	
DCA;BA	15.43	15.43	0	15.43	0	
DCA;BA-3S	10.88	10.86	-0.02	10.88	0	
DCA;BA-12S	11.22	11.23	0.01	11.25	0.03	
DCA;GBA	10.29	10.32	0.03	10.32	0.03	
DCA;GBA-3S	5.99	6.04	0.05	6.02	0.03	
DCA;GBA-12S	6.67	6.72	0.05	6.71	0.04	
DCA;TBA	10.52	10.55	0.03	10.55	0.03	
DCA;TBA-3S	5.91	5.97	0.06	5.95	0.04	
DCA;TBA-12S	6.46	6.53	0.07	6.51	0.05	
HDCA;BA	12.26	12.2	-0.06	12.2	-0.06	
HDCA;BA-6S	7.48	7.46	-0.02	7.45	-0.03	
HDCA;BA-3S	8.99	8.96	-0.03	8.97	-0.02	
HDCA;GBA	6.53	6.57	0.04	6.57	0.04	
HDCA;GBA-6S	2.86	2.83	-0.03	2.81	-0.05	
HDCA;GBA-3S	4.07	4.07	0	4.04	-0.03	
HDCA;TBA	6.8	6.84	0.04	6.84	0.04	
HDCA;TBA-6S	2.86	2.85	-0.01	2.83	-0.03	
HDCA;TBA-3S	4.02	4.04	0.02	4.01	-0.01	
isoCDCA;BA	13.04	12.85	-0.19	12.85	-0.19	
isoCDCA;BA-7S	8.71	8.69	-0.02	8.69	-0.02	
isoCDCA;BA-3S	8.98	8.96	-0.02	8.96	-0.02	
isoCDCA;GBA	6.65	6.66	0.01	6.66	0.01	
isoCDCA;GBA-7S	3.87	3.85	-0.02	3.83	-0.04	
isoCDCA;GBA-3S	4.13	4.15	0.02	4.12	-0.01	
isoCDCA;TBA	6.88	6.91	0.03	6.91	0.03	
isoCDCA;TBA-7S	3.73	3.73	0	3.7	-0.03	
isoCDCA;TBA-3S	4.08	4.11	0.03	4.08	0	
isoDCA;BA	16.5	16.54	0.04	16.54	0.04	
isoDCA;GBA	12.89	12.84	-0.05	12.84	-0.05	
isoDCA;TBA	13.16	13.12	-0.04	13.12	-0.04	
isoHDCA;BA	11.38	11.28	-0.1	11.28	-0.1	
isoHDCA;BA-6S	8.18	8.14	-0.04	8.14	-0.04	
isoHDCA;BA-3S	8.26	8.23	-0.03	8.22	-0.04	
isoHDCA;GBA	5.13	5.14	0.01	5.14	0.01	
isoHDCA;GBA-6S	2.82	2.79	-0.03	2.78	-0.04	
isoHDCA;GBA-3S	3.37	3.36	-0.01	3.34	-0.03	
isoHDCA;TBA	5.4	5.42	0.02	5.42	0.02	
isoHDCA;TBA-6S	2.81	2.8	-0.01	2.78	-0.03	
isoHDCA;TBA-3S	3.37	3.37	0	3.34	-0.03	
isoUDCA;BA	10.74	10.66	-0.08	10.66	-0.08	
isoUDCA;BA-3S	6.62	6.57	-0.05	6.56	-0.06	
isoUDCA;BA-7S	7.79	7.77	-0.02	7.76	-0.03	
