All compounds together:
optimized t0: 0.51
optimized tD: 0.6
optimized time: [0.6, 1.1, 1.9, 5.4, 6.1, 7.9, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.007/0.033
average/RMS error of all compounds after optimization: 0.006/0.077
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.52
optimized tD: 0.52
optimized time: [0.6, 0.9, 1.9, 5.4, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.56
optimized tD: 0.42
optimized time: [0.6, 0.9, 1.9, 5.6, 5.9, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.011
average/RMS error of all compounds after optimization: 0.014/0.049
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.68	-0.06	16.71	-0.03	
alloLCA;BA-3S	12.07	12.12	0.05	12.05	-0.02	
alloLCA;GBA	12.16	12.15	-0.01	12.14	-0.02	
alloLCA;GBA-3S	7.9	7.95	0.05	7.91	0.01	
alloLCA;TBA	12.22	12.21	-0.01	12.2	-0.02	
alloLCA;TBA-3S	7.71	7.79	0.08	7.75	0.04	
isoalloLCA;BA	15.46	15.28	-0.18	15.3	-0.16	
isoalloLCA;BA-3S	11.45	11.52	0.07	11.46	0.01	
isoalloLCA;GBA	10.55	10.44	-0.11	10.44	-0.11	
isoalloLCA;GBA-3S	6.79	6.94	0.15	6.91	0.12	
isoalloLCA;TBA	10.61	10.52	-0.09	10.52	-0.09	
isoalloLCA;TBA-3S	6.68	6.82	0.14	6.8	0.12	
isoLCA;BA	15.6	15.53	-0.07	15.56	-0.04	
isoLCA;BA-3S	11.49	11.56	0.07	11.5	0.01	
isoLCA;GBA	10.86	10.82	-0.04	10.83	-0.03	
isoLCA;TBA	10.93	10.9	-0.03	10.9	-0.03	
isoLCA;TBA-3S	6.84	7.02	0.18	6.98	0.14	
LCA;BA	16.6	16.56	-0.04	16.59	-0.01	
LCA;BA-3S	12.3	12.37	0.07	12.29	-0.01	
LCA;GBA	12.27	12.28	0.01	12.26	-0.01	
LCA;GBA-3S	8.49	8.5	0.01	8.48	-0.01	
LCA;TBA	12.35	12.35	0	12.33	-0.02	
LCA;TBA-3S	8.28	8.31	0.03	8.28	0	
3o-alloLCA;BA	16.79	16.64	-0.15	16.68	-0.11	
3o-alloLCA;GBA	11.87	11.82	-0.05	11.82	-0.05	
3o-alloLCA;TBA	11.93	11.89	-0.04	11.88	-0.05	
3o-LCA;BA	16.99	16.94	-0.05	16.98	-0.01	
3o-LCA;GBA	12.35	12.34	-0.01	12.34	-0.01	
3o-LCA;TBA	12.43	12.42	-0.01	12.41	-0.02	
iso-d5-LCA;BA	14.84	14.72	-0.12	14.74	-0.1	
iso-d5-LCA;BA-3S	11.14	11.23	0.09	11.17	0.03	
iso-d5-LCA;GBA	10.03	9.94	-0.09	9.96	-0.07	
iso-d5-LCA;GBA-3S	6.08	6.12	0.04	6.13	0.05	
iso-d5-LCA;TBA	10.14	10.06	-0.08	10.07	-0.07	
iso-d5-LCA;TBA-3S	5.84	5.91	0.07	5.92	0.08	
3o-d4-LCA;BA	15.38	15.25	-0.13	15.28	-0.1	
3o-d4-LCA;GBA	10.82	10.75	-0.07	10.75	-0.07	
3o-d4-LCA;TBA	10.93	10.87	-0.06	10.87	-0.06	
12-epiDCA;BA	12.11	12.09	-0.02	12.12	0.01	
12-epiDCA;BA-12S	8.54	8.56	0.02	8.55	0.01	
12-epiDCA;BA-3S	9.73	9.75	0.02	9.72	-0.01	
12-epiDCA;GBA	7.82	7.77	-0.05	7.81	-0.01	
12-epiDCA;GBA-12S	3.46	3.54	0.08	3.5	0.04	
12-epiDCA;GBA-3S	4.45	4.44	-0.01	4.42	-0.03	
12-epiDCA;TBA	8.14	8.06	-0.08	8.12	-0.02	
12-epiDCA;TBA-12S	3.48	3.57	0.09	3.53	0.05	
12-epiDCA;TBA-3S	4.18	4.19	0.01	4.17	-0.01	
