All compounds together:
optimized t0: 0.74
optimized tD: 0.38
optimized time: [0.6, 1.1, 2.1, 5.4, 6.1, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
average/RMS error of calibration compounds after optimization: -0.015/0.041
average/RMS error of all compounds after optimization: 0.013/0.051
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.73
optimized tD: 0.48
optimized time: [0.6, 1.1, 2.1, 5.4, 6.0, 7.9, 8.9, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
For compounds without sulfate: 
optimized t0: 0.68
optimized tD: 0.55
optimized time: [0.4, 0.9, 1.9, 5.4, 6.0, 8.1, 9.1, 17.1, 17.9]
optimized perB: [0.07, 0.22, 0.23, 0.27, 0.28, 0.32, 0.35, 0.67, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.007/0.035
average/RMS error of all compounds after optimization: -0.001/0.092
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.23	17.19	-0.04	17.2	-0.03	
alloLCA;BA-3S	12.55	12.53	-0.02	12.54	-0.01	
alloLCA;GBA	12.63	12.6	-0.03	12.66	0.03	
alloLCA;GBA-3S	8.85	8.77	-0.08	8.78	-0.07	
alloLCA;TBA	12.68	12.65	-0.03	12.71	0.03	
alloLCA;TBA-3S	8.58	8.52	-0.06	8.53	-0.05	
isoalloLCA;BA	15.86	15.79	-0.07	15.82	-0.04	
isoalloLCA;BA-3S	11.96	11.95	-0.01	11.96	0	
isoalloLCA;GBA	11.02	10.99	-0.03	10.97	-0.05	
isoalloLCA;GBA-3S	7.44	7.42	-0.02	7.44	0	
isoalloLCA;TBA	11.07	11.04	-0.03	11.04	-0.03	
isoalloLCA;TBA-3S	7.32	7.32	0	7.34	0.02	
isoLCA;BA	16.06	16.05	-0.01	16.07	0.01	
isoLCA;BA-3S	11.99	12	0.01	12.01	0.02	
isoLCA;GBA	11.35	11.35	0	11.36	0.01	
isoLCA;TBA	11.42	11.41	-0.01	11.43	0.01	
isoLCA;TBA-3S	7.47	7.47	0	7.49	0.02	
LCA;BA	17.12	17.08	-0.04	17.09	-0.03	
LCA;BA-3S	12.8	12.77	-0.03	12.79	-0.01	
LCA;GBA	12.74	12.71	-0.03	12.78	0.04	
LCA;GBA-3S	9.52	9.44	-0.08	9.47	-0.05	
LCA;TBA	12.81	12.78	-0.03	12.85	0.04	
LCA;TBA-3S	9.33	9.25	-0.08	9.27	-0.06	
3o-alloLCA;BA	17.26	17.18	-0.08	17.18	-0.08	
3o-alloLCA;GBA	12.33	12.31	-0.02	12.36	0.03	
3o-alloLCA;TBA	12.37	12.36	-0.01	12.41	0.04	
3o-LCA;BA	17.51	17.46	-0.05	17.47	-0.04	
3o-LCA;GBA	12.83	12.81	-0.02	12.86	0.03	
3o-LCA;TBA	12.89	12.88	-0.01	12.93	0.04	
iso-d5-LCA;BA	15.27	15.25	-0.02	15.27	0	
iso-d5-LCA;BA-3S	11.67	11.68	0.01	11.68	0.01	
iso-d5-LCA;GBA	10.56	10.55	-0.01	10.46	-0.1	
iso-d5-LCA;GBA-3S	7.12	7.11	-0.01	7.14	0.02	
iso-d5-LCA;TBA	10.65	10.63	-0.02	10.57	-0.08	
iso-d5-LCA;TBA-3S	7.05	7.03	-0.02	7.07	0.02	
3o-d4-LCA;BA	15.81	15.79	-0.02	15.81	0	
3o-d4-LCA;GBA	11.3	11.3	0	11.29	-0.01	
3o-d4-LCA;TBA	11.4	11.39	-0.01	11.4	0	
12-epiDCA;BA	12.65	12.7	0.05	12.71	0.06	
12-epiDCA;BA-12S	9.56	9.6	0.04	9.62	0.06	
12-epiDCA;BA-3S	10.37	10.4	0.03	10.41	0.04	
12-epiDCA;GBA	8.66	8.74	0.08	8.65	-0.01	
12-epiDCA;GBA-12S	4.2	4.17	-0.03	4.24	0.04	
12-epiDCA;GBA-3S	5.5	5.48	-0.02	5.53	0.03	
12-epiDCA;TBA	9.06	9.13	0.07	8.95	-0.11	
12-epiDCA;TBA-12S	4.25	4.21	-0.04	4.28	0.03	
12-epiDCA;TBA-3S	5.14	5.13	-0.01	5.19	0.05	
3b-DCA;BA	12.64	12.7	0.06	12.71	0.07	
3b-DCA;BA-12S	9.86	9.86	0	9.88	0.02	
3b-DCA;BA-3S	10.26	10.22	-0.04	10.23	-0.03	
3b-DCA;GBA	8.43	8.47	0.04	8.44	0.01	
3b-DCA;GBA-12S	4.84	4.79	-0.05	4.86	0.02	
3b-DCA;GBA-3S	5.27	5.21	-0.06	5.27	0	
3b-DCA;TBA	8.71	8.75	0.04	8.67	-0.04	
3b-DCA;TBA-12S	4.6	4.55	-0.05	4.62	0.02	
3b-DCA;TBA-3S	5.22	5.16	-0.06	5.22	0	
alloCDCA;BA	13.96	13.98	0.02	14.02	0.06	
alloCDCA;BA-3S	11.08	11.1	0.02	11.1	0.02	
alloCDCA;BA-7S	11.56	11.56	0	11.56	0	
alloCDCA;GBA	10.53	10.53	0	10.45	-0.08	
alloCDCA;GBA-3S	7.03	7	-0.03	7.04	0.01	
alloCDCA;GBA-7S	7.62	7.61	-0.01	7.63	0.01	
alloCDCA;TBA	10.66	10.66	0	10.61	-0.05	
alloCDCA;TBA-3S	6.99	6.94	-0.05	6.99	0	
alloCDCA;TBA-7S	7.5	7.47	-0.03	7.5	0	
alloUDCA;BA	12.19	12.26	0.07	12.26	0.07	
alloUDCA;BA-3S	8.62	8.66	0.04	8.67	0.05	
alloUDCA;BA-7S	10.32	10.32	0	10.33	0.01	
alloUDCA;GBA	7.68	7.7	0.02	7.65	-0.03	
alloUDCA;GBA-3S	3.73	3.7	-0.03	3.78	0.05	
alloUDCA;GBA-7S	5.44	5.35	-0.09	5.4	-0.04	
alloUDCA;TBA	7.93	7.95	0.02	7.94	0.01	
alloUDCA;TBA-3S	3.72	3.68	-0.04	3.76	0.04	
alloUDCA;TBA-7S	5.34	5.24	-0.1	5.3	-0.04	
CDCA;BA	14.04	14.11	0.07	14.14	0.1	
CDCA;BA-3S	11.17	11.18	0.01	11.18	0.01	
CDCA;BA-7S	11.28	11.29	0.01	11.29	0.01	
CDCA;GBA	10.67	10.66	-0.01	10.6	-0.07	
CDCA;GBA-3S	7.12	7.1	-0.02	7.13	0.01	
CDCA;GBA-7S	7.37	7.34	-0.03	7.37	0	
CDCA;TBA	10.8	10.79	-0.01	10.75	-0.05	
CDCA;TBA-3S	7.07	7.05	-0.02	7.08	0.01	
CDCA;TBA-7S	7.28	7.26	-0.02	7.28	0	
DCA;BA	14.29	14.33	0.04	14.35	0.06	
DCA;BA-3S	11.29	11.29	0	11.29	0	
DCA;BA-12S	11.51	11.51	0	11.51	0	
DCA;GBA	11.04	11.04	0	11.02	-0.02	
DCA;GBA-3S	7.34	7.32	-0.02	7.35	0.01	
DCA;GBA-12S	7.93	7.91	-0.02	7.93	0	
DCA;TBA	11.16	11.15	-0.01	11.15	-0.01	
DCA;TBA-3S	7.29	7.27	-0.02	7.29	0	
DCA;TBA-12S	7.74	7.72	-0.02	7.74	0	
HDCA;BA	12.15	12.18	0.03	12.2	0.05	
HDCA;BA-6S	8.8	8.87	0.07	8.87	0.07	
HDCA;BA-3S	10.22	10.22	0	10.23	0.01	
HDCA;GBA	7.84	7.83	-0.01	7.84	0	
HDCA;GBA-6S	3.69	3.65	-0.04	3.73	0.04	
HDCA;GBA-3S	4.81	4.72	-0.09	4.79	-0.02	
HDCA;TBA	8.09	8.08	-0.01	8.12	0.03	
HDCA;TBA-6S	3.68	3.63	-0.05	3.71	0.03	
HDCA;TBA-3S	4.74	4.64	-0.1	4.71	-0.03	
isoCDCA;BA	12.59	12.64	0.05	12.65	0.06	
isoCDCA;BA-7S	10.07	10.06	-0.01	10.08	0.01	
isoCDCA;BA-3S	10.2	10.21	0.01	10.22	0.02	
isoCDCA;GBA	7.96	7.97	0.01	7.97	0.01	
isoCDCA;GBA-7S	4.61	4.58	-0.03	4.65	0.04	
isoCDCA;GBA-3S	4.84	4.78	-0.06	4.85	0.01	
isoCDCA;TBA	8.21	8.21	0	8.22	0.01	
isoCDCA;TBA-7S	4.44	4.38	-0.06	4.45	0.01	
isoCDCA;TBA-3S	4.75	4.69	-0.06	4.76	0.01	
isoDCA;BA	15.96	15.99	0.03	16	0.04	
isoDCA;GBA	12.43	12.43	0	12.47	0.04	
isoDCA;TBA	12.55	12.56	0.01	12.61	0.06	
isoHDCA;BA	11.69	11.74	0.05	11.73	0.04	
isoHDCA;BA-6S	9.63	9.64	0.01	9.67	0.04	
isoHDCA;BA-3S	9.68	9.69	0.01	9.71	0.03	
isoHDCA;GBA	6.64	6.63	-0.01	6.23	-0.41	
isoHDCA;GBA-6S	3.67	3.65	-0.02	3.73	0.06	
isoHDCA;GBA-3S	4.04	3.98	-0.06	4.06	0.02	
isoHDCA;TBA	6.97	6.95	-0.02	6.55	-0.42	
isoHDCA;TBA-6S	3.65	3.62	-0.03	3.7	0.05	
isoHDCA;TBA-3S	4.02	3.95	-0.07	4.03	0.01	
isoUDCA;BA	11.38	11.47	0.09	11.43	0.05	
isoUDCA;BA-3S	7.84	7.89	0.05	7.91	0.07	
isoUDCA;BA-7S	9.24	9.28	0.04	9.3	0.06	
isoUDCA;GBA	5.71	5.76	0.05	5.65	-0.06	
isoUDCA;GBA-3S	3.33	3.35	0.02	3.43	0.1	
isoUDCA;GBA-7S	3.84	3.86	0.02	3.93	0.09	
isoUDCA;TBA	6.2	6.26	0.06	5.99	-0.21	
isoUDCA;TBA-3S	3.33	3.35	0.02	3.43	0.1	
isoUDCA;TBA-7S	3.77	3.76	-0.01	3.83	0.06	
MDCA;BA	11.29	11.37	0.08	11.32	0.03	
MDCA;BA-6S	7.83	7.86	0.03	7.88	0.05	
MDCA;BA-3S	8.3	8.36	0.06	8.37	0.07	
MDCA;GBA	6.05	6.11	0.06	5.9	-0.15	
MDCA;GBA-6S	3.29	3.31	0.02	3.39	0.1	
MDCA;GBA-3S	3.45	3.44	-0.01	3.52	0.07	
MDCA;TBA	6.54	6.61	0.07	6.22	-0.32	
MDCA;TBA-6S	3.29	3.31	0.02	3.39	0.1	
MDCA;TBA-3S	3.43	3.42	-0.01	3.51	0.08	
UDCA;BA	11.98	12.04	0.06	12.03	0.05	
UDCA;BA-3S	8.79	8.84	0.05	8.85	0.06	
UDCA;BA-7S	10.14	10.14	0	10.15	0.01	
UDCA;GBA	7.68	7.69	0.01	7.64	-0.04	
UDCA;GBA-3S	3.85	3.83	-0.02	3.91	0.06	
UDCA;GBA-7S	5.28	5.27	-0.01	5.33	0.05	
UDCA;TBA	7.92	7.94	0.02	7.94	0.02	
UDCA;TBA-3S	3.84	3.81	-0.03	3.89	0.05	
UDCA;TBA-7S	5.21	5.19	-0.02	5.25	0.04	
12o-DCA;BA	12.99	13.04	0.05	13.06	0.07	
12o-DCA;BA-3S	9.94	9.96	0.02	9.98	0.04	
12o-DCA;GBA	9.46	9.48	0.02	9.25	-0.21	
12o-DCA;GBA-3S	4.68	4.66	-0.02	4.72	0.04	
12o-DCA;TBA	9.69	9.69	0	9.46	-0.23	
12o-DCA;TBA-3S	4.61	4.59	-0.02	4.66	0.05	
3o-CDCA;BA	14.23	14.29	0.06	14.31	0.08	
3o-CDCA;BA-7S	11.07	11.1	0.03	11.1	0.03	
3o-CDCA;GBA	10.51	10.52	0.01	10.42	-0.09	
3o-CDCA;GBA-7S	6.98	6.96	-0.02	7.01	0.03	
3o-CDCA;TBA	10.67	10.68	0.01	10.61	-0.06	
3o-CDCA;TBA-7S	6.89	6.86	-0.03	6.91	0.02	
3o-DCA;BA	14.19	14.18	-0.01	14.2	0.01	
3o-DCA;BA-12S	11.14	11.16	0.02	11.16	0.02	
3o-DCA;GBA	10.73	10.75	0.02	10.69	-0.04	
3o-DCA;GBA-12S	7.31	7.33	0.02	7.35	0.04	
3o-DCA;TBA	10.87	10.89	0.02	10.84	-0.03	
3o-DCA;TBA-12S	7.17	7.2	0.03	7.23	0.06	
3o-HDCA;BA	12.53	12.59	0.06	12.6	0.07	
3o-HDCA;BA-6S	9.67	9.73	0.06	9.75	0.08	
3o-HDCA;GBA	7.9	7.95	0.05	7.94	0.04	
3o-HDCA;GBA-6S	3.88	3.88	0	3.96	0.08	
3o-HDCA;TBA	8.18	8.23	0.05	8.24	0.06	
3o-HDCA;TBA-6S	3.88	3.88	0	3.95	0.07	
6o-alloMDCA;BA	12.72	12.77	0.05	12.79	0.07	
6o-alloMDCA;BA-3S	9.93	9.95	0.02	9.97	0.04	
6o-alloMDCA;GBA	8.21	8.26	0.05	8.25	0.04	
6o-alloMDCA;GBA-3S	4.38	4.36	-0.02	4.43	0.05	
6o-alloMDCA;TBA	8.5	8.54	0.04	8.51	0.01	
6o-alloMDCA;TBA-3S	4.33	4.31	-0.02	4.38	0.05	
6o-HDCA;BA	12.36	12.44	0.08	12.45	0.09	
6o-HDCA;BA-3S	9.95	9.96	0.01	9.98	0.03	
6o-HDCA;GBA	7.94	7.97	0.03	7.97	0.03	
6o-HDCA;GBA-3S	4.42	4.38	-0.04	4.45	0.03	
6o-HDCA;TBA	8.21	8.24	0.03	8.24	0.03	
6o-HDCA;TBA-3S	4.38	4.34	-0.04	4.41	0.03	
7o-CDCA;BA	12.83	12.88	0.05	12.89	0.06	
7o-CDCA;BA-3S	10.19	10.22	0.03	10.23	0.04	
7o-CDCA;GBA	8.84	8.9	0.06	8.78	-0.06	
7o-CDCA;GBA-3S	4.8	4.79	-0.01	4.85	0.05	
7o-CDCA;TBA	9.11	9.16	0.05	8.97	-0.14	
7o-CDCA;TBA-3S	4.67	4.66	-0.01	4.72	0.05	
apoCA;BA	13.08	13.12	0.04	13.15	0.07	
apoCA;GBA	9.92	9.89	-0.03	9.7	-0.22	
apoCA;TBA	10.06	10.04	-0.02	9.87	-0.19	
12o-d9-DCA;BA	12.41	12.47	0.06	12.48	0.07	
12o-d9-DCA;BA-3S	9.37	9.43	0.06	9.45	0.08	
12o-d9-DCA;GBA	8.29	8.33	0.04	8.31	0.02	
12o-d9-DCA;GBA-3S	4.13	4.12	-0.01	4.19	0.06	
12o-d9-DCA;TBA	8.54	8.58	0.04	8.53	-0.01	
12o-d9-DCA;TBA-3S	4.07	4.06	-0.01	4.13	0.06	
3,12-2o-DCA;BA	13.04	13.11	0.07	13.11	0.07	
3,12-2o-DCA;GBA	9.01	9.12	0.11	8.92	-0.09	
