All compounds together:
optimized t0: 0.47
optimized tD: 0.38
optimized time: [0.4, 1.1, 2.1, 5.5, 5.9, 8.1, 8.9, 17.1, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: -0.01/0.034
average/RMS error of all compounds after optimization: -0.031/0.062
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.45
optimized tD: 0.43
optimized time: [0.4, 1.1, 1.9, 5.5, 6.0, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
For compounds without sulfate: 
optimized t0: 0.48
optimized tD: 0.38
optimized time: [0.6, 1.1, 2.0, 5.4, 5.9, 7.9, 8.9, 17.0, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.033
average/RMS error of all compounds after optimization: -0.015/0.064
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.53	16.48	-0.05	16.49	-0.04	
alloLCA;BA-3S	11.75	11.75	0	11.78	0.03	
alloLCA;GBA	11.77	11.77	0	11.78	0.01	
alloLCA;GBA-3S	7.47	7.47	0	7.49	0.02	
alloLCA;TBA	11.83	11.83	0	11.85	0.02	
alloLCA;TBA-3S	7.29	7.32	0.03	7.35	0.06	
isoalloLCA;BA	15.17	15.01	-0.16	15.02	-0.15	
isoalloLCA;BA-3S	11.18	11.12	-0.06	11.16	-0.02	
isoalloLCA;GBA	10.11	10.03	-0.08	10.02	-0.09	
isoalloLCA;GBA-3S	6.48	6.53	0.05	6.5	0.02	
isoalloLCA;TBA	10.17	10.12	-0.05	10.1	-0.07	
isoalloLCA;TBA-3S	6.21	6.35	0.14	6.26	0.05	
isoLCA;BA	15.31	15.28	-0.03	15.29	-0.02	
isoLCA;BA-3S	11.21	11.17	-0.04	11.21	0	
isoLCA;GBA	10.44	10.41	-0.03	10.41	-0.03	
isoLCA;TBA	10.51	10.49	-0.02	10.49	-0.02	
isoLCA;TBA-3S	6.54	6.61	0.07	6.61	0.07	
LCA;BA	16.37	16.36	-0.01	16.36	-0.01	
LCA;BA-3S	12	12	0	12.02	0.02	
LCA;GBA	11.88	11.9	0.02	11.92	0.04	
LCA;GBA-3S	7.97	7.98	0.01	7.98	0.01	
LCA;TBA	11.96	11.97	0.01	11.99	0.03	
LCA;TBA-3S	7.77	7.8	0.03	7.81	0.04	
3o-alloLCA;BA	16.59	16.44	-0.15	16.44	-0.15	
3o-alloLCA;GBA	11.5	11.42	-0.08	11.44	-0.06	
3o-alloLCA;TBA	11.54	11.49	-0.05	11.51	-0.03	
3o-LCA;BA	16.81	16.76	-0.05	16.76	-0.05	
3o-LCA;GBA	11.99	11.96	-0.03	11.98	-0.01	
3o-LCA;TBA	12.06	12.04	-0.02	12.06	0	
iso-d5-LCA;BA	14.55	14.42	-0.13	14.44	-0.11	
iso-d5-LCA;BA-3S	10.87	10.83	-0.04	10.87	0	
iso-d5-LCA;GBA	9.58	9.54	-0.04	9.51	-0.07	
iso-d5-LCA;GBA-3S	5.5	5.53	0.03	5.47	-0.03	
iso-d5-LCA;TBA	9.68	9.67	-0.01	9.64	-0.04	
iso-d5-LCA;TBA-3S	5.25	5.34	0.09	5.29	0.04	
3o-d4-LCA;BA	15.11	14.97	-0.14	14.99	-0.12	
3o-d4-LCA;GBA	10.42	10.33	-0.09	10.33	-0.09	
3o-d4-LCA;TBA	10.53	10.45	-0.08	10.45	-0.08	
12-epiDCA;BA	11.78	11.66	-0.12	11.68	-0.1	
12-epiDCA;BA-12S	8.09	8.01	-0.08	7.99	-0.1	
12-epiDCA;BA-3S	9.34	9.34	0	9.31	-0.03	
12-epiDCA;GBA	7.28	7.27	-0.01	7.29	0.01	
12-epiDCA;GBA-12S	3.14	3.14	0	3.19	0.05	
12-epiDCA;GBA-3S	3.98	3.96	-0.02	3.98	0	
12-epiDCA;TBA	7.55	7.54	-0.01	7.56	0.01	
12-epiDCA;TBA-12S	3.15	3.17	0.02	3.22	0.07	
12-epiDCA;TBA-3S	3.74	3.74	0	3.77	0.03	
3b-DCA;BA	11.76	11.65	-0.11	11.67	-0.09	
3b-DCA;BA-12S	8.46	8.37	-0.09	8.34	-0.12	
3b-DCA;BA-3S	9.24	9.16	-0.08	9.12	-0.12	
3b-DCA;GBA	7.11	7.12	0.01	7.13	0.02	
3b-DCA;GBA-12S	3.53	3.53	0	3.56	0.03	
3b-DCA;GBA-3S	3.81	3.8	-0.01	3.82	0.01	
3b-DCA;TBA	7.31	7.3	-0.01	7.31	0	
3b-DCA;TBA-12S	3.38	3.38	0	3.42	0.04	
3b-DCA;TBA-3S	3.76	3.77	0.01	3.79	0.03	
alloCDCA;BA	13.12	13.09	-0.03	13.11	-0.01	
alloCDCA;BA-3S	10.19	10.18	-0.01	10.21	0.02	
alloCDCA;BA-7S	10.69	10.66	-0.03	10.7	0.01	
alloCDCA;GBA	9.51	9.56	0.05	9.53	0.02	
alloCDCA;GBA-3S	5.16	5.25	0.09	5.2	0.04	
alloCDCA;GBA-7S	6.6	6.67	0.07	6.68	0.08	
alloCDCA;TBA	9.66	9.72	0.06	9.69	0.03	
alloCDCA;TBA-3S	5.04	5.14	0.1	5.1	0.06	
alloCDCA;TBA-7S	6.46	6.53	0.07	6.5	0.04	
alloUDCA;BA	11.3	11.2	-0.1	11.22	-0.08	
alloUDCA;BA-3S	7.33	7.27	-0.06	7.28	-0.05	
alloUDCA;BA-7S	9.28	9.27	-0.01	9.24	-0.04	
alloUDCA;GBA	6.55	6.58	0.03	6.58	0.03	
alloUDCA;GBA-3S	2.83	2.84	0.01	2.91	0.08	
alloUDCA;GBA-7S	3.92	3.89	-0.03	3.9	-0.02	
alloUDCA;TBA	6.78	6.78	0	6.79	0.01	
alloUDCA;TBA-3S	2.83	2.83	0	2.9	0.07	
alloUDCA;TBA-7S	3.84	3.83	-0.01	3.85	0.01	
CDCA;BA	13.21	13.21	0	13.23	0.02	
CDCA;BA-3S	10.3	10.27	-0.03	10.31	0.01	
CDCA;BA-7S	10.4	10.38	-0.02	10.42	0.02	
CDCA;GBA	9.68	9.71	0.03	9.68	0	
CDCA;GBA-3S	5.44	5.47	0.03	5.41	-0.03	
CDCA;GBA-7S	6.14	6.15	0.01	6.07	-0.07	
CDCA;TBA	9.83	9.85	0.02	9.83	0	
CDCA;TBA-3S	5.29	5.35	0.06	5.3	0.01	
CDCA;TBA-7S	5.89	5.93	0.04	5.86	-0.03	
DCA;BA	13.45	13.41	-0.04	13.43	-0.02	
DCA;BA-3S	10.43	10.39	-0.04	10.43	0	
DCA;BA-12S	10.62	10.6	-0.02	10.64	0.02	
DCA;GBA	10.09	10.09	0	10.08	-0.01	
DCA;GBA-3S	6.12	6.15	0.03	6.07	-0.05	
DCA;GBA-12S	6.83	6.85	0.02	6.89	0.06	
DCA;TBA	10.22	10.22	0	10.21	-0.01	
DCA;TBA-3S	5.96	6.01	0.05	5.94	-0.02	
DCA;TBA-12S	6.7	6.74	0.04	6.77	0.07	
HDCA;BA	11.27	11.2	-0.07	11.21	-0.06	
HDCA;BA-6S	7.46	7.39	-0.07	7.4	-0.06	
HDCA;BA-3S	9.15	9.12	-0.03	9.07	-0.08	
HDCA;GBA	6.72	6.75	0.03	6.75	0.03	
HDCA;GBA-6S	2.81	2.81	0	2.88	0.07	
HDCA;GBA-3S	3.5	3.5	0	3.53	0.03	
HDCA;TBA	6.9	6.92	0.02	6.92	0.02	
HDCA;TBA-6S	2.81	2.8	-0.01	2.87	0.06	
HDCA;TBA-3S	3.45	3.45	0	3.48	0.03	
isoCDCA;BA	11.72	11.61	-0.11	11.63	-0.09	
isoCDCA;BA-7S	8.86	8.74	-0.12	8.69	-0.17	
isoCDCA;BA-3S	9.14	9.11	-0.03	9.07	-0.07	
isoCDCA;GBA	6.8	6.81	0.01	6.81	0.01	
isoCDCA;GBA-7S	3.39	3.39	0	3.43	0.04	
isoCDCA;GBA-3S	3.55	3.54	-0.01	3.57	0.02	
isoCDCA;TBA	6.97	6.97	0	6.98	0.01	
isoCDCA;TBA-7S	3.27	3.27	0	3.31	0.04	
isoCDCA;TBA-3S	3.47	3.48	0.01	3.51	0.04	
isoDCA;BA	15.17	15.15	-0.02	15.17	0	
isoDCA;GBA	11.54	11.52	-0.02	11.53	-0.01	
isoDCA;TBA	11.67	11.66	-0.01	11.68	0.01	
isoHDCA;BA	10.79	10.7	-0.09	10.7	-0.09	
isoHDCA;BA-6S	8.17	8.06	-0.11	8.04	-0.13	
isoHDCA;BA-3S	8.26	8.15	-0.11	8.13	-0.13	
isoHDCA;GBA	4.71	4.69	-0.02	4.73	0.02	
isoHDCA;GBA-6S	2.81	2.8	-0.01	2.88	0.07	
isoHDCA;GBA-3S	3.04	3.03	-0.01	3.08	0.04	
isoHDCA;TBA	5.07	5.07	0	5.11	0.04	
isoHDCA;TBA-6S	2.79	2.78	-0.01	2.86	0.07	
isoHDCA;TBA-3S	3.02	3.02	0	3.07	0.05	
isoUDCA;BA	10.42	10.34	-0.08	10.35	-0.07	
isoUDCA;BA-3S	6.78	6.76	-0.02	6.78	0	
isoUDCA;BA-7S	7.75	7.68	-0.07	7.67	-0.08	
isoUDCA;GBA	4.14	4.12	-0.02	4.15	0.01	
isoUDCA;GBA-3S	2.59	2.54	-0.05	2.68	0.09	
isoUDCA;GBA-7S	2.92	2.93	0.01	2.99	0.07	
isoUDCA;TBA	4.46	4.44	-0.02	4.48	0.02	
isoUDCA;TBA-3S	2.58	2.54	-0.04	2.68	0.1	
isoUDCA;TBA-7S	2.87	2.87	0	2.94	0.07	
MDCA;BA	10.33	10.25	-0.08	10.25	-0.08	
MDCA;BA-6S	6.77	6.75	-0.02	6.77	0	
MDCA;BA-3S	7.11	7.05	-0.06	7.08	-0.03	
MDCA;GBA	4.38	4.35	-0.03	4.38	0	
MDCA;GBA-6S	2.55	2.51	-0.04	2.65	0.1	
MDCA;GBA-3S	2.67	2.61	-0.06	2.73	0.06	
MDCA;TBA	4.69	4.67	-0.02	4.71	0.02	
MDCA;TBA-6S	2.55	2.51	-0.04	2.65	0.1	
MDCA;TBA-3S	2.66	2.61	-0.05	2.73	0.07	
UDCA;BA	11.08	10.97	-0.11	10.98	-0.1	
UDCA;BA-3S	7.44	7.38	-0.06	7.39	-0.05	
UDCA;BA-7S	9.02	8.93	-0.09	8.88	-0.14	
UDCA;GBA	6.56	6.57	0.01	6.58	0.02	
UDCA;GBA-3S	2.91	2.92	0.01	2.98	0.07	
UDCA;GBA-7S	3.83	3.84	0.01	3.86	0.03	
UDCA;TBA	6.77	6.78	0.01	6.79	0.02	
UDCA;TBA-3S	2.91	2.92	0.01	2.97	0.06	
UDCA;TBA-7S	3.77	3.79	0.02	3.81	0.04	
12o-DCA;BA	12.13	12.03	-0.1	12.05	-0.08	
12o-DCA;BA-3S	8.68	8.55	-0.13	8.51	-0.17	
12o-DCA;GBA	7.89	7.84	-0.05	7.87	-0.02	
12o-DCA;GBA-3S	3.45	3.45	0	3.48	0.03	
12o-DCA;TBA	8.14	8.09	-0.05	8.12	-0.02	
