All compounds together:
optimized t0: 0.57
optimized tD: 0.29
optimized time: [0.4, 13.6, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.58, 0.72]
average/RMS error of calibration compounds after optimization: 0.015/0.043
average/RMS error of all compounds after optimization: 0.017/0.062
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.56
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.62, 0.68]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.34
optimized time: [0.4, 13.6, 15.5, 18.0]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.008/0.028
average/RMS error of all compounds after optimization: 0.018/0.054
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.54	17.51	-0.03	17.52	-0.02	
alloLCA;BA-3S	13.96	14.04	0.08	13.97	0.01	
alloLCA;GBA	14.06	14	-0.06	14.05	-0.01	
alloLCA;GBA-3S	7.9	7.95	0.05	7.9	0	
alloLCA;TBA	14.21	14.15	-0.06	14.2	-0.01	
alloLCA;TBA-3S	7.71	7.78	0.07	7.73	0.02	
isoalloLCA;BA	16.71	16.63	-0.08	16.61	-0.1	
isoalloLCA;BA-3S	12.69	12.77	0.08	12.71	0.02	
isoalloLCA;GBA	10.93	10.71	-0.22	10.76	-0.17	
isoalloLCA;GBA-3S	6.48	6.56	0.08	6.51	0.03	
isoalloLCA;TBA	11.06	10.86	-0.2	10.91	-0.15	
isoalloLCA;TBA-3S	6.32	6.43	0.11	6.38	0.06	
isoLCA;BA	16.79	16.79	0	16.76	-0.03	
isoLCA;BA-3S	12.77	12.86	0.09	12.79	0.02	
isoLCA;GBA	11.49	11.38	-0.11	11.43	-0.06	
isoLCA;TBA	11.64	11.54	-0.1	11.59	-0.05	
isoLCA;TBA-3S	6.54	6.65	0.11	6.6	0.06	
LCA;BA	17.44	17.44	0	17.44	0	
LCA;BA-3S	14.45	14.52	0.07	14.45	0	
LCA;GBA	14.3	14.28	-0.02	14.33	0.03	
LCA;GBA-3S	8.41	8.48	0.07	8.42	0.01	
LCA;TBA	14.47	14.42	-0.05	14.47	0	
LCA;TBA-3S	8.24	8.31	0.07	8.25	0.01	
3o-alloLCA;BA	17.57	17.48	-0.09	17.48	-0.09	
3o-alloLCA;GBA	13.41	13.29	-0.12	13.34	-0.07	
3o-alloLCA;TBA	13.56	13.45	-0.11	13.5	-0.06	
3o-LCA;BA	17.71	17.67	-0.04	17.7	-0.01	
3o-LCA;GBA	14.38	14.35	-0.03	14.4	0.02	
3o-LCA;TBA	14.54	14.52	-0.02	14.57	0.03	
iso-d5-LCA;BA	16.34	16.31	-0.03	16.3	-0.04	
iso-d5-LCA;BA-3S	12.07	12.19	0.12	12.13	0.06	
iso-d5-LCA;GBA	10.06	9.91	-0.15	9.96	-0.1	
iso-d5-LCA;GBA-3S	5.96	6.05	0.09	6	0.04	
iso-d5-LCA;TBA	10.23	10.09	-0.14	10.14	-0.09	
iso-d5-LCA;TBA-3S	5.84	5.94	0.1	5.89	0.05	
3o-d4-LCA;BA	16.66	16.62	-0.04	16.59	-0.07	
3o-d4-LCA;GBA	11.39	11.24	-0.15	11.29	-0.1	
3o-d4-LCA;TBA	11.61	11.46	-0.15	11.51	-0.1	
12-epiDCA;BA	13.61	13.61	0	13.66	0.05	
12-epiDCA;BA-12S	8.44	8.53	0.09	8.47	0.03	
12-epiDCA;BA-3S	9.61	9.66	0.05	9.59	-0.02	
12-epiDCA;GBA	7.77	7.74	-0.03	7.78	0.01	
12-epiDCA;GBA-12S	3.73	3.79	0.06	3.75	0.02	
12-epiDCA;GBA-3S	4.82	4.86	0.04	4.81	-0.01	
12-epiDCA;TBA	8.08	8.06	-0.02	8.1	0.02	
12-epiDCA;TBA-12S	3.79	3.87	0.08	3.83	0.04	
12-epiDCA;TBA-3S	4.58	4.62	0.04	4.57	-0.01	
3b-DCA;BA	13.6	13.59	-0.01	13.63	0.03	
3b-DCA;BA-12S	8.83	8.85	0.02	8.79	-0.04	
3b-DCA;BA-3S	9.39	9.43	0.04	9.37	-0.02	
3b-DCA;GBA	7.56	7.53	-0.03	7.58	0.02	
3b-DCA;GBA-12S	4.36	4.35	-0.01	4.3	-0.06	
3b-DCA;GBA-3S	4.69	4.72	0.03	4.68	-0.01	
3b-DCA;TBA	7.8	7.77	-0.03	7.82	0.02	
3b-DCA;TBA-12S	4.15	4.17	0.02	4.12	-0.03	
3b-DCA;TBA-3S	4.66	4.7	0.04	4.66	0	
alloCDCA;BA	15.47	15.52	0.05	15.55	0.08	
alloCDCA;BA-3S	10.92	10.95	0.03	10.89	-0.03	
alloCDCA;BA-7S	11.85	11.85	0	11.79	-0.06	
alloCDCA;GBA	9.96	9.92	-0.04	9.97	0.01	
alloCDCA;GBA-3S	5.85	5.9	0.05	5.85	0	
alloCDCA;GBA-7S	6.74	6.77	0.03	6.72	-0.02	
alloCDCA;TBA	10.19	10.17	-0.02	10.22	0.03	
alloCDCA;TBA-3S	5.78	5.83	0.05	5.78	0	
alloCDCA;TBA-7S	6.59	6.6	0.01	6.55	-0.04	
alloUDCA;BA	12.71	12.76	0.05	12.81	0.1	
alloUDCA;BA-3S	7.64	7.72	0.08	7.67	0.03	
alloUDCA;BA-7S	9.51	9.56	0.05	9.5	-0.01	
alloUDCA;GBA	6.77	6.74	-0.03	6.78	0.01	
alloUDCA;GBA-3S	3.14	3.19	0.05	3.14	0	
alloUDCA;GBA-7S	4.79	4.82	0.03	4.77	-0.02	
alloUDCA;TBA	7.05	7.02	-0.03	7.07	0.02	
alloUDCA;TBA-3S	3.14	3.2	0.06	3.16	0.02	
alloUDCA;TBA-7S	4.72	4.77	0.05	4.72	0	
CDCA;BA	15.52	15.59	0.07	15.61	0.09	
CDCA;BA-3S	11.08	11.13	0.05	11.06	-0.02	
CDCA;BA-7S	11.32	11.32	0	11.26	-0.06	
CDCA;GBA	10.19	10.14	-0.05	10.19	0	
CDCA;GBA-3S	5.97	6.02	0.05	5.97	0	
CDCA;GBA-7S	6.4	6.39	-0.01	6.34	-0.06	
CDCA;TBA	10.44	10.39	-0.05	10.44	0	
CDCA;TBA-3S	5.9	5.95	0.05	5.9	0	
CDCA;TBA-7S	6.26	6.27	0.01	6.22	-0.04	
DCA;BA	15.69	15.72	0.03	15.74	0.05	
DCA;BA-3S	11.3	11.35	0.05	11.29	-0.01	
DCA;BA-12S	11.72	11.74	0.02	11.67	-0.05	
DCA;GBA	10.87	10.81	-0.06	10.86	-0.01	
DCA;GBA-3S	6.34	6.38	0.04	6.33	-0.01	
