All compounds together:
optimized t0: 0.62
optimized tD: 0.35
optimized time: [0.6, 1.0, 2.1, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.002/0.012
average/RMS error of all compounds after optimization: 0.009/0.037
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.62
optimized tD: 0.36
optimized time: [0.4, 1.0, 2.1, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.64
optimized tD: 0.28
optimized time: [0.4, 1.1, 2.0, 5.4, 6.0, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0/0.012
average/RMS error of all compounds after optimization: 0.012/0.046
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.96	16.94	-0.02	16.96	0	
alloLCA;BA-3S	12.25	12.23	-0.02	12.24	-0.01	
alloLCA;GBA	12.28	12.28	0	12.27	-0.01	
alloLCA;GBA-3S	8.19	8.14	-0.05	8.15	-0.04	
alloLCA;TBA	12.33	12.34	0.01	12.33	0	
alloLCA;TBA-3S	7.99	7.94	-0.05	7.94	-0.05	
isoalloLCA;BA	15.51	15.51	0	15.52	0.01	
isoalloLCA;BA-3S	11.65	11.63	-0.02	11.64	-0.01	
isoalloLCA;GBA	10.61	10.6	-0.01	10.58	-0.03	
isoalloLCA;GBA-3S	7.05	7	-0.05	7.01	-0.04	
isoalloLCA;TBA	10.68	10.67	-0.01	10.65	-0.03	
isoalloLCA;TBA-3S	6.97	6.93	-0.04	6.94	-0.03	
isoLCA;BA	15.76	15.77	0.01	15.78	0.02	
isoLCA;BA-3S	11.7	11.68	-0.02	11.69	-0.01	
isoLCA;GBA	10.98	10.98	0	10.96	-0.02	
isoLCA;TBA	11.04	11.05	0.01	11.03	-0.01	
isoLCA;TBA-3S	7.09	7.05	-0.04	7.06	-0.03	
LCA;BA	16.84	16.82	-0.02	16.84	0	
LCA;BA-3S	12.49	12.48	-0.01	12.49	0	
LCA;GBA	12.4	12.4	0	12.39	-0.01	
LCA;GBA-3S	8.84	8.82	-0.02	8.83	-0.01	
LCA;TBA	12.47	12.47	0	12.46	-0.01	
LCA;TBA-3S	8.6	8.58	-0.02	8.58	-0.02	
3o-alloLCA;BA	16.95	16.91	-0.04	16.94	-0.01	
3o-alloLCA;GBA	11.97	11.97	0	11.96	-0.01	
3o-alloLCA;TBA	12.02	12.02	0	12.01	-0.01	
3o-LCA;BA	17.23	17.21	-0.02	17.24	0.01	
3o-LCA;GBA	12.49	12.48	-0.01	12.48	-0.01	
3o-LCA;TBA	12.56	12.56	0	12.55	-0.01	
iso-d5-LCA;BA	14.92	14.94	0.02	14.96	0.04	
iso-d5-LCA;BA-3S	11.36	11.35	-0.01	11.36	0	
iso-d5-LCA;GBA	10.12	10.13	0.01	10.11	-0.01	
iso-d5-LCA;GBA-3S	6.65	6.64	-0.01	6.65	0	
iso-d5-LCA;TBA	10.22	10.24	0.02	10.21	-0.01	
iso-d5-LCA;TBA-3S	6.42	6.51	0.09	6.51	0.09	
3o-d4-LCA;BA	15.49	15.49	0	15.51	0.02	
3o-d4-LCA;GBA	10.91	10.91	0	10.89	-0.02	
3o-d4-LCA;TBA	11.02	11.02	0	11	-0.02	
12-epiDCA;BA	12.3	12.3	0	12.3	0	
12-epiDCA;BA-12S	8.91	8.97	0.06	8.98	0.07	
12-epiDCA;BA-3S	9.95	9.98	0.03	9.98	0.03	
12-epiDCA;GBA	7.99	8.03	0.04	8.05	0.06	
12-epiDCA;GBA-12S	3.66	3.66	0	3.66	0	
12-epiDCA;GBA-3S	4.71	4.75	0.04	4.75	0.04	
12-epiDCA;TBA	8.33	8.37	0.04	8.41	0.08	
12-epiDCA;TBA-12S	3.7	3.69	-0.01	3.69	-0.01	
12-epiDCA;TBA-3S	4.42	4.45	0.03	4.45	0.03	
3b-DCA;BA	12.31	12.3	-0.01	12.3	-0.01	
3b-DCA;BA-12S	9.31	9.35	0.04	9.35	0.04	
3b-DCA;BA-3S	9.85	9.81	-0.04	9.82	-0.03	
3b-DCA;GBA	7.8	7.81	0.01	7.83	0.03	
3b-DCA;GBA-12S	4.19	4.17	-0.02	4.17	-0.02	
3b-DCA;GBA-3S	4.56	4.53	-0.03	4.53	-0.03	
3b-DCA;TBA	8.02	8.05	0.03	8.07	0.05	
3b-DCA;TBA-12S	4.01	3.97	-0.04	3.97	-0.04	
3b-DCA;TBA-3S	4.51	4.48	-0.03	4.49	-0.02	
alloCDCA;BA	13.63	13.65	0.02	13.65	0.02	
alloCDCA;BA-3S	10.72	10.73	0.01	10.73	0.01	
alloCDCA;BA-7S	11.21	11.2	-0.01	11.21	0	
alloCDCA;GBA	10.12	10.13	0.01	10.1	-0.02	
alloCDCA;GBA-3S	6.29	6.42	0.13	6.42	0.13	
alloCDCA;GBA-7S	7.16	7.14	-0.02	7.15	-0.01	
alloCDCA;TBA	10.26	10.27	0.01	10.24	-0.02	
alloCDCA;TBA-3S	6.17	6.28	0.11	6.28	0.11	
alloCDCA;TBA-7S	7.07	7.03	-0.04	7.04	-0.03	
alloUDCA;BA	11.84	11.84	0	11.84	0	
alloUDCA;BA-3S	7.99	7.99	0	7.99	0	
alloUDCA;BA-7S	9.89	9.9	0.01	9.91	0.02	
alloUDCA;GBA	7.2	7.16	-0.04	7.16	-0.04	
alloUDCA;GBA-3S	3.3	3.26	-0.04	3.27	-0.03	
alloUDCA;GBA-7S	4.68	4.64	-0.04	4.64	-0.04	
alloUDCA;TBA	7.41	7.37	-0.04	7.38	-0.03	
alloUDCA;TBA-3S	3.29	3.25	-0.04	3.25	-0.04	
alloUDCA;TBA-7S	4.59	4.56	-0.03	4.56	-0.03	
CDCA;BA	13.72	13.77	0.05	13.78	0.06	
CDCA;BA-3S	10.82	10.81	-0.01	10.82	0	
CDCA;BA-7S	10.93	10.92	-0.01	10.93	0	
CDCA;GBA	10.26	10.27	0.01	10.24	-0.02	
CDCA;GBA-3S	6.53	6.61	0.08	6.61	0.08	
CDCA;GBA-7S	6.94	6.91	-0.03	6.92	-0.02	
CDCA;TBA	10.4	10.41	0.01	10.38	-0.02	
CDCA;TBA-3S	6.41	6.52	0.11	6.53	0.12	
CDCA;TBA-7S	6.85	6.83	-0.02	6.84	-0.01	
DCA;BA	13.96	13.98	0.02	13.99	0.03	
DCA;BA-3S	10.94	10.93	-0.01	10.94	0	
DCA;BA-12S	11.15	11.15	0	11.16	0.01	
DCA;GBA	10.65	10.65	0	10.63	-0.02	
DCA;GBA-3S	6.93	6.9	-0.03	6.91	-0.02	
DCA;GBA-12S	7.41	7.39	-0.02	7.39	-0.02	
DCA;TBA	10.77	10.78	0.01	10.75	-0.02	
DCA;TBA-3S	6.86	6.85	-0.01	6.86	0	
DCA;TBA-12S	7.25	7.23	-0.02	7.24	-0.01	
HDCA;BA	11.81	11.8	-0.01	11.79	-0.02	
HDCA;BA-6S	8.17	8.16	-0.01	8.16	-0.01	
HDCA;BA-3S	9.8	9.8	0	9.81	0.01	
HDCA;GBA	7.31	7.3	-0.01	7.29	-0.02	
HDCA;GBA-6S	3.26	3.22	-0.04	3.22	-0.04	
HDCA;GBA-3S	4.15	4.12	-0.03	4.12	-0.03	
HDCA;TBA	7.53	7.51	-0.02	7.51	-0.02	
HDCA;TBA-6S	3.25	3.21	-0.04	3.21	-0.04	
HDCA;TBA-3S	4.08	4.06	-0.02	4.06	-0.02	
isoCDCA;BA	12.25	12.24	-0.01	12.24	-0.01	
isoCDCA;BA-7S	9.58	9.6	0.02	9.61	0.03	
isoCDCA;BA-3S	9.8	9.79	-0.01	9.8	0	
isoCDCA;GBA	7.41	7.4	-0.01	7.4	-0.01	
isoCDCA;GBA-7S	3.97	3.99	0.02	3.99	0.02	
isoCDCA;GBA-3S	4.17	4.17	0	4.18	0.01	
isoCDCA;TBA	7.61	7.6	-0.01	7.61	0	
isoCDCA;TBA-7S	3.82	3.83	0.01	3.83	0.01	
isoCDCA;TBA-3S	4.11	4.1	-0.01	4.1	-0.01	
isoDCA;BA	15.67	15.68	0.01	15.7	0.03	
isoDCA;GBA	12.08	12.08	0	12.07	-0.01	
isoDCA;TBA	12.21	12.22	0.01	12.21	0	
isoHDCA;BA	11.33	11.33	0	11.32	-0.01	
isoHDCA;BA-6S	9	9.04	0.04	9.05	0.05	
isoHDCA;BA-3S	9.09	9.12	0.03	9.13	0.04	
isoHDCA;GBA	5.63	5.71	0.08	5.75	0.12	
isoHDCA;GBA-6S	3.23	3.22	-0.01	3.22	-0.01	
isoHDCA;GBA-3S	3.51	3.5	-0.01	3.51	0	
isoHDCA;TBA	6.09	6.2	0.11	6.25	0.16	
isoHDCA;TBA-6S	3.2	3.2	0	3.2	0	
isoHDCA;TBA-3S	3.49	3.48	-0.01	3.48	-0.01	
isoUDCA;BA	11	11.02	0.02	11.01	0.01	
isoUDCA;BA-3S	7.35	7.33	-0.02	7.34	-0.01	
isoUDCA;BA-7S	8.52	8.53	0.01	8.54	0.02	
isoUDCA;GBA	4.9	4.97	0.07	4.98	0.08	
isoUDCA;GBA-3S	2.97	2.96	-0.01	2.96	-0.01	
isoUDCA;GBA-7S	3.38	3.38	0	3.38	0	
isoUDCA;TBA	5.28	5.39	0.11	5.42	0.14	
isoUDCA;TBA-3S	2.96	2.96	0	2.96	0	
isoUDCA;TBA-7S	3.31	3.31	0	3.31	0	
MDCA;BA	10.9	10.92	0.02	10.91	0.01	
MDCA;BA-6S	7.34	7.31	-0.03	7.32	-0.02	
MDCA;BA-3S	7.75	7.72	-0.03	7.73	-0.02	
MDCA;GBA	5.19	5.27	0.08	5.29	0.1	
MDCA;GBA-6S	2.93	2.92	-0.01	2.92	-0.01	
MDCA;GBA-3S	3.06	3.03	-0.03	3.03	-0.03	
MDCA;TBA	5.6	5.69	0.09	5.73	0.13	
MDCA;TBA-6S	2.93	2.92	-0.01	2.92	-0.01	
MDCA;TBA-3S	3.04	3.03	-0.01	3.03	-0.01	
UDCA;BA	11.62	11.62	0	11.61	-0.01	
UDCA;BA-3S	8.15	8.13	-0.02	8.14	-0.01	
UDCA;BA-7S	9.7	9.7	0	9.71	0.01	
UDCA;GBA	7.17	7.16	-0.01	7.15	-0.02	
UDCA;GBA-3S	3.39	3.37	-0.02	3.37	-0.02	
UDCA;GBA-7S	4.54	4.57	0.03	4.57	0.03	
UDCA;TBA	7.39	7.37	-0.02	7.37	-0.02	
UDCA;TBA-3S	3.37	3.36	-0.01	3.36	-0.01	
UDCA;TBA-7S	4.49	4.51	0.02	4.51	0.02	
12o-DCA;BA	12.65	12.65	0	12.66	0.01	
12o-DCA;BA-3S	9.44	9.48	0.04	9.49	0.05	
12o-DCA;GBA	8.72	8.77	0.05	8.82	0.1	
12o-DCA;GBA-3S	4.05	4.06	0.01	4.06	0.01	
