All compounds together:
optimized t0: 0.54
optimized tD: 0.47
optimized time: [0.4, 1.0, 1.9, 5.4, 6.0, 8.0, 9.0, 17.1, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.008/0.032
average/RMS error of all compounds after optimization: 0.019/0.063
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.52
optimized tD: 0.52
optimized time: [0.6, 0.9, 1.9, 5.4, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.37
optimized time: [0.4, 1.0, 2.1, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.012
average/RMS error of all compounds after optimization: 0.018/0.051
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.71	-0.03	16.71	-0.03	
alloLCA;BA-3S	12.07	12.1	0.03	12.05	-0.02	
alloLCA;GBA	12.16	12.14	-0.02	12.13	-0.03	
alloLCA;GBA-3S	7.9	7.9	0	7.91	0.01	
alloLCA;TBA	12.22	12.19	-0.03	12.19	-0.03	
alloLCA;TBA-3S	7.71	7.73	0.02	7.75	0.04	
isoalloLCA;BA	15.46	15.3	-0.16	15.3	-0.16	
isoalloLCA;BA-3S	11.45	11.5	0.05	11.46	0.01	
isoalloLCA;GBA	10.55	10.44	-0.11	10.45	-0.1	
isoalloLCA;GBA-3S	6.79	6.9	0.11	6.91	0.12	
isoalloLCA;TBA	10.61	10.52	-0.09	10.52	-0.09	
isoalloLCA;TBA-3S	6.68	6.81	0.13	6.8	0.12	
isoLCA;BA	15.6	15.55	-0.05	15.55	-0.05	
isoLCA;BA-3S	11.49	11.54	0.05	11.5	0.01	
isoLCA;GBA	10.86	10.82	-0.04	10.83	-0.03	
isoLCA;TBA	10.93	10.9	-0.03	10.9	-0.03	
isoLCA;TBA-3S	6.84	6.96	0.12	6.98	0.14	
LCA;BA	16.6	16.59	-0.01	16.59	-0.01	
LCA;BA-3S	12.3	12.35	0.05	12.29	-0.01	
LCA;GBA	12.27	12.26	-0.01	12.25	-0.02	
LCA;GBA-3S	8.49	8.5	0.01	8.48	-0.01	
LCA;TBA	12.35	12.33	-0.02	12.32	-0.03	
LCA;TBA-3S	8.28	8.29	0.01	8.28	0	
3o-alloLCA;BA	16.79	16.68	-0.11	16.68	-0.11	
3o-alloLCA;GBA	11.87	11.81	-0.06	11.81	-0.06	
3o-alloLCA;TBA	11.93	11.88	-0.05	11.87	-0.06	
3o-LCA;BA	16.99	16.98	-0.01	16.98	-0.01	
3o-LCA;GBA	12.35	12.33	-0.02	12.33	-0.02	
3o-LCA;TBA	12.43	12.41	-0.02	12.4	-0.03	
iso-d5-LCA;BA	14.84	14.74	-0.1	14.74	-0.1	
iso-d5-LCA;BA-3S	11.14	11.21	0.07	11.17	0.03	
iso-d5-LCA;GBA	10.03	9.95	-0.08	9.97	-0.06	
iso-d5-LCA;GBA-3S	6.08	6.27	0.19	6.13	0.05	
iso-d5-LCA;TBA	10.14	10.07	-0.07	10.08	-0.06	
iso-d5-LCA;TBA-3S	5.84	6.05	0.21	5.92	0.08	
3o-d4-LCA;BA	15.38	15.27	-0.11	15.28	-0.1	
3o-d4-LCA;GBA	10.82	10.75	-0.07	10.76	-0.06	
3o-d4-LCA;TBA	10.93	10.86	-0.07	10.87	-0.06	
12-epiDCA;BA	12.11	12.1	-0.01	12.12	0.01	
12-epiDCA;BA-12S	8.54	8.58	0.04	8.55	0.01	
12-epiDCA;BA-3S	9.73	9.78	0.05	9.72	-0.01	
12-epiDCA;GBA	7.82	7.75	-0.07	7.81	-0.01	
12-epiDCA;GBA-12S	3.46	3.54	0.08	3.5	0.04	
12-epiDCA;GBA-3S	4.45	4.49	0.04	4.42	-0.03	
12-epiDCA;TBA	8.14	8.06	-0.08	8.13	-0.01	
12-epiDCA;TBA-12S	3.48	3.57	0.09	3.53	0.05	
12-epiDCA;TBA-3S	4.18	4.23	0.05	4.17	-0.01	
3b-DCA;BA	12.11	12.09	-0.02	12.11	0	
3b-DCA;BA-12S	9.04	9	-0.04	8.95	-0.09	
3b-DCA;BA-3S	9.57	9.61	0.04	9.55	-0.02	
3b-DCA;GBA	7.61	7.57	-0.04	7.62	0.01	
3b-DCA;GBA-12S	3.99	3.99	0	3.93	-0.06	
3b-DCA;GBA-3S	4.23	4.3	0.07	4.23	0	
3b-DCA;TBA	7.84	7.78	-0.06	7.83	-0.01	
3b-DCA;TBA-12S	3.79	3.81	0.02	3.77	-0.02	
3b-DCA;TBA-3S	4.18	4.26	0.08	4.2	0.02	
alloCDCA;BA	13.46	13.46	0	13.46	0	
alloCDCA;BA-3S	10.52	10.57	0.05	10.54	0.02	
alloCDCA;BA-7S	11.04	11.06	0.02	11.02	-0.02	
alloCDCA;GBA	9.96	9.96	0	9.98	0.02	
alloCDCA;GBA-3S	5.86	5.95	0.09	5.82	-0.04	
alloCDCA;GBA-7S	6.96	7.02	0.06	7.05	0.09	
alloCDCA;TBA	10.1	10.11	0.01	10.12	0.02	
alloCDCA;TBA-3S	5.74	5.82	0.08	5.7	-0.04	
alloCDCA;TBA-7S	6.86	6.92	0.06	6.92	0.06	
alloUDCA;BA	11.64	11.64	0	11.67	0.03	
alloUDCA;BA-3S	7.69	7.73	0.04	7.72	0.03	
alloUDCA;BA-7S	9.66	9.71	0.05	9.65	-0.01	
alloUDCA;GBA	7	7	0	7.02	0.02	
alloUDCA;GBA-3S	3.11	3.19	0.08	3.17	0.06	
alloUDCA;GBA-7S	4.39	4.4	0.01	4.33	-0.06	
alloUDCA;TBA	7.2	7.19	-0.01	7.21	0.01	
alloUDCA;TBA-3S	3.1	3.18	0.08	3.16	0.06	
alloUDCA;TBA-7S	4.3	4.32	0.02	4.26	-0.04	
CDCA;BA	13.54	13.58	0.04	13.58	0.04	
CDCA;BA-3S	10.62	10.66	0.04	10.63	0.01	
CDCA;BA-7S	10.75	10.77	0.02	10.74	-0.01	
CDCA;GBA	10.11	10.1	-0.01	10.11	0	
CDCA;GBA-3S	6.13	6.2	0.07	6.07	-0.06	
CDCA;GBA-7S	6.74	6.76	0.02	6.72	-0.02	
CDCA;TBA	10.25	10.25	0	10.26	0.01	
CDCA;TBA-3S	5.99	6.07	0.08	5.94	-0.05	
CDCA;TBA-7S	6.62	6.64	0.02	6.56	-0.06	
DCA;BA	13.78	13.78	0	13.79	0.01	
DCA;BA-3S	10.74	10.78	0.04	10.75	0.01	
DCA;BA-12S	10.98	11	0.02	10.96	-0.02	
DCA;GBA	10.51	10.49	-0.02	10.5	-0.01	
DCA;GBA-3S	6.69	6.75	0.06	6.71	0.02	
DCA;GBA-12S	7.2	7.22	0.02	7.25	0.05	
DCA;TBA	10.63	10.62	-0.01	10.63	0	
DCA;TBA-3S	6.61	6.68	0.07	6.62	0.01	
DCA;TBA-12S	7.05	7.09	0.04	7.12	0.07	
HDCA;BA	11.6	11.62	0.02	11.63	0.03	
HDCA;BA-6S	7.81	7.88	0.07	7.86	0.05	
HDCA;BA-3S	9.51	9.59	0.08	9.53	0.02	
HDCA;GBA	7.12	7.13	0.01	7.15	0.03	
HDCA;GBA-6S	3.08	3.16	0.08	3.14	0.06	
HDCA;GBA-3S	3.89	3.94	0.05	3.89	0	
HDCA;TBA	7.32	7.32	0	7.35	0.03	
HDCA;TBA-6S	3.07	3.15	0.08	3.13	0.06	
HDCA;TBA-3S	3.83	3.88	0.05	3.84	0.01	
isoCDCA;BA	12.06	12.04	-0.02	12.06	0	
isoCDCA;BA-7S	9.34	9.34	0	9.27	-0.07	
isoCDCA;BA-3S	9.5	9.58	0.08	9.52	0.02	
isoCDCA;GBA	7.24	7.21	-0.03	7.24	0	
isoCDCA;GBA-7S	3.8	3.83	0.03	3.79	-0.01	
isoCDCA;GBA-3S	3.91	3.99	0.08	3.94	0.03	
isoCDCA;TBA	7.44	7.39	-0.05	7.43	-0.01	
isoCDCA;TBA-7S	3.66	3.69	0.03	3.65	-0.01	
isoCDCA;TBA-3S	3.84	3.92	0.08	3.87	0.03	
isoDCA;BA	15.43	15.46	0.03	15.46	0.03	
isoDCA;GBA	11.94	11.91	-0.03	11.92	-0.02	
isoDCA;TBA	12.07	12.05	-0.02	12.06	-0.01	
isoHDCA;BA	11.13	11.14	0.01	11.15	0.02	
isoHDCA;BA-6S	8.66	8.64	-0.02	8.6	-0.06	
isoHDCA;BA-3S	8.66	8.74	0.08	8.7	0.04	
isoHDCA;GBA	5.39	5.33	-0.06	5.41	0.02	
isoHDCA;GBA-6S	3.07	3.16	0.09	3.14	0.07	
isoHDCA;GBA-3S	3.32	3.4	0.08	3.37	0.05	
isoHDCA;TBA	5.83	5.76	-0.07	5.86	0.03	
isoHDCA;TBA-6S	3.05	3.14	0.09	3.12	0.07	
isoHDCA;TBA-3S	3.3	3.38	0.08	3.35	0.05	
isoUDCA;BA	10.78	10.81	0.03	10.84	0.06	
isoUDCA;BA-3S	7.05	7.15	0.1	7.16	0.11	
isoUDCA;BA-7S	8.19	8.2	0.01	8.18	-0.01	
isoUDCA;GBA	4.73	4.68	-0.05	4.72	-0.01	
isoUDCA;GBA-3S	2.8	2.94	0.14	2.92	0.12	
isoUDCA;GBA-7S	3.2	3.3	0.1	3.27	0.07	
isoUDCA;TBA	5.11	5.05	-0.06	5.11	0	
isoUDCA;TBA-3S	2.8	2.94	0.14	2.92	0.12	
isoUDCA;TBA-7S	3.2	3.23	0.03	3.21	0.01	
MDCA;BA	10.68	10.71	0.03	10.74	0.06	
MDCA;BA-6S	7.04	7.14	0.1	7.15	0.11	
MDCA;BA-3S	7.42	7.49	0.07	7.49	0.07	
MDCA;GBA	4.98	4.94	-0.04	5	0.02	
MDCA;GBA-6S	2.78	2.91	0.13	2.89	0.11	
MDCA;GBA-3S	2.9	3	0.1	2.98	0.08	
MDCA;TBA	5.35	5.31	-0.04	5.39	0.04	
MDCA;TBA-6S	2.77	2.91	0.14	2.89	0.12	
MDCA;TBA-3S	2.88	2.99	0.11	2.97	0.09	
UDCA;BA	11.41	11.42	0.01	11.44	0.03	
UDCA;BA-3S	7.82	7.86	0.04	7.85	0.03	
UDCA;BA-7S	9.43	9.47	0.04	9.41	-0.02	
UDCA;GBA	6.99	6.99	0	7.01	0.02	
UDCA;GBA-3S	3.2	3.29	0.09	3.26	0.06	
UDCA;GBA-7S	4.28	4.34	0.06	4.27	-0.01	
UDCA;TBA	7.19	7.18	-0.01	7.21	0.02	
UDCA;TBA-3S	3.18	3.28	0.1	3.25	0.07	
UDCA;TBA-7S	4.22	4.28	0.06	4.21	-0.01	
12o-DCA;BA	12.45	12.45	0	12.47	0.02	
12o-DCA;BA-3S	9.14	9.18	0.04	9.12	-0.02	
12o-DCA;GBA	8.51	8.4	-0.11	8.5	-0.01	
12o-DCA;GBA-3S	3.83	3.89	0.06	3.84	0.01	
