All compounds together:
optimized t0: 0.46
optimized tD: 0.67
optimized time: [0.6, 1.0, 1.9, 5.5, 5.9, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.015/0.073
average/RMS error of all compounds after optimization: -0.009/0.102
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.45
optimized tD: 0.63
optimized time: [0.5, 1.1, 1.9, 5.5, 6.0, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.5
optimized tD: 0.56
optimized time: [0.6, 1.1, 1.9, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.026
average/RMS error of all compounds after optimization: 0.025/0.069
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.51	16.46	-0.05	16.53	0.02	
alloLCA;BA-3S	11.96	12.02	0.06	11.94	-0.02	
alloLCA;GBA	12.1	12.03	-0.07	12.06	-0.04	
alloLCA;GBA-3S	7.69	7.72	0.03	7.69	0	
alloLCA;TBA	12.14	12.09	-0.05	12.12	-0.02	
alloLCA;TBA-3S	7.49	7.57	0.08	7.55	0.06	
isoalloLCA;BA	15.04	15.08	0.04	15.15	0.11	
isoalloLCA;BA-3S	11.28	11.41	0.13	11.34	0.06	
isoalloLCA;GBA	10.32	10.33	0.01	10.37	0.05	
isoalloLCA;GBA-3S	6.53	6.78	0.25	6.7	0.17	
isoalloLCA;TBA	10.39	10.42	0.03	10.45	0.06	
isoalloLCA;TBA-3S	6.19	6.56	0.37	6.46	0.27	
isoLCA;BA	15.33	15.33	0	15.4	0.07	
isoLCA;BA-3S	11.33	11.46	0.13	11.38	0.05	
isoLCA;GBA	10.74	10.71	-0.03	10.75	0.01	
isoLCA;TBA	10.8	10.8	0	10.83	0.03	
isoLCA;TBA-3S	6.57	6.87	0.3	6.82	0.25	
LCA;BA	16.4	16.34	-0.06	16.41	0.01	
LCA;BA-3S	12.19	12.25	0.06	12.18	-0.01	
LCA;GBA	12.2	12.16	-0.04	12.19	-0.01	
LCA;GBA-3S	8.18	8.22	0.04	8.18	0	
LCA;TBA	12.28	12.23	-0.05	12.26	-0.02	
LCA;TBA-3S	7.96	8.04	0.08	8.01	0.05	
3o-alloLCA;BA	16.41	16.42	0.01	16.49	0.08	
3o-alloLCA;GBA	11.69	11.7	0.01	11.74	0.05	
3o-alloLCA;TBA	11.73	11.77	0.04	11.8	0.07	
3o-LCA;BA	16.71	16.72	0.01	16.79	0.08	
3o-LCA;GBA	12.24	12.22	-0.02	12.25	0.01	
3o-LCA;TBA	12.3	12.29	-0.01	12.33	0.03	
iso-d5-LCA;BA	14.46	14.54	0.08	14.6	0.14	
iso-d5-LCA;BA-3S	10.95	11.13	0.18	11.05	0.1	
iso-d5-LCA;GBA	9.78	9.81	0.03	9.87	0.09	
iso-d5-LCA;GBA-3S	5.55	5.75	0.2	5.68	0.13	
iso-d5-LCA;TBA	9.89	9.95	0.06	10	0.11	
iso-d5-LCA;TBA-3S	5.27	5.57	0.3	5.5	0.23	
3o-d4-LCA;BA	14.99	15.05	0.06	15.12	0.13	
3o-d4-LCA;GBA	10.61	10.63	0.02	10.67	0.06	
3o-d4-LCA;TBA	10.71	10.75	0.04	10.79	0.08	
12-epiDCA;BA	12.01	11.93	-0.08	12	-0.01	
12-epiDCA;BA-12S	8.22	8.24	0.02	8.2	-0.02	
12-epiDCA;BA-3S	9.55	9.58	0.03	9.51	-0.04	
12-epiDCA;GBA	7.65	7.52	-0.13	7.64	-0.01	
12-epiDCA;GBA-12S	3.37	3.42	0.05	3.4	0.03	
12-epiDCA;GBA-3S	4.27	4.23	-0.04	4.19	-0.08	
12-epiDCA;TBA	7.91	7.78	-0.13	7.92	0.01	
12-epiDCA;TBA-12S	3.38	3.45	0.07	3.42	0.04	
12-epiDCA;TBA-3S	4	4.01	0.01	3.97	-0.03	
3b-DCA;BA	11.99	11.92	-0.07	11.99	0	
3b-DCA;BA-12S	8.75	8.6	-0.15	8.54	-0.21	
3b-DCA;BA-3S	9.32	9.39	0.07	9.32	0	
3b-DCA;GBA	7.47	7.37	-0.1	7.47	0	
3b-DCA;GBA-12S	3.85	3.8	-0.05	3.77	-0.08	
3b-DCA;GBA-3S	4.01	4.07	0.06	4.03	0.02	
3b-DCA;TBA	7.66	7.55	-0.11	7.66	0	
3b-DCA;TBA-12S	3.65	3.66	0.01	3.63	-0.02	
3b-DCA;TBA-3S	3.95	4.04	0.09	4	0.05	
alloCDCA;BA	13.36	13.29	-0.07	13.34	-0.02	
alloCDCA;BA-3S	10.39	10.48	0.09	10.41	0.02	
alloCDCA;BA-7S	10.93	10.97	0.04	10.9	-0.03	
alloCDCA;GBA	9.86	9.83	-0.03	9.88	0.02	
alloCDCA;GBA-3S	5.47	5.48	0.01	5.41	-0.06	
alloCDCA;GBA-7S	6.83	6.93	0.1	6.88	0.05	
alloCDCA;TBA	9.99	10.01	0.02	10.05	0.06	
alloCDCA;TBA-3S	5.3	5.37	0.07	5.31	0.01	
alloCDCA;TBA-7S	6.68	6.78	0.1	6.71	0.03	
alloUDCA;BA	11.53	11.48	-0.05	11.55	0.02	
alloUDCA;BA-3S	7.47	7.52	0.05	7.49	0.02	
alloUDCA;BA-7S	9.46	9.5	0.04	9.44	-0.02	
alloUDCA;GBA	6.89	6.83	-0.06	6.92	0.03	
alloUDCA;GBA-3S	3.06	3.13	0.07	3.11	0.05	
alloUDCA;GBA-7S	4.19	4.15	-0.04	4.11	-0.08	
alloUDCA;TBA	7.06	7.04	-0.02	7.11	0.05	
alloUDCA;TBA-3S	3.04	3.13	0.09	3.11	0.07	
alloUDCA;TBA-7S	4.07	4.09	0.02	4.05	-0.02	
CDCA;BA	13.44	13.39	-0.05	13.46	0.02	
CDCA;BA-3S	10.48	10.58	0.1	10.51	0.03	
CDCA;BA-7S	10.64	10.68	0.04	10.61	-0.03	
CDCA;GBA	10	9.99	-0.01	10.03	0.03	
CDCA;GBA-3S	5.66	5.7	0.04	5.62	-0.04	
CDCA;GBA-7S	6.49	6.37	-0.12	6.28	-0.21	
CDCA;TBA	10.14	10.15	0.01	10.18	0.04	
CDCA;TBA-3S	5.49	5.58	0.09	5.51	0.02	
CDCA;TBA-7S	6.19	6.15	-0.04	6.06	-0.13	
