All compounds together:
optimized t0: 0.54
optimized tD: 0.46
optimized time: [0.6, 0.9, 1.9, 5.4, 6.0, 8.0, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0/0.028
average/RMS error of all compounds after optimization: -0.005/0.057
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.54
optimized tD: 0.43
optimized time: [0.5, 0.9, 2.1, 5.4, 6.1, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.36
optimized time: [0.4, 1.0, 2.1, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.002/0.019
average/RMS error of all compounds after optimization: 0.008/0.043
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.7	-0.04	16.7	-0.04	
alloLCA;BA-3S	12.07	12.09	0.02	12.05	-0.02	
alloLCA;GBA	12.16	12.12	-0.04	12.12	-0.04	
alloLCA;GBA-3S	7.9	7.89	-0.01	7.91	0.01	
alloLCA;TBA	12.22	12.18	-0.04	12.18	-0.04	
alloLCA;TBA-3S	7.71	7.72	0.01	7.74	0.03	
isoalloLCA;BA	15.46	15.29	-0.17	15.29	-0.17	
isoalloLCA;BA-3S	11.45	11.49	0.04	11.45	0	
isoalloLCA;GBA	10.55	10.43	-0.12	10.44	-0.11	
isoalloLCA;GBA-3S	6.79	6.88	0.09	6.89	0.1	
isoalloLCA;TBA	10.61	10.5	-0.11	10.51	-0.1	
isoalloLCA;TBA-3S	6.68	6.79	0.11	6.79	0.11	
isoLCA;BA	15.6	15.54	-0.06	15.54	-0.06	
isoLCA;BA-3S	11.49	11.53	0.04	11.5	0.01	
isoLCA;GBA	10.86	10.81	-0.05	10.82	-0.04	
isoLCA;TBA	10.93	10.88	-0.05	10.89	-0.04	
isoLCA;TBA-3S	6.84	6.94	0.1	6.95	0.11	
LCA;BA	16.6	16.58	-0.02	16.58	-0.02	
LCA;BA-3S	12.3	12.34	0.04	12.29	-0.01	
LCA;GBA	12.27	12.25	-0.02	12.24	-0.03	
LCA;GBA-3S	8.49	8.48	-0.01	8.5	0.01	
LCA;TBA	12.35	12.32	-0.03	12.31	-0.04	
LCA;TBA-3S	8.28	8.27	-0.01	8.29	0.01	
3o-alloLCA;BA	16.79	16.67	-0.12	16.67	-0.12	
3o-alloLCA;GBA	11.87	11.8	-0.07	11.8	-0.07	
3o-alloLCA;TBA	11.93	11.86	-0.07	11.86	-0.07	
3o-LCA;BA	16.99	16.97	-0.02	16.97	-0.02	
3o-LCA;GBA	12.35	12.32	-0.03	12.32	-0.03	
3o-LCA;TBA	12.43	12.4	-0.03	12.39	-0.04	
iso-d5-LCA;BA	14.84	14.73	-0.11	14.73	-0.11	
iso-d5-LCA;BA-3S	11.14	11.2	0.06	11.17	0.03	
iso-d5-LCA;GBA	10.03	9.94	-0.09	9.96	-0.07	
iso-d5-LCA;GBA-3S	6.08	6.23	0.15	6.2	0.12	
iso-d5-LCA;TBA	10.14	10.06	-0.08	10.07	-0.07	
iso-d5-LCA;TBA-3S	5.84	6.01	0.17	5.99	0.15	
3o-d4-LCA;BA	15.38	15.26	-0.12	15.27	-0.11	
3o-d4-LCA;GBA	10.82	10.73	-0.09	10.75	-0.07	
3o-d4-LCA;TBA	10.93	10.85	-0.08	10.86	-0.07	
12-epiDCA;BA	12.11	12.09	-0.02	12.11	0	
12-epiDCA;BA-12S	8.54	8.57	0.03	8.58	0.04	
12-epiDCA;BA-3S	9.73	9.77	0.04	9.75	0.02	
12-epiDCA;GBA	7.82	7.74	-0.08	7.8	-0.02	
12-epiDCA;GBA-12S	3.46	3.5	0.04	3.46	0	
12-epiDCA;GBA-3S	4.45	4.45	0	4.41	-0.04	
12-epiDCA;TBA	8.14	8.04	-0.1	8.12	-0.02	
12-epiDCA;TBA-12S	3.48	3.53	0.05	3.5	0.02	
12-epiDCA;TBA-3S	4.18	4.19	0.01	4.15	-0.03	
3b-DCA;BA	12.11	12.08	-0.03	12.1	-0.01	
3b-DCA;BA-12S	9.04	8.98	-0.06	9	-0.04	
3b-DCA;BA-3S	9.57	9.59	0.02	9.59	0.02	
3b-DCA;GBA	7.61	7.55	-0.06	7.61	0	
3b-DCA;GBA-12S	3.99	3.95	-0.04	3.91	-0.08	
3b-DCA;GBA-3S	4.23	4.26	0.03	4.22	-0.01	
3b-DCA;TBA	7.84	7.76	-0.08	7.82	-0.02	
3b-DCA;TBA-12S	3.79	3.77	-0.02	3.74	-0.05	
3b-DCA;TBA-3S	4.18	4.22	0.04	4.19	0.01	
alloCDCA;BA	13.46	13.44	-0.02	13.45	-0.01	
alloCDCA;BA-3S	10.52	10.56	0.04	10.54	0.02	
alloCDCA;BA-7S	11.04	11.05	0.01	11.02	-0.02	
alloCDCA;GBA	9.96	9.95	-0.01	9.97	0.01	
alloCDCA;GBA-3S	5.86	5.91	0.05	5.88	0.02	
alloCDCA;GBA-7S	6.96	7.01	0.05	7.02	0.06	
alloCDCA;TBA	10.1	10.1	0	10.11	0.01	
alloCDCA;TBA-3S	5.74	5.78	0.04	5.76	0.02	
alloCDCA;TBA-7S	6.86	6.9	0.04	6.91	0.05	
alloUDCA;BA	11.64	11.63	-0.01	11.66	0.02	
alloUDCA;BA-3S	7.69	7.71	0.02	7.72	0.03	
alloUDCA;BA-7S	9.66	9.69	0.03	9.68	0.02	
alloUDCA;GBA	7	6.98	-0.02	7.01	0.01	
alloUDCA;GBA-3S	3.11	3.16	0.05	3.12	0.01	
alloUDCA;GBA-7S	4.39	4.35	-0.04	4.32	-0.07	
alloUDCA;TBA	7.2	7.17	-0.03	7.2	0	
alloUDCA;TBA-3S	3.1	3.14	0.04	3.12	0.02	
alloUDCA;TBA-7S	4.3	4.28	-0.02	4.25	-0.05	
CDCA;BA	13.54	13.56	0.02	13.57	0.03	
CDCA;BA-3S	10.62	10.65	0.03	10.63	0.01	
CDCA;BA-7S	10.75	10.76	0.01	10.74	-0.01	
CDCA;GBA	10.11	10.09	-0.02	10.1	-0.01	
CDCA;GBA-3S	6.13	6.16	0.03	6.13	0	
CDCA;GBA-7S	6.74	6.74	0	6.72	-0.02	
CDCA;TBA	10.25	10.24	-0.01	10.25	0	
CDCA;TBA-3S	5.99	6.03	0.04	6	0.01	
CDCA;TBA-7S	6.62	6.61	-0.01	6.59	-0.03	
DCA;BA	13.78	13.77	-0.01	13.78	0	
DCA;BA-3S	10.74	10.77	0.03	10.75	0.01	
DCA;BA-12S	10.98	10.99	0.01	10.96	-0.02	
DCA;GBA	10.51	10.48	-0.03	10.49	-0.02	
DCA;GBA-3S	6.69	6.73	0.04	6.72	0.03	
DCA;GBA-12S	7.2	7.21	0.01	7.22	0.02	
DCA;TBA	10.63	10.61	-0.02	10.62	-0.01	
DCA;TBA-3S	6.61	6.66	0.05	6.64	0.03	
DCA;TBA-12S	7.05	7.08	0.03	7.09	0.04	
HDCA;BA	11.6	11.61	0.01	11.62	0.02	
HDCA;BA-6S	7.81	7.86	0.05	7.87	0.06	
HDCA;BA-3S	9.51	9.58	0.07	9.57	0.06	
