All compounds together:
optimized t0: 0.7
optimized tD: 0.52
optimized time: [0.6, 1.1, 2.1, 5.4, 6.1, 7.9, 8.9, 17.1, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
average/RMS error of calibration compounds after optimization: -0.023/0.04
average/RMS error of all compounds after optimization: -0.008/0.048
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.71
optimized tD: 0.54
optimized time: [0.4, 1.0, 2.1, 5.4, 6.0, 7.9, 8.9, 17.1, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
For compounds without sulfate: 
optimized t0: 0.73
optimized tD: 0.36
optimized time: [0.6, 1.1, 2.1, 5.5, 6.1, 7.9, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.014/0.035
average/RMS error of all compounds after optimization: -0.002/0.046
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.23	17.19	-0.04	17.19	-0.04	
alloLCA;BA-3S	12.55	12.5	-0.05	12.55	0	
alloLCA;GBA	12.63	12.56	-0.07	12.57	-0.06	
alloLCA;GBA-3S	8.85	8.74	-0.11	8.74	-0.11	
alloLCA;TBA	12.68	12.61	-0.07	12.62	-0.06	
alloLCA;TBA-3S	8.58	8.5	-0.08	8.5	-0.08	
isoalloLCA;BA	15.86	15.77	-0.09	15.78	-0.08	
isoalloLCA;BA-3S	11.96	11.92	-0.04	11.96	0	
isoalloLCA;GBA	11.02	10.95	-0.07	10.95	-0.07	
isoalloLCA;GBA-3S	7.44	7.45	0.01	7.44	0	
isoalloLCA;TBA	11.07	11	-0.07	11	-0.07	
isoalloLCA;TBA-3S	7.32	7.36	0.04	7.35	0.03	
isoLCA;BA	16.06	16.03	-0.03	16.04	-0.02	
isoLCA;BA-3S	11.99	11.96	-0.03	12.01	0.02	
isoLCA;GBA	11.35	11.31	-0.04	11.31	-0.04	
isoLCA;TBA	11.42	11.37	-0.05	11.37	-0.05	
isoLCA;TBA-3S	7.47	7.51	0.04	7.49	0.02	
LCA;BA	17.12	17.07	-0.05	17.07	-0.05	
LCA;BA-3S	12.8	12.74	-0.06	12.79	-0.01	
LCA;GBA	12.74	12.68	-0.06	12.68	-0.06	
LCA;GBA-3S	9.52	9.43	-0.09	9.45	-0.07	
LCA;TBA	12.81	12.75	-0.06	12.75	-0.06	
LCA;TBA-3S	9.33	9.22	-0.11	9.24	-0.09	
3o-alloLCA;BA	17.26	17.17	-0.09	17.17	-0.09	
3o-alloLCA;GBA	12.33	12.27	-0.06	12.27	-0.06	
3o-alloLCA;TBA	12.37	12.32	-0.05	12.32	-0.05	
3o-LCA;BA	17.51	17.46	-0.05	17.46	-0.05	
3o-LCA;GBA	12.83	12.77	-0.06	12.78	-0.05	
3o-LCA;TBA	12.89	12.84	-0.05	12.85	-0.04	
iso-d5-LCA;BA	15.27	15.22	-0.05	15.23	-0.04	
iso-d5-LCA;BA-3S	11.67	11.64	-0.03	11.69	0.02	
iso-d5-LCA;GBA	10.56	10.51	-0.05	10.5	-0.06	
iso-d5-LCA;GBA-3S	7.12	7.14	0.02	7.15	0.03	
iso-d5-LCA;TBA	10.65	10.6	-0.05	10.59	-0.06	
iso-d5-LCA;TBA-3S	7.05	7.05	0	7.07	0.02	
3o-d4-LCA;BA	15.81	15.76	-0.05	15.77	-0.04	
3o-d4-LCA;GBA	11.3	11.25	-0.05	11.26	-0.04	
3o-d4-LCA;TBA	11.4	11.35	-0.05	11.35	-0.05	
12-epiDCA;BA	12.65	12.65	0	12.66	0.01	
12-epiDCA;BA-12S	9.56	9.57	0.01	9.6	0.04	
12-epiDCA;BA-3S	10.37	10.36	-0.01	10.4	0.03	
12-epiDCA;GBA	8.66	8.68	0.02	8.7	0.04	
12-epiDCA;GBA-12S	4.2	4.2	0	4.21	0.01	
12-epiDCA;GBA-3S	5.5	5.43	-0.07	5.46	-0.04	
12-epiDCA;TBA	9.06	9.06	0	9.09	0.03	
12-epiDCA;TBA-12S	4.25	4.24	-0.01	4.25	0	
12-epiDCA;TBA-3S	5.14	5.1	-0.04	5.12	-0.02	
3b-DCA;BA	12.64	12.65	0.01	12.67	0.03	
3b-DCA;BA-12S	9.86	9.84	-0.02	9.87	0.01	
3b-DCA;BA-3S	10.26	10.2	-0.06	10.23	-0.03	
3b-DCA;GBA	8.43	8.43	0	8.43	0	
3b-DCA;GBA-12S	4.84	4.78	-0.06	4.8	-0.04	
3b-DCA;GBA-3S	5.27	5.18	-0.09	5.21	-0.06	
3b-DCA;TBA	8.71	8.69	-0.02	8.71	0	
3b-DCA;TBA-12S	4.6	4.56	-0.04	4.57	-0.03	
3b-DCA;TBA-3S	5.22	5.13	-0.09	5.15	-0.07	
alloCDCA;BA	13.96	13.94	-0.02	13.96	0	
alloCDCA;BA-3S	11.08	11.06	-0.02	11.1	0.02	
alloCDCA;BA-7S	11.56	11.52	-0.04	11.56	0	
alloCDCA;GBA	10.53	10.49	-0.04	10.48	-0.05	
alloCDCA;GBA-3S	7.03	7.02	-0.01	7.04	0.01	
alloCDCA;GBA-7S	7.62	7.63	0.01	7.63	0.01	
alloCDCA;TBA	10.66	10.62	-0.04	10.62	-0.04	
alloCDCA;TBA-3S	6.99	6.95	-0.04	6.97	-0.02	
alloCDCA;TBA-7S	7.5	7.5	0	7.49	-0.01	
alloUDCA;BA	12.19	12.2	0.01	12.22	0.03	
alloUDCA;BA-3S	8.62	8.61	-0.01	8.63	0.01	
alloUDCA;BA-7S	10.32	10.29	-0.03	10.33	0.01	
alloUDCA;GBA	7.68	7.7	0.02	7.68	0	
alloUDCA;GBA-3S	3.73	3.75	0.02	3.76	0.03	
alloUDCA;GBA-7S	5.44	5.31	-0.13	5.34	-0.1	
alloUDCA;TBA	7.93	7.93	0	7.92	-0.01	
alloUDCA;TBA-3S	3.72	3.74	0.02	3.74	0.02	
alloUDCA;TBA-7S	5.34	5.21	-0.13	5.24	-0.1	
CDCA;BA	14.04	14.07	0.03	14.09	0.05	
CDCA;BA-3S	11.17	11.14	-0.03	11.18	0.01	
CDCA;BA-7S	11.28	11.25	-0.03	11.29	0.01	
CDCA;GBA	10.67	10.62	-0.05	10.62	-0.05	
CDCA;GBA-3S	7.12	7.13	0.01	7.13	0.01	
