All compounds together:
optimized t0: 0.47
optimized tD: 0.38
optimized time: [0.5, 1.1, 2.1, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: 0.009/0.036
average/RMS error of all compounds after optimization: -0.014/0.052
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.46
optimized tD: 0.39
optimized time: [0.6, 0.9, 2.0, 5.6, 6.0, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.5
optimized tD: 0.28
optimized time: [0.5, 1.1, 2.1, 5.4, 5.9, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.009/0.03
average/RMS error of all compounds after optimization: -0.003/0.048
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.53	16.47	-0.06	16.49	-0.04	
alloLCA;BA-3S	11.75	11.81	0.06	11.74	-0.01	
alloLCA;GBA	11.77	11.83	0.06	11.83	0.06	
alloLCA;GBA-3S	7.47	7.49	0.02	7.52	0.05	
alloLCA;TBA	11.83	11.89	0.06	11.89	0.06	
alloLCA;TBA-3S	7.29	7.35	0.06	7.38	0.09	
isoalloLCA;BA	15.17	15.02	-0.15	15.04	-0.13	
isoalloLCA;BA-3S	11.18	11.18	0	11.14	-0.04	
isoalloLCA;GBA	10.11	10.06	-0.05	10.05	-0.06	
isoalloLCA;GBA-3S	6.48	6.5	0.02	6.55	0.07	
isoalloLCA;TBA	10.17	10.15	-0.02	10.14	-0.03	
isoalloLCA;TBA-3S	6.21	6.34	0.13	6.29	0.08	
isoLCA;BA	15.31	15.29	-0.02	15.31	0	
isoLCA;BA-3S	11.21	11.23	0.02	11.19	-0.02	
isoLCA;GBA	10.44	10.46	0.02	10.45	0.01	
isoLCA;TBA	10.51	10.54	0.03	10.54	0.03	
isoLCA;TBA-3S	6.54	6.6	0.06	6.66	0.12	
LCA;BA	16.37	16.35	-0.02	16.37	0	
LCA;BA-3S	12	12.06	0.06	11.98	-0.02	
