All compounds together:
optimized t0: 0.58
optimized tD: 0.48
optimized time: [0.5, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.68]
average/RMS error of calibration compounds after optimization: -0.002/0.023
average/RMS error of all compounds after optimization: 0.001/0.032
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.61
optimized tD: 0.34
optimized time: [0.5, 13.5, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.68]
For compounds without sulfate: 
optimized t0: 0.58
optimized tD: 0.49
optimized time: [0.5, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.004/0.023
average/RMS error of all compounds after optimization: 0.009/0.033
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.72	17.68	-0.04	17.69	-0.03	
alloLCA;BA-3S	14.27	14.23	-0.04	14.26	-0.01	
alloLCA;GBA	14.24	14.2	-0.04	14.21	-0.03	
alloLCA;GBA-3S	8.24	8.2	-0.04	8.19	-0.05	
alloLCA;TBA	14.38	14.34	-0.04	14.35	-0.03	
alloLCA;TBA-3S	8.05	8.03	-0.02	8.01	-0.04	
isoalloLCA;BA	16.78	16.74	-0.04	16.75	-0.03	
isoalloLCA;BA-3S	13.03	12.98	-0.05	13.01	-0.02	
isoalloLCA;GBA	10.99	10.95	-0.04	10.95	-0.04	
isoalloLCA;GBA-3S	6.83	6.82	-0.01	6.81	-0.02	
isoalloLCA;TBA	11.12	11.09	-0.03	11.1	-0.02	
isoalloLCA;TBA-3S	6.69	6.69	0	6.67	-0.02	
isoLCA;BA	16.92	16.9	-0.02	16.91	-0.01	
isoLCA;BA-3S	13.12	13.07	-0.05	13.09	-0.03	
isoLCA;GBA	11.64	11.61	-0.03	11.62	-0.02	
isoLCA;TBA	11.78	11.77	-0.01	11.78	0	
isoLCA;TBA-3S	6.91	6.91	0	6.89	-0.02	
LCA;BA	17.64	17.6	-0.04	17.61	-0.03	
LCA;BA-3S	14.69	14.7	0.01	14.69	0	
LCA;GBA	14.47	14.48	0.01	14.49	0.02	
LCA;GBA-3S	8.73	8.72	-0.01	8.71	-0.02	
LCA;TBA	14.62	14.61	-0.01	14.62	0	
LCA;TBA-3S	8.55	8.55	0	8.54	-0.01	
3o-alloLCA;BA	17.71	17.65	-0.06	17.66	-0.05	
3o-alloLCA;GBA	13.53	13.5	-0.03	13.51	-0.02	
3o-alloLCA;TBA	13.66	13.65	-0.01	13.66	0	
3o-LCA;BA	17.91	17.87	-0.04	17.88	-0.03	
3o-LCA;GBA	14.58	14.55	-0.03	14.56	-0.02	
3o-LCA;TBA	14.7	14.7	0	14.71	0.01	
iso-d5-LCA;BA	16.44	16.43	-0.01	16.44	0	
iso-d5-LCA;BA-3S	12.42	12.41	-0.01	12.43	0.01	
iso-d5-LCA;GBA	10.17	10.15	-0.02	10.16	-0.01	
iso-d5-LCA;GBA-3S	6.32	6.31	-0.01	6.3	-0.02	
iso-d5-LCA;TBA	10.33	10.33	0	10.34	0.01	
iso-d5-LCA;TBA-3S	6.21	6.21	0	6.19	-0.02	
3o-d4-LCA;BA	16.77	16.73	-0.04	16.74	-0.03	
3o-d4-LCA;GBA	11.5	11.47	-0.03	11.48	-0.02	
3o-d4-LCA;TBA	11.71	11.69	-0.02	11.7	-0.01	
12-epiDCA;BA	13.9	13.83	-0.07	13.84	-0.06	
12-epiDCA;BA-12S	8.79	8.79	0	8.8	0.01	
12-epiDCA;BA-3S	9.9	9.9	0	9.92	0.02	
12-epiDCA;GBA	7.97	8	0.03	8.01	0.04	
12-epiDCA;GBA-12S	3.99	4.03	0.04	4.04	0.05	
12-epiDCA;GBA-3S	5.09	5.12	0.03	5.12	0.03	
12-epiDCA;TBA	8.3	8.31	0.01	8.32	0.02	
12-epiDCA;TBA-12S	4.08	4.12	0.04	4.12	0.04	
12-epiDCA;TBA-3S	4.85	4.88	0.03	4.88	0.03	
3b-DCA;BA	13.89	13.81	-0.08	13.82	-0.07	
3b-DCA;BA-12S	9.12	9.11	-0.01	9.12	0	
3b-DCA;BA-3S	9.76	9.68	-0.08	9.68	-0.08	
3b-DCA;GBA	7.77	7.79	0.02	7.8	0.03	
3b-DCA;GBA-12S	4.58	4.6	0.02	4.6	0.02	
3b-DCA;GBA-3S	5	4.98	-0.02	4.98	-0.02	
3b-DCA;TBA	8.01	8.03	0.02	8.04	0.03	
3b-DCA;TBA-12S	4.38	4.41	0.03	4.41	0.03	
3b-DCA;TBA-3S	4.98	4.96	-0.02	4.96	-0.02	
alloCDCA;BA	15.65	15.66	0.01	15.67	0.02	
alloCDCA;BA-3S	11.23	11.18	-0.05	11.2	-0.03	
alloCDCA;BA-7S	12.11	12.07	-0.04	12.09	-0.02	
alloCDCA;GBA	10.16	10.17	0.01	10.18	0.02	
alloCDCA;GBA-3S	6.15	6.16	0.01	6.15	0	
alloCDCA;GBA-7S	7	7.03	0.03	7.03	0.03	
alloCDCA;TBA	10.39	10.41	0.02	10.42	0.03	
alloCDCA;TBA-3S	6.08	6.1	0.02	6.08	0	
alloCDCA;TBA-7S	6.86	6.86	0	6.85	-0.01	
alloUDCA;BA	13.02	12.99	-0.03	13	-0.02	
alloUDCA;BA-3S	7.98	7.98	0	7.99	0.01	
alloUDCA;BA-7S	9.83	9.81	-0.02	9.82	-0.01	
alloUDCA;GBA	6.99	7	0.01	7.01	0.02	
alloUDCA;GBA-3S	3.34	3.4	0.06	3.41	0.07	
alloUDCA;GBA-7S	5.08	5.08	0	5.07	-0.01	
alloUDCA;TBA	7.27	7.29	0.02	7.3	0.03	
alloUDCA;TBA-3S	3.36	3.42	0.06	3.42	0.06	
alloUDCA;TBA-7S	5	5.03	0.03	5.02	0.02	
CDCA;BA	15.7	15.73	0.03	15.74	0.04	
CDCA;BA-3S	11.38	11.35	-0.03	11.37	-0.01	
CDCA;BA-7S	11.57	11.55	-0.02	11.57	0	
CDCA;GBA	10.39	10.38	-0.01	10.39	0	
CDCA;GBA-3S	6.27	6.28	0.01	6.27	0	
CDCA;GBA-7S	6.66	6.66	0	6.65	-0.01	
CDCA;TBA	10.63	10.62	-0.01	10.63	0	
CDCA;TBA-3S	6.21	6.22	0.01	6.2	-0.01	
CDCA;TBA-7S	6.54	6.54	0	6.53	-0.01	
DCA;BA	15.87	15.85	-0.02	15.86	-0.01	
