All compounds together:
optimized t0: 0.53
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 18.1]
optimized perB: [0.2, 0.4, 0.58, 0.72]
average/RMS error of calibration compounds after optimization: 0.005/0.079
average/RMS error of all compounds after optimization: 0.025/0.092
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.51
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.58, 0.68]
For compounds without sulfate: 
optimized t0: 0.53
optimized tD: 0.37
optimized time: [0.4, 13.6, 15.5, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.005/0.03
average/RMS error of all compounds after optimization: 0.028/0.067
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.38	17.37	-0.01	17.38	0	
alloLCA;BA-3S	13.65	13.79	0.14	13.66	0.01	
alloLCA;GBA	13.82	13.74	-0.08	13.83	0.01	
alloLCA;GBA-3S	7.71	7.77	0.06	7.67	-0.04	
alloLCA;TBA	13.96	13.89	-0.07	13.98	0.02	
alloLCA;TBA-3S	7.46	7.6	0.14	7.51	0.05	
isoalloLCA;BA	16.45	16.49	0.04	16.51	0.06	
isoalloLCA;BA-3S	12.33	12.53	0.2	12.41	0.08	
isoalloLCA;GBA	10.53	10.47	-0.06	10.56	0.03	
isoalloLCA;GBA-3S	6.23	6.39	0.16	6.3	0.07	
isoalloLCA;TBA	10.65	10.63	-0.02	10.71	0.06	
isoalloLCA;TBA-3S	6.04	6.26	0.22	6.17	0.13	
isoLCA;BA	16.63	16.65	0.02	16.65	0.02	
isoLCA;BA-3S	12.44	12.61	0.17	12.49	0.05	
isoLCA;GBA	11.25	11.14	-0.11	11.23	-0.02	
isoLCA;TBA	11.38	11.3	-0.08	11.39	0.01	
isoLCA;TBA-3S	6.26	6.47	0.21	6.38	0.12	
LCA;BA	17.3	17.3	0	17.3	0	
LCA;BA-3S	14.16	14.26	0.1	14.13	-0.03	
LCA;GBA	14.09	14.02	-0.07	14.11	0.02	
LCA;GBA-3S	8.18	8.29	0.11	8.19	0.01	
LCA;TBA	14.24	14.16	-0.08	14.25	0.01	
LCA;TBA-3S	7.98	8.12	0.14	8.03	0.05	
3o-alloLCA;BA	17.3	17.34	0.04	17.34	0.04	
3o-alloLCA;GBA	13.02	13.02	0	13.11	0.09	
3o-alloLCA;TBA	13.14	13.18	0.04	13.27	0.13	
3o-LCA;BA	17.52	17.53	0.01	17.55	0.03	
3o-LCA;GBA	14.09	14.08	-0.01	14.17	0.08	
3o-LCA;TBA	14.24	14.25	0.01	14.34	0.1	
iso-d5-LCA;BA	16.12	16.17	0.05	16.21	0.09	
