All compounds together:
optimized t0: 0.74
optimized tD: 0.35
optimized time: [0.6, 13.4, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.6, 0.72]
average/RMS error of calibration compounds after optimization: -0.012/0.049
average/RMS error of all compounds after optimization: 0.014/0.059
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.73
optimized tD: 0.43
optimized time: [0.6, 13.4, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.62, 0.68]
For compounds without sulfate: 
optimized t0: 0.74
optimized tD: 0.3
optimized time: [0.6, 13.5, 15.4, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.72]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.007/0.047
average/RMS error of all compounds after optimization: 0.026/0.062
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.93	17.93	0	17.93	0	
alloLCA;BA-3S	14.81	14.79	-0.02	14.82	0.01	
alloLCA;GBA	14.83	14.8	-0.03	14.83	0	
alloLCA;GBA-3S	8.78	8.7	-0.08	8.75	-0.03	
alloLCA;TBA	14.92	14.88	-0.04	14.91	-0.01	
alloLCA;TBA-3S	8.58	8.52	-0.06	8.56	-0.02	
isoalloLCA;BA	17.02	16.98	-0.04	16.97	-0.05	
isoalloLCA;BA-3S	13.61	13.62	0.01	13.65	0.04	
isoalloLCA;GBA	11.67	11.59	-0.08	11.6	-0.07	
isoalloLCA;GBA-3S	7.38	7.32	-0.06	7.36	-0.02	
isoalloLCA;TBA	11.8	11.72	-0.08	11.73	-0.07	
isoalloLCA;TBA-3S	7.22	7.17	-0.05	7.21	-0.01	
isoLCA;BA	17.15	17.15	0	17.14	-0.01	
isoLCA;BA-3S	13.69	13.71	0.02	13.74	0.05	
isoLCA;GBA	12.31	12.28	-0.03	12.29	-0.02	
isoLCA;TBA	12.45	12.42	-0.03	12.43	-0.02	
isoLCA;TBA-3S	7.44	7.4	-0.04	7.44	0	
LCA;BA	17.85	17.85	0	17.85	0	
LCA;BA-3S	15.09	15.06	-0.03	15.09	0	
LCA;GBA	14.99	14.96	-0.03	14.99	0	
LCA;GBA-3S	9.32	9.23	-0.09	9.28	-0.04	
LCA;TBA	15.08	15.03	-0.05	15.06	-0.02	
LCA;TBA-3S	9.14	9.05	-0.09	9.09	-0.05	
3o-alloLCA;BA	17.95	17.9	-0.05	17.89	-0.06	
3o-alloLCA;GBA	14.23	14.22	-0.01	14.24	0.01	
3o-alloLCA;TBA	14.35	14.35	0	14.38	0.03	
3o-LCA;BA	18.12	18.1	-0.02	18.1	-0.02	
3o-LCA;GBA	15.04	15.02	-0.02	15.05	0.01	
3o-LCA;TBA	15.12	15.1	-0.02	15.13	0.01	
iso-d5-LCA;BA	16.67	16.64	-0.03	16.63	-0.04	
iso-d5-LCA;BA-3S	13	13.04	0.04	13.07	0.07	
iso-d5-LCA;GBA	10.83	10.79	-0.04	10.8	-0.03	
iso-d5-LCA;GBA-3S	6.85	6.81	-0.04	6.85	0	
iso-d5-LCA;TBA	11	10.96	-0.04	10.97	-0.03	
iso-d5-LCA;TBA-3S	6.73	6.69	-0.04	6.73	0	
3o-d4-LCA;BA	17	16.98	-0.02	16.96	-0.04	
3o-d4-LCA;GBA	12.18	12.15	-0.03	12.16	-0.02	
3o-d4-LCA;TBA	12.38	12.36	-0.02	12.38	0	
12-epiDCA;BA	14.55	14.67	0.12	14.69	0.14	
12-epiDCA;BA-12S	9.38	9.4	0.02	9.44	0.06	
12-epiDCA;BA-3S	10.52	10.54	0.02	10.58	0.06	
12-epiDCA;GBA	8.61	8.63	0.02	8.62	0.01	
12-epiDCA;GBA-12S	4.54	4.54	0	4.57	0.03	
12-epiDCA;GBA-3S	5.66	5.66	0	5.69	0.03	
12-epiDCA;TBA	8.93	8.95	0.02	8.94	0.01	
12-epiDCA;TBA-12S	4.62	4.61	-0.01	4.65	0.03	
12-epiDCA;TBA-3S	5.41	5.41	0	5.44	0.03	
3b-DCA;BA	14.53	14.66	0.13	14.69	0.16	
3b-DCA;BA-12S	9.73	9.73	0	9.77	0.04	
3b-DCA;BA-3S	10.35	10.27	-0.08	10.31	-0.04	
3b-DCA;GBA	8.41	8.41	0	8.4	-0.01	
3b-DCA;GBA-12S	5.16	5.13	-0.03	5.16	0	
3b-DCA;GBA-3S	5.56	5.5	-0.06	5.54	-0.02	
3b-DCA;TBA	8.65	8.65	0	8.64	-0.01	
3b-DCA;TBA-12S	4.94	4.93	-0.01	4.96	0.02	
3b-DCA;TBA-3S	5.53	5.47	-0.06	5.51	-0.02	
alloCDCA;BA	15.9	15.91	0.01	15.92	0.02	
alloCDCA;BA-3S	11.83	11.81	-0.02	11.84	0.01	
alloCDCA;BA-7S	12.74	12.71	-0.03	12.74	0	
alloCDCA;GBA	10.8	10.78	-0.02	10.79	-0.01	
alloCDCA;GBA-3S	6.7	6.66	-0.04	6.7	0	
alloCDCA;GBA-7S	7.6	7.57	-0.03	7.61	0.01	
alloCDCA;TBA	11.04	11.02	-0.02	11.02	-0.02	
alloCDCA;TBA-3S	6.64	6.59	-0.05	6.63	-0.01	
alloCDCA;TBA-7S	7.44	7.38	-0.06	7.43	-0.01	
alloUDCA;BA	13.65	13.82	0.17	13.84	0.19	
alloUDCA;BA-3S	8.58	8.59	0.01	8.62	0.04	
alloUDCA;BA-7S	10.44	10.43	-0.01	10.46	0.02	
alloUDCA;GBA	7.62	7.62	0	7.6	-0.02	
alloUDCA;GBA-3S	3.87	3.89	0.02	3.92	0.05	
alloUDCA;GBA-7S	5.63	5.6	-0.03	5.63	0	
alloUDCA;TBA	7.9	7.9	0	7.89	-0.01	
alloUDCA;TBA-3S	3.88	3.9	0.02	3.93	0.05	
alloUDCA;TBA-7S	5.57	5.54	-0.03	5.58	0.01	
CDCA;BA	15.97	15.97	0	15.98	0.01	
CDCA;BA-3S	12.01	11.98	-0.03	12.01	0	
CDCA;BA-7S	12.22	12.18	-0.04	12.22	0	
CDCA;GBA	11.05	11	-0.05	11.01	-0.04	
CDCA;GBA-3S	6.86	6.79	-0.07	6.83	-0.03	
CDCA;GBA-7S	7.26	7.19	-0.07	7.23	-0.03	
CDCA;TBA	11.29	11.24	-0.05	11.25	-0.04	
CDCA;TBA-3S	6.78	6.72	-0.06	6.76	-0.02	
CDCA;TBA-7S	7.13	7.05	-0.08	7.1	-0.03	
DCA;BA	16.1	16.1	0	16.1	0	
DCA;BA-3S	12.22	12.21	-0.01	12.24	0.02	
DCA;BA-12S	12.61	12.62	0.01	12.66	0.05	
DCA;GBA	11.72	11.69	-0.03	11.7	-0.02	
DCA;GBA-3S	7.22	7.16	-0.06	7.2	-0.02	
DCA;GBA-12S	7.95	7.91	-0.04	7.95	0	
DCA;TBA	11.94	11.91	-0.03	11.92	-0.02	
DCA;TBA-3S	7.14	7.07	-0.07	7.12	-0.02	
DCA;TBA-12S	7.73	7.69	-0.04	7.73	0	
HDCA;BA	13.68	13.77	0.09	13.79	0.11	
HDCA;BA-6S	8.73	8.75	0.02	8.79	0.06	
HDCA;BA-3S	10.27	10.27	0	10.3	0.03	
HDCA;GBA	7.82	7.79	-0.03	7.78	-0.04	
HDCA;GBA-6S	3.78	3.8	0.02	3.82	0.04	
HDCA;GBA-3S	5.18	5.13	-0.05	5.16	-0.02	
HDCA;TBA	8.1	8.07	-0.03	8.05	-0.05	
HDCA;TBA-6S	3.8	3.81	0.01	3.84	0.04	
HDCA;TBA-3S	5.14	5.08	-0.06	5.12	-0.02	
isoCDCA;BA	14.45	14.58	0.13	14.6	0.15	
isoCDCA;BA-7S	10.03	10.01	-0.02	10.05	0.02	
isoCDCA;BA-3S	10.25	10.25	0	10.29	0.04	
isoCDCA;GBA	7.95	7.93	-0.02	7.92	-0.03	
isoCDCA;GBA-7S	4.96	4.93	-0.03	4.97	0.01	
isoCDCA;GBA-3S	5.22	5.2	-0.02	5.23	0.01	
isoCDCA;TBA	8.2	8.18	-0.02	8.17	-0.03	
isoCDCA;TBA-7S	4.81	4.77	-0.04	4.81	0	
isoCDCA;TBA-3S	5.17	5.14	-0.03	5.18	0.01	
isoDCA;BA	17.1	17.13	0.03	17.11	0.01	
isoDCA;GBA	14.36	14.4	0.04	14.42	0.06	
isoDCA;TBA	14.62	14.66	0.04	14.69	0.07	
isoHDCA;BA	12.77	12.86	0.09	12.87	0.1	
isoHDCA;BA-6S	9.43	9.46	0.03	9.49	0.06	
isoHDCA;BA-3S	9.5	9.52	0.02	9.55	0.05	
isoHDCA;GBA	6.35	6.33	-0.02	6.31	-0.04	
isoHDCA;GBA-6S	3.73	3.77	0.04	3.79	0.06	
isoHDCA;GBA-3S	4.38	4.37	-0.01	4.4	0.02	
isoHDCA;TBA	6.64	6.61	-0.03	6.59	-0.05	
isoHDCA;TBA-6S	3.74	3.76	0.02	3.79	0.05	
isoHDCA;TBA-3S	4.39	4.36	-0.03	4.39	0	
isoUDCA;BA	12.12	12.28	0.16	12.29	0.17	
isoUDCA;BA-3S	7.82	7.84	0.02	7.88	0.06	
isoUDCA;BA-7S	9.07	9.08	0.01	9.11	0.04	
isoUDCA;GBA	5.76	5.78	0.02	5.76	0	
isoUDCA;GBA-3S	3.04	3.08	0.04	3.1	0.06	
isoUDCA;GBA-7S	3.99	4.01	0.02	4.03	0.04	
isoUDCA;TBA	6.09	6.11	0.02	6.08	-0.01	
isoUDCA;TBA-3S	3.08	3.11	0.03	3.13	0.05	
isoUDCA;TBA-7S	3.91	3.93	0.02	3.96	0.05	
MDCA;BA	11.96	12.11	0.15	12.12	0.16	
MDCA;BA-6S	7.8	7.82	0.02	7.85	0.05	
MDCA;BA-3S	8.29	8.31	0.02	8.35	0.06	
