All compounds together:
optimized t0: 0.6
optimized tD: 0.43
optimized time: [0.4, 1.1, 2.0, 5.4, 6.1, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.01/0.024
average/RMS error of all compounds after optimization: 0.011/0.028
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.59
optimized tD: 0.48
optimized time: [0.4, 0.9, 1.9, 5.4, 6.1, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.63
optimized tD: 0.31
optimized time: [0.5, 1.0, 2.1, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.006/0.017
average/RMS error of all compounds after optimization: 0.012/0.041
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.96	16.92	-0.04	16.94	-0.02	
alloLCA;BA-3S	12.25	12.25	0	12.25	0	
alloLCA;GBA	12.28	12.29	0.01	12.27	-0.01	
alloLCA;GBA-3S	8.19	8.18	-0.01	8.18	-0.01	
alloLCA;TBA	12.33	12.35	0.02	12.33	0	
alloLCA;TBA-3S	7.99	7.98	-0.01	7.99	0	
isoalloLCA;BA	15.51	15.49	-0.02	15.51	0	
isoalloLCA;BA-3S	11.65	11.64	-0.01	11.65	0	
isoalloLCA;GBA	10.61	10.6	-0.01	10.6	-0.01	
isoalloLCA;GBA-3S	7.05	7.08	0.03	7.09	0.04	
isoalloLCA;TBA	10.68	10.67	-0.01	10.66	-0.02	
isoalloLCA;TBA-3S	6.97	6.99	0.02	7	0.03	
isoLCA;BA	15.76	15.75	-0.01	15.77	0.01	
isoLCA;BA-3S	11.7	11.69	-0.01	11.7	0	
isoLCA;GBA	10.98	10.98	0	10.97	-0.01	
isoLCA;TBA	11.04	11.05	0.01	11.04	0	
isoLCA;TBA-3S	7.09	7.13	0.04	7.15	0.06	
LCA;BA	16.84	16.8	-0.04	16.82	-0.02	
LCA;BA-3S	12.49	12.49	0	12.49	0	
LCA;GBA	12.4	12.41	0.01	12.4	0	
LCA;GBA-3S	8.84	8.84	0	8.83	-0.01	
LCA;TBA	12.47	12.48	0.01	12.47	0	
LCA;TBA-3S	8.6	8.6	0	8.6	0	
3o-alloLCA;BA	16.95	16.89	-0.06	16.92	-0.03	
3o-alloLCA;GBA	11.97	11.97	0	11.96	-0.01	
3o-alloLCA;TBA	12.02	12.03	0.01	12.02	0	
3o-LCA;BA	17.23	17.19	-0.04	17.22	-0.01	
3o-LCA;GBA	12.49	12.49	0	12.48	-0.01	
3o-LCA;TBA	12.56	12.56	0	12.55	-0.01	
iso-d5-LCA;BA	14.92	14.93	0.01	14.95	0.03	
iso-d5-LCA;BA-3S	11.36	11.36	0	11.37	0.01	
iso-d5-LCA;GBA	10.12	10.13	0.01	10.13	0.01	
iso-d5-LCA;GBA-3S	6.65	6.63	-0.02	6.61	-0.04	
iso-d5-LCA;TBA	10.22	10.23	0.01	10.23	0.01	
iso-d5-LCA;TBA-3S	6.42	6.45	0.03	6.4	-0.02	
3o-d4-LCA;BA	15.49	15.48	-0.01	15.49	0	
3o-d4-LCA;GBA	10.91	10.91	0	10.91	0	
3o-d4-LCA;TBA	11.02	11.02	0	11.01	-0.01	
12-epiDCA;BA	12.3	12.3	0	12.3	0	
12-epiDCA;BA-12S	8.91	8.96	0.05	8.94	0.03	
12-epiDCA;BA-3S	9.95	9.96	0.01	9.97	0.02	
12-epiDCA;GBA	7.99	8.05	0.06	8.05	0.06	
12-epiDCA;GBA-12S	3.66	3.66	0	3.65	-0.01	
12-epiDCA;GBA-3S	4.71	4.72	0.01	4.69	-0.02	
12-epiDCA;TBA	8.33	8.38	0.05	8.4	0.07	
12-epiDCA;TBA-12S	3.7	3.7	0	3.69	-0.01	
12-epiDCA;TBA-3S	4.42	4.43	0.01	4.41	-0.01	
3b-DCA;BA	12.31	12.29	-0.02	12.3	-0.01	
3b-DCA;BA-12S	9.31	9.33	0.02	9.32	0.01	
3b-DCA;BA-3S	9.85	9.79	-0.06	9.8	-0.05	
3b-DCA;GBA	7.8	7.84	0.04	7.83	0.03	
3b-DCA;GBA-12S	4.19	4.16	-0.03	4.14	-0.05	
3b-DCA;GBA-3S	4.56	4.5	-0.06	4.48	-0.08	
3b-DCA;TBA	8.02	8.07	0.05	8.07	0.05	
3b-DCA;TBA-12S	4.01	3.97	-0.04	3.95	-0.06	
3b-DCA;TBA-3S	4.51	4.46	-0.05	4.44	-0.07	
alloCDCA;BA	13.63	13.64	0.01	13.65	0.02	
alloCDCA;BA-3S	10.72	10.73	0.01	10.74	0.02	
alloCDCA;BA-7S	11.21	11.21	0	11.22	0.01	
alloCDCA;GBA	10.12	10.13	0.01	10.13	0.01	
alloCDCA;GBA-3S	6.29	6.34	0.05	6.28	-0.01	
alloCDCA;GBA-7S	7.16	7.21	0.05	7.22	0.06	
alloCDCA;TBA	10.26	10.27	0.01	10.27	0.01	
alloCDCA;TBA-3S	6.17	6.2	0.03	6.15	-0.02	
alloCDCA;TBA-7S	7.07	7.1	0.03	7.12	0.05	
alloUDCA;BA	11.84	11.84	0	11.84	0	
alloUDCA;BA-3S	7.99	8.01	0.02	8.01	0.02	
alloUDCA;BA-7S	9.89	9.89	0	9.9	0.01	
alloUDCA;GBA	7.2	7.21	0.01	7.17	-0.03	
alloUDCA;GBA-3S	3.3	3.28	-0.02	3.28	-0.02	
alloUDCA;GBA-7S	4.68	4.61	-0.07	4.59	-0.09	
alloUDCA;TBA	7.41	7.42	0.01	7.39	-0.02	
alloUDCA;TBA-3S	3.29	3.27	-0.02	3.26	-0.03	
