All compounds together:
optimized t0: 0.71
optimized tD: 0.48
optimized time: [0.6, 1.1, 2.1, 5.4, 6.1, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
average/RMS error of calibration compounds after optimization: -0.002/0.037
average/RMS error of all compounds after optimization: 0.008/0.048
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.71
optimized tD: 0.54
optimized time: [0.4, 1.0, 2.1, 5.4, 6.0, 7.9, 8.9, 17.1, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
For compounds without sulfate: 
optimized t0: 0.75
optimized tD: 0.29
optimized time: [0.6, 1.1, 2.1, 5.5, 6.1, 7.9, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.67, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.013/0.036
average/RMS error of all compounds after optimization: 0.001/0.05
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.23	17.17	-0.06	17.21	-0.02	
alloLCA;BA-3S	12.55	12.55	0	12.55	0	
alloLCA;GBA	12.63	12.61	-0.02	12.56	-0.07	
alloLCA;GBA-3S	8.85	8.74	-0.11	8.74	-0.11	
alloLCA;TBA	12.68	12.66	-0.02	12.61	-0.07	
alloLCA;TBA-3S	8.58	8.5	-0.08	8.5	-0.08	
isoalloLCA;BA	15.86	15.78	-0.08	15.79	-0.07	
isoalloLCA;BA-3S	11.96	11.97	0.01	11.96	0	
isoalloLCA;GBA	11.02	11	-0.02	10.93	-0.09	
isoalloLCA;GBA-3S	7.44	7.44	0	7.44	0	
isoalloLCA;TBA	11.07	11.06	-0.01	10.99	-0.08	
isoalloLCA;TBA-3S	7.32	7.35	0.03	7.35	0.03	
isoLCA;BA	16.06	16.03	-0.03	16.05	-0.01	
isoLCA;BA-3S	11.99	12.02	0.03	12.01	0.02	
isoLCA;GBA	11.35	11.36	0.01	11.3	-0.05	
isoLCA;TBA	11.42	11.43	0.01	11.36	-0.06	
isoLCA;TBA-3S	7.47	7.49	0.02	7.49	0.02	
LCA;BA	17.12	17.05	-0.07	17.09	-0.03	
LCA;BA-3S	12.8	12.79	-0.01	12.79	-0.01	
LCA;GBA	12.74	12.73	-0.01	12.67	-0.07	
LCA;GBA-3S	9.52	9.43	-0.09	9.45	-0.07	
LCA;TBA	12.81	12.79	-0.02	12.74	-0.07	
LCA;TBA-3S	9.33	9.23	-0.1	9.24	-0.09	
3o-alloLCA;BA	17.26	17.15	-0.11	17.19	-0.07	
3o-alloLCA;GBA	12.33	12.32	-0.01	12.26	-0.07	
3o-alloLCA;TBA	12.37	12.37	0	12.31	-0.06	
3o-LCA;BA	17.51	17.43	-0.08	17.48	-0.03	
3o-LCA;GBA	12.83	12.82	-0.01	12.77	-0.06	
3o-LCA;TBA	12.89	12.89	0	12.83	-0.06	
