All compounds together:
optimized t0: 0.6
optimized tD: 0.43
optimized time: [0.6, 0.9, 1.9, 5.4, 6.1, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: 0.005/0.021
average/RMS error of all compounds after optimization: -0/0.029
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.6
optimized tD: 0.43
optimized time: [0.6, 0.9, 1.9, 5.4, 6.1, 7.9, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.61
optimized tD: 0.38
optimized time: [0.6, 0.9, 1.9, 5.5, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0/0.019
average/RMS error of all compounds after optimization: -0.002/0.03
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.96	16.92	-0.04	16.92	-0.04	
alloLCA;BA-3S	12.25	12.25	0	12.25	0	
alloLCA;GBA	12.28	12.29	0.01	12.28	0	
alloLCA;GBA-3S	8.19	8.17	-0.02	8.17	-0.02	
alloLCA;TBA	12.33	12.35	0.02	12.33	0	
alloLCA;TBA-3S	7.99	7.98	-0.01	7.98	-0.01	
isoalloLCA;BA	15.51	15.49	-0.02	15.49	-0.02	
isoalloLCA;BA-3S	11.65	11.64	-0.01	11.64	-0.01	
isoalloLCA;GBA	10.61	10.6	-0.01	10.6	-0.01	
isoalloLCA;GBA-3S	7.05	7.07	0.02	7.07	0.02	
isoalloLCA;TBA	10.68	10.67	-0.01	10.67	-0.01	
isoalloLCA;TBA-3S	6.97	6.98	0.01	6.98	0.01	
isoLCA;BA	15.76	15.75	-0.01	15.75	-0.01	
isoLCA;BA-3S	11.7	11.69	-0.01	11.69	-0.01	
isoLCA;GBA	10.98	10.98	0	10.98	0	
isoLCA;TBA	11.04	11.05	0.01	11.05	0.01	
isoLCA;TBA-3S	7.09	7.12	0.03	7.12	0.03	
LCA;BA	16.84	16.8	-0.04	16.8	-0.04	
LCA;BA-3S	12.49	12.49	0	12.49	0	
LCA;GBA	12.4	12.41	0.01	12.4	0	
LCA;GBA-3S	8.84	8.83	-0.01	8.84	0	
LCA;TBA	12.47	12.48	0.01	12.47	0	
LCA;TBA-3S	8.6	8.6	0	8.6	0	
3o-alloLCA;BA	16.95	16.89	-0.06	16.9	-0.05	
3o-alloLCA;GBA	11.97	11.97	0	11.96	-0.01	
3o-alloLCA;TBA	12.02	12.03	0.01	12.02	0	
3o-LCA;BA	17.23	17.19	-0.04	17.19	-0.04	
3o-LCA;GBA	12.49	12.49	0	12.48	-0.01	
3o-LCA;TBA	12.56	12.56	0	12.55	-0.01	
iso-d5-LCA;BA	14.92	14.93	0.01	14.93	0.01	
iso-d5-LCA;BA-3S	11.36	11.36	0	11.36	0	
iso-d5-LCA;GBA	10.12	10.13	0.01	10.13	0.01	
iso-d5-LCA;GBA-3S	6.65	6.61	-0.04	6.61	-0.04	
iso-d5-LCA;TBA	10.22	10.23	0.01	10.24	0.02	
iso-d5-LCA;TBA-3S	6.42	6.42	0	6.42	0	
3o-d4-LCA;BA	15.49	15.48	-0.01	15.47	-0.02	
3o-d4-LCA;GBA	10.91	10.91	0	10.91	0	
3o-d4-LCA;TBA	11.02	11.02	0	11.02	0	
12-epiDCA;BA	12.3	12.3	0	12.29	-0.01	
12-epiDCA;BA-12S	8.91	8.96	0.05	8.96	0.05	
12-epiDCA;BA-3S	9.95	9.96	0.01	9.96	0.01	
12-epiDCA;GBA	7.99	8.04	0.05	8.03	0.04	
12-epiDCA;GBA-12S	3.66	3.63	-0.03	3.63	-0.03	
12-epiDCA;GBA-3S	4.71	4.69	-0.02	4.69	-0.02	
