All compounds together:
optimized t0: 0.54
optimized tD: 0.46
optimized time: [0.6, 1.1, 1.9, 5.4, 6.0, 8.0, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.004/0.031
average/RMS error of all compounds after optimization: -0.012/0.057
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.55
optimized tD: 0.37
optimized time: [0.6, 0.9, 2.1, 5.4, 6.1, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.57
optimized tD: 0.36
optimized time: [0.4, 1.0, 2.1, 5.6, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0/0.021
average/RMS error of all compounds after optimization: 0.003/0.044
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.74	16.7	-0.04	16.7	-0.04	
alloLCA;BA-3S	12.07	12.09	0.02	12.04	-0.03	
alloLCA;GBA	12.16	12.12	-0.04	12.12	-0.04	
alloLCA;GBA-3S	7.9	7.89	-0.01	7.9	0	
alloLCA;TBA	12.22	12.18	-0.04	12.18	-0.04	
alloLCA;TBA-3S	7.71	7.71	0	7.72	0.01	
isoalloLCA;BA	15.46	15.29	-0.17	15.29	-0.17	
isoalloLCA;BA-3S	11.45	11.49	0.04	11.44	-0.01	
isoalloLCA;GBA	10.55	10.43	-0.12	10.44	-0.11	
isoalloLCA;GBA-3S	6.79	6.88	0.09	6.87	0.08	
isoalloLCA;TBA	10.61	10.5	-0.11	10.51	-0.1	
isoalloLCA;TBA-3S	6.68	6.79	0.11	6.77	0.09	
isoLCA;BA	15.6	15.54	-0.06	15.54	-0.06	
isoLCA;BA-3S	11.49	11.53	0.04	11.49	0	
isoLCA;GBA	10.86	10.81	-0.05	10.82	-0.04	
isoLCA;TBA	10.93	10.88	-0.05	10.89	-0.04	
isoLCA;TBA-3S	6.84	6.94	0.1	6.93	0.09	
LCA;BA	16.6	16.58	-0.02	16.58	-0.02	
LCA;BA-3S	12.3	12.34	0.04	12.29	-0.01	
LCA;GBA	12.27	12.25	-0.02	12.24	-0.03	
LCA;GBA-3S	8.49	8.48	-0.01	8.5	0.01	
LCA;TBA	12.35	12.32	-0.03	12.31	-0.04	
LCA;TBA-3S	8.28	8.27	-0.01	8.29	0.01	
3o-alloLCA;BA	16.79	16.67	-0.12	16.67	-0.12	
3o-alloLCA;GBA	11.87	11.8	-0.07	11.8	-0.07	
3o-alloLCA;TBA	11.93	11.86	-0.07	11.86	-0.07	
3o-LCA;BA	16.99	16.97	-0.02	16.97	-0.02	
3o-LCA;GBA	12.35	12.32	-0.03	12.32	-0.03	
3o-LCA;TBA	12.43	12.4	-0.03	12.39	-0.04	
iso-d5-LCA;BA	14.84	14.73	-0.11	14.73	-0.11	
