All compounds together:
optimized t0: 0.46
optimized tD: 0.65
optimized time: [0.5, 1.0, 1.9, 5.6, 5.9, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: 0.011/0.065
average/RMS error of all compounds after optimization: -0.009/0.104
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.45
optimized tD: 0.62
optimized time: [0.4, 1.1, 1.9, 5.5, 6.0, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.07, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
For compounds without sulfate: 
optimized t0: 0.52
optimized tD: 0.46
optimized time: [0.6, 0.9, 1.9, 5.5, 5.9, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.18, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.001/0.028
average/RMS error of all compounds after optimization: 0.015/0.065
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.51	16.63	0.12	16.54	0.03	
alloLCA;BA-3S	11.96	12.04	0.08	11.97	0.01	
alloLCA;GBA	12.1	12.05	-0.05	12.04	-0.06	
alloLCA;GBA-3S	7.69	7.73	0.04	7.68	-0.01	
alloLCA;TBA	12.14	12.12	-0.02	12.1	-0.04	
alloLCA;TBA-3S	7.49	7.58	0.09	7.54	0.05	
isoalloLCA;BA	15.04	15.2	0.16	15.15	0.11	
isoalloLCA;BA-3S	11.28	11.42	0.14	11.35	0.07	
isoalloLCA;GBA	10.32	10.32	0	10.35	0.03	
isoalloLCA;GBA-3S	6.53	6.79	0.26	6.69	0.16	
isoalloLCA;TBA	10.39	10.41	0.02	10.43	0.04	
isoalloLCA;TBA-3S	6.19	6.54	0.35	6.45	0.26	
isoLCA;BA	15.33	15.46	0.13	15.4	0.07	
isoLCA;BA-3S	11.33	11.46	0.13	11.4	0.07	
isoLCA;GBA	10.74	10.7	-0.04	10.73	-0.01	
isoLCA;TBA	10.8	10.79	-0.01	10.81	0.01	
isoLCA;TBA-3S	6.57	6.89	0.32	6.8	0.23	
LCA;BA	16.4	16.5	0.1	16.42	0.02	
LCA;BA-3S	12.19	12.28	0.09	12.21	0.02	
LCA;GBA	12.2	12.18	-0.02	12.16	-0.04	
LCA;GBA-3S	8.18	8.23	0.05	8.17	-0.01	
LCA;TBA	12.28	12.25	-0.03	12.23	-0.05	
LCA;TBA-3S	7.96	8.05	0.09	8	0.04	
3o-alloLCA;BA	16.41	16.58	0.17	16.51	0.1	
3o-alloLCA;GBA	11.69	11.71	0.02	11.72	0.03	
3o-alloLCA;TBA	11.73	11.78	0.05	11.78	0.05	
3o-LCA;BA	16.71	16.89	0.18	16.8	0.09	
3o-LCA;GBA	12.24	12.24	0	12.23	-0.01	
3o-LCA;TBA	12.3	12.32	0.02	12.3	0	
iso-d5-LCA;BA	14.46	14.63	0.17	14.6	0.14	
iso-d5-LCA;BA-3S	10.95	11.12	0.17	11.06	0.11	
iso-d5-LCA;GBA	9.78	9.8	0.02	9.85	0.07	
iso-d5-LCA;GBA-3S	5.55	5.73	0.18	5.66	0.11	
iso-d5-LCA;TBA	9.89	9.94	0.05	9.97	0.08	
iso-d5-LCA;TBA-3S	5.27	5.55	0.28	5.48	0.21	
3o-d4-LCA;BA	14.99	15.17	0.18	15.12	0.13	
3o-d4-LCA;GBA	10.61	10.62	0.01	10.65	0.04	
3o-d4-LCA;TBA	10.71	10.74	0.03	10.77	0.06	
12-epiDCA;BA	12.01	11.94	-0.07	11.99	-0.02	
12-epiDCA;BA-12S	8.22	8.25	0.03	8.18	-0.04	
12-epiDCA;BA-3S	9.55	9.58	0.03	9.5	-0.05	
12-epiDCA;GBA	7.65	7.53	-0.12	7.62	-0.03	
12-epiDCA;GBA-12S	3.37	3.4	0.03	3.38	0.01	
12-epiDCA;GBA-3S	4.27	4.21	-0.06	4.17	-0.1	
12-epiDCA;TBA	7.91	7.79	-0.12	7.92	0.01	
12-epiDCA;TBA-12S	3.38	3.43	0.05	3.41	0.03	
12-epiDCA;TBA-3S	4	3.99	-0.01	3.96	-0.04	
3b-DCA;BA	11.99	11.93	-0.06	11.98	-0.01	
3b-DCA;BA-12S	8.75	8.61	-0.14	8.53	-0.22	
3b-DCA;BA-3S	9.32	9.39	0.07	9.31	-0.01	
3b-DCA;GBA	7.47	7.38	-0.09	7.45	-0.02	
3b-DCA;GBA-12S	3.85	3.78	-0.07	3.75	-0.1	
3b-DCA;GBA-3S	4.01	4.05	0.04	4.01	0	
3b-DCA;TBA	7.66	7.56	-0.1	7.65	-0.01	
3b-DCA;TBA-12S	3.65	3.64	-0.01	3.61	-0.04	
3b-DCA;TBA-3S	3.95	4.02	0.07	3.98	0.03	
alloCDCA;BA	13.36	13.34	-0.02	13.33	-0.03	
alloCDCA;BA-3S	10.39	10.47	0.08	10.4	0.01	
alloCDCA;BA-7S	10.93	10.96	0.03	10.89	-0.04	
alloCDCA;GBA	9.86	9.83	-0.03	9.86	0	
alloCDCA;GBA-3S	5.47	5.46	-0.01	5.39	-0.08	
alloCDCA;GBA-7S	6.83	6.95	0.12	6.87	0.04	
alloCDCA;TBA	9.99	10	0.01	10.02	0.03	
alloCDCA;TBA-3S	5.3	5.35	0.05	5.29	-0.01	
alloCDCA;TBA-7S	6.68	6.79	0.11	6.69	0.01	
alloUDCA;BA	11.53	11.48	-0.05	11.54	0.01	
alloUDCA;BA-3S	7.47	7.53	0.06	7.47	0	
alloUDCA;BA-7S	9.46	9.5	0.04	9.43	-0.03	
alloUDCA;GBA	6.89	6.84	-0.05	6.9	0.01	
alloUDCA;GBA-3S	3.06	3.11	0.05	3.1	0.04	
alloUDCA;GBA-7S	4.19	4.13	-0.06	4.09	-0.1	
alloUDCA;TBA	7.06	7.05	-0.01	7.08	0.02	
alloUDCA;TBA-3S	3.04	3.1	0.06	3.09	0.05	
alloUDCA;TBA-7S	4.07	4.07	0	4.04	-0.03	
CDCA;BA	13.44	13.45	0.01	13.45	0.01	
CDCA;BA-3S	10.48	10.56	0.08	10.5	0.02	
CDCA;BA-7S	10.64	10.67	0.03	10.61	-0.03	
CDCA;GBA	10	9.98	-0.02	10.01	0.01	
CDCA;GBA-3S	5.66	5.67	0.01	5.6	-0.06	
CDCA;GBA-7S	6.49	6.35	-0.14	6.26	-0.23	
CDCA;TBA	10.14	10.14	0	10.16	0.02	
CDCA;TBA-3S	5.49	5.56	0.07	5.49	0	
CDCA;TBA-7S	6.19	6.13	-0.06	6.05	-0.14	
DCA;BA	13.69	13.64	-0.05	13.65	-0.04	
DCA;BA-3S	10.62	10.68	0.06	10.62	0	
DCA;BA-12S	10.89	10.9	0.01	10.83	-0.06	
DCA;GBA	10.42	10.38	-0.04	10.4	-0.02	
DCA;GBA-3S	6.34	6.34	0	6.26	-0.08	
DCA;GBA-12S	7.05	7.12	0.07	7.08	0.03	
DCA;TBA	10.54	10.51	-0.03	10.53	-0.01	
DCA;TBA-3S	6.14	6.21	0.07	6.13	-0.01	
DCA;TBA-12S	6.89	7.01	0.12	6.96	0.07	
HDCA;BA	11.51	11.48	-0.03	11.52	0.01	
HDCA;BA-6S	7.59	7.65	0.06	7.59	0	
HDCA;BA-3S	9.28	9.35	0.07	9.26	-0.02	
HDCA;GBA	7	7.02	0.02	7.03	0.03	
HDCA;GBA-6S	3.02	3.08	0.06	3.07	0.05	
HDCA;GBA-3S	3.75	3.75	0	3.72	-0.03	
HDCA;TBA	7.19	7.19	0	7.21	0.02	
HDCA;TBA-6S	3.01	3.07	0.06	3.06	0.05	
HDCA;TBA-3S	3.66	3.7	0.04	3.67	0.01	
isoCDCA;BA	11.95	11.89	-0.06	11.93	-0.02	
isoCDCA;BA-7S	9.09	8.97	-0.12	8.88	-0.21	
isoCDCA;BA-3S	9.22	9.34	0.12	9.25	0.03	
isoCDCA;GBA	7.11	7.08	-0.03	7.1	-0.01	
isoCDCA;GBA-7S	3.66	3.65	-0.01	3.62	-0.04	
isoCDCA;GBA-3S	3.74	3.79	0.05	3.76	0.02	
isoCDCA;TBA	7.27	7.24	-0.03	7.28	0.01	
isoCDCA;TBA-7S	3.53	3.53	0	3.5	-0.03	
isoCDCA;TBA-3S	3.64	3.73	0.09	3.7	0.06	
isoDCA;BA	15.29	15.34	0.05	15.3	0.01	
isoDCA;GBA	11.88	11.8	-0.08	11.81	-0.07	
isoDCA;TBA	11.99	11.94	-0.05	11.95	-0.04	
isoHDCA;BA	11	10.98	-0.02	11.03	0.03	
isoHDCA;BA-6S	8.3	8.3	0	8.23	-0.07	
isoHDCA;BA-3S	8.3	8.39	0.09	8.32	0.02	
isoHDCA;GBA	5.14	4.92	-0.22	5.17	0.03	
isoHDCA;GBA-6S	3.02	3.08	0.06	3.06	0.04	
isoHDCA;GBA-3S	3.24	3.29	0.05	3.27	0.03	
isoHDCA;TBA	5.48	5.29	-0.19	5.58	0.1	
isoHDCA;TBA-6S	2.98	3.06	0.08	3.05	0.07	
isoHDCA;TBA-3S	3.2	3.27	0.07	3.26	0.06	
isoUDCA;BA	10.66	10.62	-0.04	10.7	0.04	
isoUDCA;BA-3S	6.87	7.03	0.16	6.97	0.1	
isoUDCA;BA-7S	7.93	7.92	-0.01	7.86	-0.07	
isoUDCA;GBA	4.57	4.37	-0.2	4.54	-0.03	
isoUDCA;GBA-3S	2.76	2.87	0.11	2.87	0.11	
isoUDCA;GBA-7S	3.14	3.2	0.06	3.18	0.04	
isoUDCA;TBA	4.89	4.68	-0.21	4.9	0.01	
isoUDCA;TBA-3S	2.76	2.88	0.12	2.87	0.11	
isoUDCA;TBA-7S	3.08	3.14	0.06	3.13	0.05	
MDCA;BA	10.54	10.52	-0.02	10.6	0.06	
MDCA;BA-6S	6.86	7.02	0.16	6.96	0.1	
MDCA;BA-3S	7.2	7.32	0.12	7.27	0.07	
MDCA;GBA	4.8	4.59	-0.21	4.79	-0.01	
MDCA;GBA-6S	2.75	2.84	0.09	2.84	0.09	
MDCA;GBA-3S	2.87	2.93	0.06	2.92	0.05	
MDCA;TBA	5.1	4.9	-0.2	5.15	0.05	
MDCA;TBA-6S	2.73	2.84	0.11	2.84	0.11	
MDCA;TBA-3S	2.84	2.93	0.09	2.92	0.08	
UDCA;BA	11.31	11.26	-0.05	11.31	0	
UDCA;BA-3S	7.58	7.63	0.05	7.58	0	
UDCA;BA-7S	9.19	9.15	-0.04	9.07	-0.12	
UDCA;GBA	6.88	6.83	-0.05	6.89	0.01	
UDCA;GBA-3S	3.14	3.19	0.05	3.17	0.03	
UDCA;GBA-7S	4.1	4.08	-0.02	4.05	-0.05	
UDCA;TBA	7.06	7.05	-0.01	7.08	0.02	
UDCA;TBA-3S	3.11	3.18	0.07	3.16	0.05	
UDCA;TBA-7S	4.01	4.03	0.02	4	-0.01	
12o-DCA;BA	12.35	12.3	-0.05	12.34	-0.01	
12o-DCA;BA-3S	8.8	8.78	-0.02	8.7	-0.1	
12o-DCA;GBA	8.3	8.09	-0.21	8.25	-0.05	
12o-DCA;GBA-3S	3.7	3.7	0	3.67	-0.03	
12o-DCA;TBA	8.55	8.33	-0.22	8.52	-0.03	
12o-DCA;TBA-3S	3.61	3.66	0.05	3.64	0.03	
3o-CDCA;BA	13.54	13.59	0.05	13.6	0.06	
3o-CDCA;BA-7S	10.34	10.43	0.09	10.36	0.02	
3o-CDCA;GBA	9.74	9.72	-0.02	9.79	0.05	
3o-CDCA;GBA-7S	5.38	5.33	-0.05	5.26	-0.12	
3o-CDCA;TBA	9.92	9.94	0.02	9.98	0.06	
3o-CDCA;TBA-7S	5.16	5.18	0.02	5.12	-0.04	
3o-DCA;BA	13.53	13.47	-0.06	13.48	-0.05	
3o-DCA;BA-12S	10.45	10.48	0.03	10.41	-0.04	
3o-DCA;GBA	10.03	10	-0.03	10.05	0.02	
3o-DCA;GBA-12S	6.29	6.17	-0.12	6.09	-0.2	
3o-DCA;TBA	10.17	10.17	0	10.2	0.03	
3o-DCA;TBA-12S	5.84	5.85	0.01	5.77	-0.07	
3o-HDCA;BA	11.83	11.84	0.01	11.88	0.05	
3o-HDCA;BA-6S	8.29	8.39	0.1	8.31	0.02	
3o-HDCA;GBA	7.01	7.05	0.04	7.08	0.07	
3o-HDCA;GBA-6S	3.15	3.22	0.07	3.2	0.05	
3o-HDCA;TBA	7.2	7.24	0.04	7.29	0.09	
3o-HDCA;TBA-6S	3.12	3.22	0.1	3.2	0.08	
6o-alloMDCA;BA	12.03	12.02	-0.01	12.06	0.03	
6o-alloMDCA;BA-3S	8.7	8.77	0.07	8.69	-0.01	
6o-alloMDCA;GBA	7.27	7.23	-0.04	7.29	0.02	
6o-alloMDCA;GBA-3S	3.48	3.52	0.04	3.5	0.02	
6o-alloMDCA;TBA	7.45	7.43	-0.02	7.5	0.05	
6o-alloMDCA;TBA-3S	3.41	3.49	0.08	3.47	0.06	
6o-HDCA;BA	11.65	11.68	0.03	11.73	0.08	
6o-HDCA;BA-3S	8.76	8.79	0.03	8.71	-0.05	
6o-HDCA;GBA	7.04	7.07	0.03	7.1	0.06	
6o-HDCA;GBA-3S	3.5	3.53	0.03	3.51	0.01	
6o-HDCA;TBA	7.23	7.24	0.01	7.29	0.06	
6o-HDCA;TBA-3S	3.44	3.51	0.07	3.49	0.05	
7o-CDCA;BA	12.17	12.14	-0.03	12.18	0.01	
7o-CDCA;BA-3S	9.21	9.29	0.08	9.21	0	
7o-CDCA;GBA	7.75	7.64	-0.11	7.74	-0.01	
7o-CDCA;GBA-3S	3.75	3.78	0.03	3.75	0	
7o-CDCA;TBA	7.92	7.82	-0.1	7.94	0.02	
7o-CDCA;TBA-3S	3.64	3.71	0.07	3.68	0.04	
apoCA;BA	12.46	12.43	-0.03	12.45	-0.01	
apoCA;GBA	8.97	8.69	-0.28	8.91	-0.06	
apoCA;TBA	9.19	8.96	-0.23	9.19	0	
12o-d9-DCA;BA	11.74	11.7	-0.04	11.75	0.01	
12o-d9-DCA;BA-3S	8.01	8.05	0.04	7.99	-0.02	
12o-d9-DCA;GBA	7.33	7.27	-0.06	7.33	0	
12o-d9-DCA;GBA-3S	3.32	3.37	0.05	3.35	0.03	
12o-d9-DCA;TBA	7.5	7.44	-0.06	7.52	0.02	
12o-d9-DCA;TBA-3S	3.26	3.33	0.07	3.31	0.05	
3,12-2o-DCA;BA	12.31	12.31	0	12.36	0.05	
3,12-2o-DCA;GBA	7.82	7.72	-0.1	7.86	0.04	
3,12-2o-DCA;TBA	8.05	7.95	-0.1	8.11	0.06	
3,6-2o-HDCA;BA	12.4	12.46	0.06	12.5	0.1	
