All compounds together:
optimized t0: 0.47
optimized tD: 0.37
optimized time: [0.4, 1.1, 2.1, 5.6, 5.9, 8.1, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
average/RMS error of calibration compounds after optimization: 0.014/0.04
average/RMS error of all compounds after optimization: -0.016/0.053
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.46
optimized tD: 0.38
optimized time: [0.6, 1.0, 1.9, 5.6, 6.0, 8.1, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
For compounds without sulfate: 
optimized t0: 0.5
optimized tD: 0.28
optimized time: [0.6, 1.1, 2.1, 5.4, 5.9, 7.9, 9.0, 16.9, 17.9]
optimized perB: [0.03, 0.22, 0.25, 0.25, 0.3, 0.3, 0.35, 0.63, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.008/0.03
average/RMS error of all compounds after optimization: -0.007/0.048
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.53	16.46	-0.07	16.49	-0.04	
alloLCA;BA-3S	11.75	11.81	0.06	11.77	0.02	
alloLCA;GBA	11.77	11.82	0.05	11.83	0.06	
alloLCA;GBA-3S	7.47	7.49	0.02	7.51	0.04	
alloLCA;TBA	11.83	11.89	0.06	11.89	0.06	
alloLCA;TBA-3S	7.29	7.34	0.05	7.37	0.08	
isoalloLCA;BA	15.17	15.02	-0.15	15.04	-0.13	
isoalloLCA;BA-3S	11.18	11.18	0	11.15	-0.03	
isoalloLCA;GBA	10.11	10.08	-0.03	10.06	-0.05	
isoalloLCA;GBA-3S	6.48	6.56	0.08	6.53	0.05	
isoalloLCA;TBA	10.17	10.17	0	10.14	-0.03	
isoalloLCA;TBA-3S	6.21	6.34	0.13	6.27	0.06	
isoLCA;BA	15.31	15.28	-0.03	15.31	0	
isoLCA;BA-3S	11.21	11.23	0.02	11.2	-0.01	
isoLCA;GBA	10.44	10.47	0.03	10.45	0.01	
isoLCA;TBA	10.51	10.55	0.04	10.54	0.03	
isoLCA;TBA-3S	6.54	6.65	0.11	6.64	0.1	
LCA;BA	16.37	16.34	-0.03	16.37	0	
LCA;BA-3S	12	12.05	0.05	12.01	0.01	
LCA;GBA	11.88	11.96	0.08	11.96	0.08	
LCA;GBA-3S	7.97	8	0.03	8.01	0.04	
LCA;TBA	11.96	12.03	0.07	12.03	0.07	
LCA;TBA-3S	7.77	7.82	0.05	7.83	0.06	
3o-alloLCA;BA	16.59	16.42	-0.17	16.45	-0.14	
3o-alloLCA;GBA	11.5	11.48	-0.02	11.48	-0.02	
3o-alloLCA;TBA	11.54	11.55	0.01	11.55	0.01	
3o-LCA;BA	16.81	16.73	-0.08	16.76	-0.05	
3o-LCA;GBA	11.99	12.02	0.03	12.02	0.03	
3o-LCA;TBA	12.06	12.1	0.04	12.1	0.04	
iso-d5-LCA;BA	14.55	14.44	-0.11	14.47	-0.08	
iso-d5-LCA;BA-3S	10.87	10.89	0.02	10.86	-0.01	
iso-d5-LCA;GBA	9.58	9.57	-0.01	9.53	-0.05	
iso-d5-LCA;GBA-3S	5.5	5.52	0.02	5.46	-0.04	
iso-d5-LCA;TBA	9.68	9.71	0.03	9.66	-0.02	
iso-d5-LCA;TBA-3S	5.25	5.33	0.08	5.28	0.03	
3o-d4-LCA;BA	15.11	14.98	-0.13	15.01	-0.1	
3o-d4-LCA;GBA	10.42	10.38	-0.04	10.37	-0.05	
3o-d4-LCA;TBA	10.53	10.51	-0.02	10.5	-0.03	
12-epiDCA;BA	11.78	11.72	-0.06	11.74	-0.04	
12-epiDCA;BA-12S	8.09	8.03	-0.06	8.03	-0.06	
12-epiDCA;BA-3S	9.34	9.36	0.02	9.34	0	
12-epiDCA;GBA	7.28	7.29	0.01	7.3	0.02	
12-epiDCA;GBA-12S	3.14	3.13	-0.01	3.13	-0.01	
12-epiDCA;GBA-3S	3.98	3.95	-0.03	3.94	-0.04	
12-epiDCA;TBA	7.55	7.56	0.01	7.58	0.03	
12-epiDCA;TBA-12S	3.15	3.16	0.01	3.16	0.01	
12-epiDCA;TBA-3S	3.74	3.73	-0.01	3.72	-0.02	
3b-DCA;BA	11.76	11.71	-0.05	11.73	-0.03	
3b-DCA;BA-12S	8.46	8.39	-0.07	8.38	-0.08	
3b-DCA;BA-3S	9.24	9.17	-0.07	9.16	-0.08	
3b-DCA;GBA	7.11	7.14	0.03	7.13	0.02	
3b-DCA;GBA-12S	3.53	3.52	-0.01	3.51	-0.02	
3b-DCA;GBA-3S	3.81	3.79	-0.02	3.78	-0.03	
3b-DCA;TBA	7.31	7.32	0.01	7.32	0.01	
3b-DCA;TBA-12S	3.38	3.37	-0.01	3.37	-0.01	
3b-DCA;TBA-3S	3.76	3.76	0	3.75	-0.01	
alloCDCA;BA	13.12	13.13	0.01	13.15	0.03	
alloCDCA;BA-3S	10.19	10.23	0.04	10.21	0.02	
alloCDCA;BA-7S	10.69	10.72	0.03	10.7	0.01	
alloCDCA;GBA	9.51	9.59	0.08	9.55	0.04	
alloCDCA;GBA-3S	5.16	5.24	0.08	5.19	0.03	
alloCDCA;GBA-7S	6.6	6.7	0.1	6.71	0.11	
alloCDCA;TBA	9.66	9.76	0.1	9.72	0.06	
alloCDCA;TBA-3S	5.04	5.13	0.09	5.08	0.04	
alloCDCA;TBA-7S	6.46	6.56	0.1	6.53	0.07	
alloUDCA;BA	11.3	11.26	-0.04	11.28	-0.02	
alloUDCA;BA-3S	7.33	7.29	-0.04	7.3	-0.03	
alloUDCA;BA-7S	9.28	9.28	0	9.26	-0.02	
alloUDCA;GBA	6.55	6.61	0.06	6.59	0.04	
alloUDCA;GBA-3S	2.83	2.83	0	2.84	0.01	
alloUDCA;GBA-7S	3.92	3.88	-0.04	3.86	-0.06	
alloUDCA;TBA	6.78	6.8	0.02	6.77	-0.01	
alloUDCA;TBA-3S	2.83	2.82	-0.01	2.84	0.01	
alloUDCA;TBA-7S	3.84	3.82	-0.02	3.8	-0.04	
CDCA;BA	13.21	13.25	0.04	13.27	0.06	
CDCA;BA-3S	10.3	10.32	0.02	10.3	0	
CDCA;BA-7S	10.4	10.43	0.03	10.41	0.01	
CDCA;GBA	9.68	9.74	0.06	9.7	0.02	
CDCA;GBA-3S	5.44	5.46	0.02	5.41	-0.03	
CDCA;GBA-7S	6.14	6.14	0	6.08	-0.06	
CDCA;TBA	9.83	9.9	0.07	9.86	0.03	
CDCA;TBA-3S	5.29	5.34	0.05	5.29	0	
CDCA;TBA-7S	5.89	5.92	0.03	5.86	-0.03	
DCA;BA	13.45	13.44	-0.01	13.47	0.02	
DCA;BA-3S	10.43	10.44	0.01	10.42	-0.01	
DCA;BA-12S	10.62	10.66	0.04	10.63	0.01	
DCA;GBA	10.09	10.14	0.05	10.11	0.02	
DCA;GBA-3S	6.12	6.14	0.02	6.08	-0.04	
DCA;GBA-12S	6.83	6.87	0.04	6.9	0.07	
DCA;TBA	10.22	10.27	0.05	10.25	0.03	
DCA;TBA-3S	5.96	6	0.04	5.94	-0.02	
DCA;TBA-12S	6.7	6.76	0.06	6.78	0.08	
HDCA;BA	11.27	11.26	-0.01	11.26	-0.01	
HDCA;BA-6S	7.46	7.41	-0.05	7.43	-0.03	
HDCA;BA-3S	9.15	9.13	-0.02	9.11	-0.04	
HDCA;GBA	6.72	6.78	0.06	6.73	0.01	
HDCA;GBA-6S	2.81	2.8	-0.01	2.81	0	
HDCA;GBA-3S	3.5	3.49	-0.01	3.48	-0.02	
HDCA;TBA	6.9	6.94	0.04	6.91	0.01	
HDCA;TBA-6S	2.81	2.79	-0.02	2.81	0	
HDCA;TBA-3S	3.45	3.44	-0.01	3.43	-0.02	
isoCDCA;BA	11.72	11.66	-0.06	11.69	-0.03	
isoCDCA;BA-7S	8.86	8.76	-0.1	8.74	-0.12	
isoCDCA;BA-3S	9.14	9.12	-0.02	9.11	-0.03	
isoCDCA;GBA	6.8	6.83	0.03	6.8	0	
isoCDCA;GBA-7S	3.39	3.38	-0.01	3.38	-0.01	
isoCDCA;GBA-3S	3.55	3.53	-0.02	3.52	-0.03	
isoCDCA;TBA	6.97	6.99	0.02	6.97	0	
isoCDCA;TBA-7S	3.27	3.26	-0.01	3.26	-0.01	
isoCDCA;TBA-3S	3.47	3.47	0	3.46	-0.01	
isoDCA;BA	15.17	15.16	-0.01	15.19	0.02	
isoDCA;GBA	11.54	11.57	0.03	11.58	0.04	
isoDCA;TBA	11.67	11.72	0.05	11.73	0.06	
isoHDCA;BA	10.79	10.75	-0.04	10.76	-0.03	
isoHDCA;BA-6S	8.17	8.08	-0.09	8.08	-0.09	
isoHDCA;BA-3S	8.26	8.17	-0.09	8.17	-0.09	
isoHDCA;GBA	4.71	4.68	-0.03	4.79	0.08	
isoHDCA;GBA-6S	2.81	2.79	-0.02	2.81	0	
isoHDCA;GBA-3S	3.04	3.02	-0.02	3.02	-0.02	
isoHDCA;TBA	5.07	5.06	-0.01	5.19	0.12	
isoHDCA;TBA-6S	2.79	2.77	-0.02	2.8	0.01	
isoHDCA;TBA-3S	3.02	3.01	-0.01	3.01	-0.01	
isoUDCA;BA	10.42	10.39	-0.03	10.4	-0.02	
isoUDCA;BA-3S	6.78	6.78	0	6.8	0.02	
isoUDCA;BA-7S	7.75	7.7	-0.05	7.7	-0.05	
isoUDCA;GBA	4.14	4.11	-0.03	4.19	0.05	
isoUDCA;GBA-3S	2.59	2.53	-0.06	2.61	0.02	
isoUDCA;GBA-7S	2.92	2.92	0	2.93	0.01	
isoUDCA;TBA	4.46	4.43	-0.03	4.53	0.07	
isoUDCA;TBA-3S	2.58	2.53	-0.05	2.61	0.03	
isoUDCA;TBA-7S	2.87	2.86	-0.01	2.87	0	
MDCA;BA	10.33	10.29	-0.04	10.3	-0.03	
MDCA;BA-6S	6.77	6.77	0	6.79	0.02	
MDCA;BA-3S	7.11	7.07	-0.04	7.09	-0.02	
MDCA;GBA	4.38	4.34	-0.04	4.43	0.05	
MDCA;GBA-6S	2.55	2.5	-0.05	2.58	0.03	
MDCA;GBA-3S	2.67	2.6	-0.07	2.66	-0.01	
MDCA;TBA	4.69	4.66	-0.03	4.77	0.08	
MDCA;TBA-6S	2.55	2.5	-0.05	2.58	0.03	
MDCA;TBA-3S	2.66	2.6	-0.06	2.66	0	
UDCA;BA	11.08	11.03	-0.05	11.04	-0.04	
UDCA;BA-3S	7.44	7.4	-0.04	7.41	-0.03	
UDCA;BA-7S	9.02	8.95	-0.07	8.93	-0.09	
UDCA;GBA	6.56	6.6	0.04	6.58	0.02	
UDCA;GBA-3S	2.91	2.91	0	2.92	0.01	
UDCA;GBA-7S	3.83	3.83	0	3.81	-0.02	
UDCA;TBA	6.77	6.8	0.03	6.77	0	
UDCA;TBA-3S	2.91	2.91	0	2.91	0	
UDCA;TBA-7S	3.77	3.78	0.01	3.76	-0.01	
12o-DCA;BA	12.13	12.08	-0.05	12.11	-0.02	
12o-DCA;BA-3S	8.68	8.57	-0.11	8.55	-0.13	
12o-DCA;GBA	7.89	7.86	-0.03	7.9	0.01	
12o-DCA;GBA-3S	3.45	3.44	-0.01	3.43	-0.02	
12o-DCA;TBA	8.14	8.11	-0.03	8.16	0.02	
12o-DCA;TBA-3S	3.38	3.4	0.02	3.4	0.02	
3o-CDCA;BA	13.43	13.39	-0.04	13.42	-0.01	
3o-CDCA;BA-7S	10.18	10.19	0.01	10.17	-0.01	
3o-CDCA;GBA	9.48	9.49	0.01	9.46	-0.02	
3o-CDCA;GBA-7S	5.12	5.1	-0.02	5.06	-0.06	
3o-CDCA;TBA	9.68	9.7	0.02	9.67	-0.01	
3o-CDCA;TBA-7S	4.96	4.95	-0.01	4.91	-0.05	
3o-DCA;BA	13.38	13.27	-0.11	13.3	-0.08	
3o-DCA;BA-12S	10.24	10.24	0	10.22	-0.02	
3o-DCA;GBA	9.74	9.77	0.03	9.74	0	
3o-DCA;GBA-12S	5.99	5.96	-0.03	5.91	-0.08	
3o-DCA;TBA	9.9	9.93	0.03	9.9	0	
3o-DCA;TBA-12S	5.6	5.63	0.03	5.58	-0.02	
3o-HDCA;BA	11.69	11.62	-0.07	11.64	-0.05	
3o-HDCA;BA-6S	8.28	8.17	-0.11	8.16	-0.12	
3o-HDCA;GBA	6.79	6.81	0.02	6.77	-0.02	
