All compounds together:
optimized t0: 0.57
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 18.0]
optimized perB: [0.2, 0.4, 0.58, 0.72]
average/RMS error of calibration compounds after optimization: 0.013/0.045
average/RMS error of all compounds after optimization: 0.008/0.06
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.56
optimized tD: 0.28
optimized time: [0.4, 13.6, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.62, 0.68]
For compounds without sulfate: 
optimized t0: 0.56
optimized tD: 0.37
optimized time: [0.4, 13.6, 15.4, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.029
average/RMS error of all compounds after optimization: 0.001/0.05
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.54	17.51	-0.03	17.45	-0.09	
alloLCA;BA-3S	13.96	14.03	0.07	13.97	0.01	
alloLCA;GBA	14.06	13.99	-0.07	14.02	-0.04	
alloLCA;GBA-3S	7.9	7.94	0.04	7.9	0	
alloLCA;TBA	14.21	14.14	-0.07	14.16	-0.05	
alloLCA;TBA-3S	7.71	7.77	0.06	7.73	0.02	
isoalloLCA;BA	16.71	16.63	-0.08	16.54	-0.17	
isoalloLCA;BA-3S	12.69	12.76	0.07	12.71	0.02	
isoalloLCA;GBA	10.93	10.7	-0.23	10.73	-0.2	
isoalloLCA;GBA-3S	6.48	6.55	0.07	6.51	0.03	
isoalloLCA;TBA	11.06	10.85	-0.21	10.88	-0.18	
isoalloLCA;TBA-3S	6.32	6.42	0.1	6.38	0.06	
isoLCA;BA	16.79	16.78	-0.01	16.69	-0.1	
isoLCA;BA-3S	12.77	12.85	0.08	12.79	0.02	
isoLCA;GBA	11.49	11.37	-0.12	11.41	-0.08	
isoLCA;TBA	11.64	11.53	-0.11	11.56	-0.08	
isoLCA;TBA-3S	6.54	6.64	0.1	6.6	0.06	
LCA;BA	17.44	17.44	0	17.37	-0.07	
LCA;BA-3S	14.45	14.51	0.06	14.45	0	
LCA;GBA	14.3	14.27	-0.03	14.3	0	
LCA;GBA-3S	8.41	8.47	0.06	8.42	0.01	
LCA;TBA	14.47	14.41	-0.06	14.44	-0.03	
LCA;TBA-3S	8.24	8.3	0.06	8.25	0.01	
3o-alloLCA;BA	17.57	17.48	-0.09	17.41	-0.16	
3o-alloLCA;GBA	13.41	13.28	-0.13	13.31	-0.1	
3o-alloLCA;TBA	13.56	13.44	-0.12	13.46	-0.1	
3o-LCA;BA	17.71	17.67	-0.04	17.64	-0.07	
3o-LCA;GBA	14.38	14.34	-0.04	14.37	-0.01	
3o-LCA;TBA	14.54	14.51	-0.03	14.54	0	
iso-d5-LCA;BA	16.34	16.3	-0.04	16.25	-0.09	
iso-d5-LCA;BA-3S	12.07	12.18	0.11	12.13	0.06	
iso-d5-LCA;GBA	10.06	9.9	-0.16	9.93	-0.13	
iso-d5-LCA;GBA-3S	5.96	6.04	0.08	6	0.04	
iso-d5-LCA;TBA	10.23	10.08	-0.15	10.12	-0.11	
iso-d5-LCA;TBA-3S	5.84	5.93	0.09	5.89	0.05	
3o-d4-LCA;BA	16.66	16.61	-0.05	16.53	-0.13	
3o-d4-LCA;GBA	11.39	11.23	-0.16	11.26	-0.13	
3o-d4-LCA;TBA	11.61	11.45	-0.16	11.48	-0.13	
12-epiDCA;BA	13.61	13.6	-0.01	13.62	0.01	
12-epiDCA;BA-12S	8.44	8.52	0.08	8.47	0.03	
12-epiDCA;BA-3S	9.61	9.65	0.04	9.59	-0.02	
12-epiDCA;GBA	7.77	7.73	-0.04	7.76	-0.01	
12-epiDCA;GBA-12S	3.73	3.79	0.06	3.75	0.02	
12-epiDCA;GBA-3S	4.82	4.85	0.03	4.81	-0.01	
12-epiDCA;TBA	8.08	8.05	-0.03	8.08	0	
12-epiDCA;TBA-12S	3.79	3.87	0.08	3.83	0.04	
12-epiDCA;TBA-3S	4.58	4.61	0.03	4.57	-0.01	
3b-DCA;BA	13.6	13.58	-0.02	13.59	-0.01	
3b-DCA;BA-12S	8.83	8.84	0.01	8.79	-0.04	
3b-DCA;BA-3S	9.39	9.42	0.03	9.37	-0.02	
3b-DCA;GBA	7.56	7.52	-0.04	7.55	-0.01	
3b-DCA;GBA-12S	4.36	4.34	-0.02	4.3	-0.06	
3b-DCA;GBA-3S	4.69	4.72	0.03	4.68	-0.01	
3b-DCA;TBA	7.8	7.76	-0.04	7.79	-0.01	
3b-DCA;TBA-12S	4.15	4.16	0.01	4.12	-0.03	
3b-DCA;TBA-3S	4.66	4.7	0.04	4.66	0	
alloCDCA;BA	15.47	15.51	0.04	15.52	0.05	
alloCDCA;BA-3S	10.92	10.94	0.02	10.89	-0.03	
alloCDCA;BA-7S	11.85	11.84	-0.01	11.79	-0.06	
