All compounds together:
optimized t0: 0.68
optimized tD: 0.58
optimized time: [0.6, 13.5, 15.4, 18.1]
optimized perB: [0.2, 0.4, 0.62, 0.68]
average/RMS error of calibration compounds after optimization: 0.004/0.044
average/RMS error of all compounds after optimization: 0.012/0.046
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.72
optimized tD: 0.47
optimized time: [0.6, 13.4, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.62, 0.68]
For compounds without sulfate: 
optimized t0: 0.74
optimized tD: 0.3
optimized time: [0.6, 13.5, 15.4, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.72]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.007/0.048
average/RMS error of all compounds after optimization: 0.026/0.061
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.93	17.88	-0.05	17.93	0	
alloLCA;BA-3S	14.81	14.87	0.06	14.83	0.02	
alloLCA;GBA	14.83	14.87	0.04	14.83	0	
alloLCA;GBA-3S	8.78	8.75	-0.03	8.75	-0.03	
alloLCA;TBA	14.92	14.97	0.05	14.91	-0.01	
alloLCA;TBA-3S	8.58	8.57	-0.01	8.57	-0.01	
isoalloLCA;BA	17.02	16.93	-0.09	16.97	-0.05	
isoalloLCA;BA-3S	13.61	13.63	0.02	13.64	0.03	
isoalloLCA;GBA	11.67	11.6	-0.07	11.6	-0.07	
isoalloLCA;GBA-3S	7.38	7.36	-0.02	7.37	-0.01	
isoalloLCA;TBA	11.8	11.73	-0.07	11.73	-0.07	
isoalloLCA;TBA-3S	7.22	7.22	0	7.22	0	
isoLCA;BA	17.15	17.08	-0.07	17.14	-0.01	
isoLCA;BA-3S	13.69	13.72	0.03	13.73	0.04	
isoLCA;GBA	12.31	12.28	-0.03	12.29	-0.02	
isoLCA;TBA	12.45	12.42	-0.03	12.43	-0.02	
isoLCA;TBA-3S	7.44	7.45	0.01	7.45	0.01	
LCA;BA	17.85	17.79	-0.06	17.85	0	
LCA;BA-3S	15.09	15.18	0.09	15.1	0.01	
LCA;GBA	14.99	15.06	0.07	14.99	0	
LCA;GBA-3S	9.32	9.28	-0.04	9.28	-0.04	
LCA;TBA	15.08	15.14	0.06	15.06	-0.02	
LCA;TBA-3S	9.14	9.1	-0.04	9.1	-0.04	
3o-alloLCA;BA	17.95	17.84	-0.11	17.89	-0.06	
3o-alloLCA;GBA	14.23	14.2	-0.03	14.24	0.01	
3o-alloLCA;TBA	14.35	14.35	0	14.38	0.03	
3o-LCA;BA	18.12	18.08	-0.04	18.1	-0.02	
3o-LCA;GBA	15.04	15.12	0.08	15.05	0.01	
3o-LCA;TBA	15.12	15.21	0.09	15.13	0.01	
iso-d5-LCA;BA	16.67	16.64	-0.03	16.63	-0.04	
iso-d5-LCA;BA-3S	13	13.05	0.05	13.07	0.07	
iso-d5-LCA;GBA	10.83	10.8	-0.03	10.8	-0.03	
iso-d5-LCA;GBA-3S	6.85	6.85	0	6.86	0.01	
iso-d5-LCA;TBA	11	10.97	-0.03	10.97	-0.03	
iso-d5-LCA;TBA-3S	6.73	6.73	0	6.74	0.01	
3o-d4-LCA;BA	17	16.93	-0.07	16.96	-0.04	
3o-d4-LCA;GBA	12.18	12.14	-0.04	12.16	-0.02	
3o-d4-LCA;TBA	12.38	12.36	-0.02	12.38	0	
12-epiDCA;BA	14.55	14.62	0.07	14.69	0.14	
12-epiDCA;BA-12S	9.38	9.41	0.03	9.43	0.05	
12-epiDCA;BA-3S	10.52	10.55	0.03	10.57	0.05	
12-epiDCA;GBA	8.61	8.63	0.02	8.62	0.01	
12-epiDCA;GBA-12S	4.54	4.53	-0.01	4.57	0.03	
12-epiDCA;GBA-3S	5.66	5.66	0	5.69	0.03	
