All compounds together:
optimized t0: 0.61
optimized tD: 0.34
optimized time: [0.5, 13.5, 15.4, 18.1]
optimized perB: [0.2, 0.4, 0.58, 0.72]
average/RMS error of calibration compounds after optimization: 0.01/0.023
average/RMS error of all compounds after optimization: 0.018/0.034
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.59
optimized tD: 0.43
optimized time: [0.5, 13.5, 15.4, 17.9]
optimized perB: [0.2, 0.4, 0.62, 0.68]
For compounds without sulfate: 
optimized t0: 0.58
optimized tD: 0.49
optimized time: [0.5, 13.5, 15.5, 18.1]
optimized perB: [0.2, 0.4, 0.6, 0.68]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: 0.002/0.024
average/RMS error of all compounds after optimization: 0.006/0.032
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	17.72	17.72	0	17.69	-0.03	
alloLCA;BA-3S	14.27	14.26	-0.01	14.24	-0.03	
alloLCA;GBA	14.24	14.24	0	14.21	-0.03	
alloLCA;GBA-3S	8.24	8.19	-0.05	8.19	-0.05	
alloLCA;TBA	14.38	14.38	0	14.35	-0.03	
alloLCA;TBA-3S	8.05	8.01	-0.04	8.02	-0.03	
isoalloLCA;BA	16.78	16.79	0.01	16.75	-0.03	
isoalloLCA;BA-3S	13.03	13.01	-0.02	12.99	-0.04	
isoalloLCA;GBA	10.99	10.97	-0.02	10.95	-0.04	
isoalloLCA;GBA-3S	6.83	6.81	-0.02	6.82	-0.01	
isoalloLCA;TBA	11.12	11.11	-0.01	11.1	-0.02	
isoalloLCA;TBA-3S	6.69	6.67	-0.02	6.68	-0.01	
isoLCA;BA	16.92	16.95	0.03	16.91	-0.01	
isoLCA;BA-3S	13.12	13.09	-0.03	13.07	-0.05	
isoLCA;GBA	11.64	11.64	0	11.62	-0.02	
isoLCA;TBA	11.78	11.79	0.01	11.78	0	
isoLCA;TBA-3S	6.91	6.89	-0.02	6.9	-0.01	
LCA;BA	17.64	17.64	0	17.61	-0.03	
LCA;BA-3S	14.69	14.7	0.01	14.69	0	
LCA;GBA	14.47	14.51	0.04	14.49	0.02	
LCA;GBA-3S	8.73	8.71	-0.02	8.72	-0.01	
LCA;TBA	14.62	14.63	0.01	14.62	0	
LCA;TBA-3S	8.55	8.54	-0.01	8.55	0	
3o-alloLCA;BA	17.71	17.68	-0.03	17.66	-0.05	
3o-alloLCA;GBA	13.53	13.54	0.01	13.51	-0.02	
3o-alloLCA;TBA	13.66	13.69	0.03	13.66	0	
3o-LCA;BA	17.91	17.88	-0.03	17.88	-0.03	
3o-LCA;GBA	14.58	14.58	0	14.56	-0.02	
3o-LCA;TBA	14.7	14.71	0.01	14.71	0.01	
iso-d5-LCA;BA	16.44	16.44	0	16.44	0	
iso-d5-LCA;BA-3S	12.42	12.43	0.01	12.41	-0.01	
iso-d5-LCA;GBA	10.17	10.17	0	10.16	-0.01	
iso-d5-LCA;GBA-3S	6.32	6.3	-0.02	6.31	-0.01	
iso-d5-LCA;TBA	10.33	10.35	0.02	10.34	0.01	
iso-d5-LCA;TBA-3S	6.21	6.19	-0.02	6.2	-0.01	
3o-d4-LCA;BA	16.77	16.77	0	16.74	-0.03	
3o-d4-LCA;GBA	11.5	11.5	0	11.48	-0.02	
3o-d4-LCA;TBA	11.71	11.72	0.01	11.7	-0.01	
12-epiDCA;BA	13.9	13.9	0	13.84	-0.06	
12-epiDCA;BA-12S	8.79	8.8	0.01	8.79	0	
12-epiDCA;BA-3S	9.9	9.92	0.02	9.9	0	
12-epiDCA;GBA	7.97	8.01	0.04	8.01	0.04	
12-epiDCA;GBA-12S	3.99	4.04	0.05	4.03	0.04	
12-epiDCA;GBA-3S	5.09	5.12	0.03	5.11	0.02	
12-epiDCA;TBA	8.3	8.33	0.03	8.32	0.02	
12-epiDCA;TBA-12S	4.08	4.12	0.04	4.11	0.03	
12-epiDCA;TBA-3S	4.85	4.88	0.03	4.88	0.03	
3b-DCA;BA	13.89	13.88	-0.01	13.82	-0.07	
3b-DCA;BA-12S	9.12	9.12	0	9.11	-0.01	
3b-DCA;BA-3S	9.76	9.68	-0.08	9.68	-0.08	
3b-DCA;GBA	7.77	7.8	0.03	7.8	0.03	
3b-DCA;GBA-12S	4.58	4.6	0.02	4.6	0.02	
3b-DCA;GBA-3S	5	4.98	-0.02	4.98	-0.02	
3b-DCA;TBA	8.01	8.04	0.03	8.04	0.03	
3b-DCA;TBA-12S	4.38	4.41	0.03	4.41	0.03	
